Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Meloetta Pirouette Form,LV5.5,0,0,2,520
Meloetta Pirouette Form,LV5.5,0,1,1,520
Meloetta Pirouette Form,LV5.5,0,2,0,520
Meloetta Pirouette Form,LV5.5,1,0,0,520
Meloetta Pirouette Form,LV5,11,15,15,520
Meloetta Pirouette Form,LV5,12,14,14,520
Meloetta Pirouette Form,LV5,12,15,13,520
Meloetta Pirouette Form,LV5,13,12,15,520
Meloetta Pirouette Form,LV5,13,13,14,520
Meloetta Pirouette Form,LV5,13,14,13,520
Meloetta Pirouette Form,LV5,14,12,13,520
Meloetta Pirouette Form,LV5,14,13,12,520
Meloetta Pirouette Form,LV5,14,14,11,520
Meloetta Pirouette Form,LV5,14,15,10,520
Meloetta Pirouette Form,LV5,15,9,15,520
Meloetta Pirouette Form,LV5,15,10,14,520
Meloetta Pirouette Form,LV5,15,11,13,520
Meloetta Pirouette Form,LV5,15,12,12,520
Meloetta Pirouette Form,LV5,15,14,9,520
Meloetta Pirouette Form,LV5,15,15,8,520
