Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Mesprit,LV7,0,0,1,520
Mesprit,LV7,0,1,0,520
Mesprit,LV6.5,3,14,15,520
Mesprit,LV6.5,3,15,14,520
Mesprit,LV6.5,4,12,15,520
Mesprit,LV6.5,4,13,14,520
Mesprit,LV6.5,4,14,13,520
Mesprit,LV6.5,4,15,12,520
Mesprit,LV6.5,5,10,15,520
Mesprit,LV6.5,5,11,14,520
Mesprit,LV6.5,5,12,13,520
Mesprit,LV6.5,5,13,12,520
Mesprit,LV6.5,5,14,11,520
Mesprit,LV6.5,5,15,10,520
Mesprit,LV6.5,6,8,15,520
Mesprit,LV6.5,6,9,14,520
Mesprit,LV6.5,6,10,13,520
Mesprit,LV6.5,6,11,12,520
Mesprit,LV6.5,6,12,11,520
Mesprit,LV6.5,6,13,10,520
Mesprit,LV6.5,6,14,9,520
Mesprit,LV6.5,6,15,8,520
Mesprit,LV6.5,7,6,15,520
Mesprit,LV6.5,7,7,14,520
Mesprit,LV6.5,7,8,13,520
Mesprit,LV6.5,7,9,12,520
Mesprit,LV6.5,7,10,11,520
Mesprit,LV6.5,7,11,10,520
Mesprit,LV6.5,7,12,9,520
Mesprit,LV6.5,7,13,8,520
Mesprit,LV6.5,8,4,15,520
Mesprit,LV6.5,8,5,14,520
Mesprit,LV6.5,8,6,13,520
Mesprit,LV6.5,8,7,12,520
Mesprit,LV6.5,8,8,11,520
Mesprit,LV6.5,8,9,10,520
Mesprit,LV6.5,8,10,9,520
Mesprit,LV6.5,8,11,8,520
Mesprit,LV6.5,8,12,7,520
Mesprit,LV6.5,8,15,5,520
Mesprit,LV6.5,9,2,15,520
Mesprit,LV6.5,9,3,14,520
Mesprit,LV6.5,9,4,13,520
Mesprit,LV6.5,9,5,12,520
Mesprit,LV6.5,9,6,11,520
Mesprit,LV6.5,9,7,10,520
Mesprit,LV6.5,9,8,9,520
Mesprit,LV6.5,9,9,8,520
Mesprit,LV6.5,9,10,7,520
Mesprit,LV6.5,9,13,5,520
Mesprit,LV6.5,9,14,4,520
Mesprit,LV6.5,9,15,3,520
Mesprit,LV6.5,10,0,15,520
Mesprit,LV6.5,10,1,14,520
Mesprit,LV6.5,10,2,13,520
Mesprit,LV6.5,10,3,12,520
Mesprit,LV6.5,10,4,11,520
Mesprit,LV6.5,10,5,10,520
Mesprit,LV6.5,10,6,9,520
Mesprit,LV6.5,10,7,8,520
Mesprit,LV6.5,10,8,7,520
Mesprit,LV6.5,10,11,5,520
Mesprit,LV6.5,10,12,4,520
Mesprit,LV6.5,10,13,3,520
Mesprit,LV6.5,10,14,2,520
Mesprit,LV6.5,10,15,1,520
Mesprit,LV6.5,11,0,13,520
Mesprit,LV6.5,11,1,12,520
Mesprit,LV6.5,11,2,11,520
Mesprit,LV6.5,11,3,10,520
Mesprit,LV6.5,11,4,9,520
Mesprit,LV6.5,11,5,8,520
Mesprit,LV6.5,11,6,7,520
Mesprit,LV6.5,11,9,5,520
Mesprit,LV6.5,11,10,4,520
Mesprit,LV6.5,11,11,3,520
Mesprit,LV6.5,11,12,2,520
Mesprit,LV6.5,11,13,1,520
Mesprit,LV6.5,12,0,11,520
Mesprit,LV6.5,12,1,10,520
Mesprit,LV6.5,12,2,9,520
Mesprit,LV6.5,12,3,8,520
Mesprit,LV6.5,12,7,5,520
Mesprit,LV6.5,12,8,4,520
Mesprit,LV6.5,12,9,3,520
Mesprit,LV6.5,12,10,2,520
Mesprit,LV6.5,12,11,1,520
Mesprit,LV6.5,13,0,9,520
Mesprit,LV6.5,13,4,6,520
Mesprit,LV6.5,13,5,5,520
Mesprit,LV6.5,13,6,4,520
Mesprit,LV6.5,13,7,3,520
Mesprit,LV6.5,13,8,2,520
Mesprit,LV6.5,13,9,1,520
Mesprit,LV6.5,14,1,7,520
Mesprit,LV6.5,14,2,6,520
Mesprit,LV6.5,14,3,5,520
Mesprit,LV6.5,14,4,4,520
Mesprit,LV6.5,14,5,3,520
Mesprit,LV6.5,14,6,2,520
Mesprit,LV6.5,14,7,1,520
Mesprit,LV6.5,15,0,6,520
Mesprit,LV6.5,15,1,5,520
Mesprit,LV6.5,15,2,4,520
Mesprit,LV6.5,15,3,3,520
Mesprit,LV6.5,15,4,2,520
Mesprit,LV6.5,15,5,1,520
