Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Metang,LV12.5,0,4,4,520
Metang,LV12.5,0,5,3,520
Metang,LV12.5,0,6,2,520
Metang,LV12.5,0,7,1,520
Metang,LV12,0,10,12,520
Metang,LV12,0,11,11,520
Metang,LV12,0,12,10,520
Metang,LV12,0,13,9,520
Metang,LV12,0,14,8,520
Metang,LV12.5,1,0,5,520
Metang,LV12.5,1,1,4,520
Metang,LV12.5,1,2,3,520
Metang,LV12,1,4,15,520
Metang,LV12,1,5,14,520
Metang,LV12.5,1,6,0,520
Metang,LV12,1,6,13,520
Metang,LV12,1,7,12,520
Metang,LV12,1,8,11,520
Metang,LV12,1,9,10,520
Metang,LV12,1,13,7,520
Metang,LV12,1,14,6,520
Metang,LV12,1,15,5,520
Metang,LV12.5,2,0,3,520
Metang,LV12.5,2,1,2,520
Metang,LV12,2,1,15,520
Metang,LV12.5,2,2,1,520
Metang,LV12,2,2,14,520
Metang,LV12.5,2,3,0,520
Metang,LV12,2,8,9,520
Metang,LV12,2,9,8,520
Metang,LV12,2,10,7,520
Metang,LV12,2,11,6,520
Metang,LV12,2,12,5,520
Metang,LV12,2,15,3,520
Metang,LV12,3,0,14,520
Metang,LV12,3,1,13,520
Metang,LV12,3,2,12,520
Metang,LV12,3,3,11,520
Metang,LV12,3,4,10,520
Metang,LV12,3,5,9,520
Metang,LV12,3,6,8,520
Metang,LV12,3,10,5,520
Metang,LV12,3,11,4,520
Metang,LV12,3,12,3,520
Metang,LV12,3,13,2,520
Metang,LV11.5,3,14,15,520
Metang,LV12,4,4,8,520
Metang,LV12,4,5,7,520
Metang,LV12,4,6,6,520
Metang,LV12,4,7,5,520
Metang,LV12,4,8,4,520
Metang,LV12,4,12,1,520
Metang,LV12,4,13,0,520
Metang,LV11.5,4,13,14,520
Metang,LV11.5,4,14,13,520
Metang,LV11.5,4,15,12,520
Metang,LV12,5,0,9,520
Metang,LV12,5,1,8,520
Metang,LV12,5,2,7,520
Metang,LV12,5,7,3,520
Metang,LV12,5,8,2,520
Metang,LV12,5,9,1,520
Metang,LV11.5,5,9,15,520
Metang,LV12,5,10,0,520
Metang,LV11.5,5,10,14,520
Metang,LV11.5,5,11,13,520
Metang,LV11.5,5,12,12,520
Metang,LV12,6,0,7,520
Metang,LV12,6,1,6,520
Metang,LV12,6,2,5,520
Metang,LV12,6,3,4,520
Metang,LV12,6,4,3,520
Metang,LV12,6,8,0,520
Metang,LV11.5,6,10,12,520
Metang,LV11.5,6,11,11,520
Metang,LV11.5,6,12,10,520
Metang,LV11.5,6,13,9,520
Metang,LV11.5,6,14,8,520
Metang,LV12,7,1,4,520
Metang,LV12,7,2,3,520
Metang,LV12,7,3,2,520
Metang,LV12,7,4,1,520
Metang,LV11.5,7,4,15,520
Metang,LV12,7,5,0,520
Metang,LV11.5,7,5,14,520
Metang,LV11.5,7,6,13,520
Metang,LV11.5,7,7,12,520
Metang,LV11.5,7,8,11,520
Metang,LV11.5,7,9,10,520
Metang,LV11.5,7,13,7,520
Metang,LV11.5,7,14,6,520
Metang,LV11.5,7,15,5,520
Metang,LV12,8,3,0,520
Metang,LV11.5,8,6,11,520
Metang,LV11.5,8,7,10,520
Metang,LV11.5,8,8,9,520
Metang,LV11.5,8,9,8,520
Metang,LV11.5,8,10,7,520
Metang,LV11.5,8,14,4,520
Metang,LV11.5,8,15,3,520
Metang,LV12,9,0,0,520
Metang,LV11.5,9,0,14,520
Metang,LV11.5,9,1,13,520
Metang,LV11.5,9,2,12,520
Metang,LV11.5,9,3,11,520
Metang,LV11.5,9,4,10,520
Metang,LV11.5,9,8,7,520
Metang,LV11.5,9,9,6,520
Metang,LV11.5,9,10,5,520
Metang,LV11.5,9,11,4,520
Metang,LV11.5,9,12,3,520
Metang,LV11.5,9,15,1,520
Metang,LV11,9,15,15,520
Metang,LV11.5,10,0,12,520
Metang,LV11.5,10,1,11,520
Metang,LV11.5,10,2,10,520
Metang,LV11.5,10,3,9,520
Metang,LV11.5,10,4,8,520
Metang,LV11.5,10,5,7,520
Metang,LV11.5,10,6,6,520
Metang,LV11.5,10,10,3,520
Metang,LV11.5,10,11,2,520
Metang,LV11.5,10,12,1,520
Metang,LV11,10,13,15,520
Metang,LV11,10,14,14,520
Metang,LV11,10,15,13,520
Metang,LV11.5,11,2,8,520
Metang,LV11.5,11,3,7,520
Metang,LV11.5,11,4,6,520
Metang,LV11.5,11,5,5,520
Metang,LV11.5,11,6,4,520
Metang,LV11.5,11,7,3,520
Metang,LV11.5,11,10,1,520
Metang,LV11,11,10,15,520
Metang,LV11.5,11,11,0,520
Metang,LV11,11,11,14,520
Metang,LV11,11,15,11,520
Metang,LV11.5,12,4,4,520
Metang,LV11.5,12,5,3,520
Metang,LV11.5,12,6,2,520
Metang,LV11.5,12,7,1,520
Metang,LV11,12,8,15,520
Metang,LV11,12,9,14,520
Metang,LV11,12,10,13,520
Metang,LV11,12,11,12,520
Metang,LV11,12,12,11,520
Metang,LV11,12,13,10,520
Metang,LV11.5,13,0,5,520
Metang,LV11.5,13,5,1,520
Metang,LV11,13,5,15,520
Metang,LV11.5,13,6,0,520
Metang,LV11,13,10,11,520
Metang,LV11,13,11,10,520
Metang,LV11,13,12,9,520
Metang,LV11,13,13,8,520
Metang,LV11,13,14,7,520
Metang,LV11.5,14,0,3,520
Metang,LV11.5,14,1,2,520
Metang,LV11,14,3,15,520
Metang,LV11,14,4,14,520
Metang,LV11,14,5,13,520
Metang,LV11,14,6,12,520
Metang,LV11,14,7,11,520
Metang,LV11,14,8,10,520
Metang,LV11,14,12,7,520
Metang,LV11,14,13,6,520
Metang,LV11,14,14,5,520
Metang,LV11,14,15,4,520
Metang,LV11.5,15,0,1,520
Metang,LV11.5,15,1,0,520
Metang,LV11,15,3,13,520
Metang,LV11,15,4,12,520
Metang,LV11,15,5,11,520
Metang,LV11,15,6,10,520
Metang,LV11,15,7,9,520
Metang,LV11,15,8,8,520
Metang,LV11,15,9,7,520
Metang,LV11,15,13,4,520
Metang,LV11,15,14,3,520
Metang,LV11,15,15,2,520
