Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Milotic,LV7,0,0,10,520
Milotic,LV7,0,1,9,520
Milotic,LV7,0,2,8,520
Milotic,LV7,0,3,7,520
Milotic,LV7,0,4,6,520
Milotic,LV7,0,5,5,520
Milotic,LV7,0,6,4,520
Milotic,LV7,0,7,3,520
Milotic,LV7,0,8,2,520
Milotic,LV7,0,9,1,520
Milotic,LV7,0,10,0,520
Milotic,LV7,1,0,7,520
Milotic,LV7,1,1,6,520
Milotic,LV7,1,2,5,520
Milotic,LV7,1,3,4,520
Milotic,LV7,1,4,3,520
Milotic,LV7,1,5,2,520
Milotic,LV7,1,6,1,520
Milotic,LV7,1,7,0,520
Milotic,LV7,2,0,5,520
Milotic,LV7,2,1,4,520
Milotic,LV7,2,2,3,520
Milotic,LV7,2,3,2,520
Milotic,LV7,2,4,1,520
Milotic,LV7,2,5,0,520
Milotic,LV7,3,0,3,520
Milotic,LV7,3,1,2,520
Milotic,LV7,3,2,1,520
Milotic,LV7,3,3,0,520
Milotic,LV6.5,7,15,15,520
Milotic,LV6.5,8,13,15,520
Milotic,LV6.5,8,14,14,520
Milotic,LV6.5,8,15,13,520
Milotic,LV6.5,9,10,15,520
Milotic,LV6.5,9,11,14,520
Milotic,LV6.5,9,12,13,520
Milotic,LV6.5,9,13,12,520
Milotic,LV6.5,9,14,11,520
Milotic,LV6.5,9,15,10,520
Milotic,LV6.5,10,8,15,520
Milotic,LV6.5,10,9,14,520
Milotic,LV6.5,10,10,13,520
Milotic,LV6.5,10,11,12,520
Milotic,LV6.5,10,12,11,520
Milotic,LV6.5,10,13,10,520
Milotic,LV6.5,10,14,9,520
Milotic,LV6.5,10,15,8,520
Milotic,LV6.5,11,6,15,520
Milotic,LV6.5,11,7,14,520
Milotic,LV6.5,11,8,13,520
Milotic,LV6.5,11,9,12,520
Milotic,LV6.5,11,10,11,520
Milotic,LV6.5,11,11,10,520
Milotic,LV6.5,11,12,9,520
Milotic,LV6.5,11,13,8,520
Milotic,LV6.5,11,14,7,520
Milotic,LV6.5,11,15,6,520
Milotic,LV6.5,12,4,15,520
Milotic,LV6.5,12,12,7,520
Milotic,LV6.5,12,13,6,520
Milotic,LV6.5,12,14,5,520
Milotic,LV6.5,12,15,4,520
Milotic,LV6.5,13,1,15,520
Milotic,LV6.5,13,2,14,520
Milotic,LV6.5,13,3,13,520
Milotic,LV6.5,13,4,12,520
Milotic,LV6.5,13,5,11,520
Milotic,LV6.5,13,6,10,520
Milotic,LV6.5,13,7,9,520
Milotic,LV6.5,13,8,8,520
Milotic,LV6.5,13,9,7,520
Milotic,LV6.5,13,10,6,520
Milotic,LV6.5,13,11,5,520
Milotic,LV6.5,13,12,4,520
Milotic,LV6.5,13,15,2,520
Milotic,LV6.5,14,0,14,520
Milotic,LV6.5,14,1,13,520
Milotic,LV6.5,14,2,12,520
Milotic,LV6.5,14,3,11,520
Milotic,LV6.5,14,4,10,520
Milotic,LV6.5,14,5,9,520
Milotic,LV6.5,14,6,8,520
Milotic,LV6.5,14,7,7,520
Milotic,LV6.5,14,8,6,520
Milotic,LV6.5,14,9,5,520
Milotic,LV6.5,14,10,4,520
Milotic,LV6.5,14,11,3,520
Milotic,LV6.5,14,12,2,520
Milotic,LV6.5,14,13,1,520
Milotic,LV6.5,14,14,0,520
Milotic,LV6.5,15,0,12,520
Milotic,LV6.5,15,1,11,520
Milotic,LV6.5,15,2,10,520
Milotic,LV6.5,15,3,9,520
Milotic,LV6.5,15,4,8,520
Milotic,LV6.5,15,5,7,520
Milotic,LV6.5,15,6,6,520
Milotic,LV6.5,15,7,5,520
Milotic,LV6.5,15,8,4,520
Milotic,LV6.5,15,9,3,520
Milotic,LV6.5,15,10,2,520
Milotic,LV6.5,15,11,1,520
Milotic,LV6.5,15,12,0,520
