Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Miltank,LV9,0,0,7,520
Miltank,LV9,0,1,6,520
Miltank,LV9,0,2,5,520
Miltank,LV9,0,3,4,520
Miltank,LV9,0,4,3,520
Miltank,LV9,0,5,2,520
Miltank,LV9,0,6,1,520
Miltank,LV9,0,7,0,520
Miltank,LV9,1,0,5,520
Miltank,LV9,1,2,2,520
Miltank,LV9,1,3,1,520
Miltank,LV9,1,4,0,520
Miltank,LV8.5,1,15,15,520
Miltank,LV9,2,0,2,520
Miltank,LV9,2,1,1,520
Miltank,LV9,2,2,0,520
Miltank,LV8.5,2,14,13,520
Miltank,LV8.5,2,15,12,520
Miltank,LV8.5,3,10,15,520
Miltank,LV8.5,3,11,14,520
Miltank,LV8.5,3,12,13,520
Miltank,LV8.5,3,13,12,520
Miltank,LV8.5,4,8,14,520
Miltank,LV8.5,4,9,13,520
Miltank,LV8.5,4,10,12,520
Miltank,LV8.5,4,11,11,520
Miltank,LV8.5,4,12,10,520
Miltank,LV8.5,4,13,9,520
Miltank,LV8.5,4,14,8,520
Miltank,LV8.5,4,15,7,520
Miltank,LV8.5,5,5,15,520
Miltank,LV8.5,5,6,14,520
Miltank,LV8.5,5,7,13,520
Miltank,LV8.5,5,8,12,520
Miltank,LV8.5,5,10,9,520
Miltank,LV8.5,5,11,8,520
Miltank,LV8.5,5,12,7,520
Miltank,LV8.5,5,13,6,520
Miltank,LV8.5,5,14,5,520
Miltank,LV8.5,5,15,4,520
Miltank,LV8.5,6,4,13,520
Miltank,LV8.5,6,5,12,520
Miltank,LV8.5,6,6,11,520
Miltank,LV8.5,6,7,10,520
Miltank,LV8.5,6,8,9,520
Miltank,LV8.5,6,9,8,520
Miltank,LV8.5,6,12,4,520
Miltank,LV8.5,6,13,3,520
Miltank,LV8.5,6,14,2,520
Miltank,LV8.5,6,15,1,520
Miltank,LV8.5,7,0,15,520
Miltank,LV8.5,7,1,14,520
Miltank,LV8.5,7,2,13,520
Miltank,LV8.5,7,3,12,520
Miltank,LV8.5,7,5,9,520
Miltank,LV8.5,7,6,8,520
Miltank,LV8.5,7,7,7,520
Miltank,LV8.5,7,8,6,520
Miltank,LV8.5,7,9,5,520
Miltank,LV8.5,7,10,4,520
Miltank,LV8.5,7,11,3,520
Miltank,LV8.5,7,12,2,520
Miltank,LV8.5,7,13,1,520
Miltank,LV8.5,7,14,0,520
Miltank,LV8.5,8,1,11,520
Miltank,LV8.5,8,2,10,520
Miltank,LV8.5,8,3,9,520
Miltank,LV8.5,8,4,8,520
Miltank,LV8.5,8,5,7,520
Miltank,LV8.5,8,6,6,520
Miltank,LV8.5,8,8,3,520
Miltank,LV8.5,8,9,2,520
Miltank,LV8.5,8,10,1,520
Miltank,LV8.5,8,11,0,520
Miltank,LV8.5,9,0,10,520
Miltank,LV8.5,9,2,7,520
Miltank,LV8.5,9,3,6,520
Miltank,LV8.5,9,4,5,520
Miltank,LV8.5,9,5,4,520
Miltank,LV8.5,9,6,3,520
Miltank,LV8.5,9,7,2,520
Miltank,LV8.5,9,8,1,520
Miltank,LV8.5,9,9,0,520
Miltank,LV8.5,10,0,7,520
Miltank,LV8.5,10,1,6,520
Miltank,LV8.5,10,2,5,520
Miltank,LV8.5,10,3,4,520
Miltank,LV8.5,10,5,1,520
Miltank,LV8.5,10,6,0,520
Miltank,LV8.5,11,0,4,520
Miltank,LV8.5,11,1,3,520
Miltank,LV8.5,11,2,2,520
Miltank,LV8.5,11,3,1,520
Miltank,LV8.5,11,4,0,520
Miltank,LV8.5,12,0,2,520
Miltank,LV8.5,12,1,1,520
Miltank,LV8,12,14,15,520
Miltank,LV8,12,15,14,520
Miltank,LV8,13,12,15,520
Miltank,LV8,13,14,12,520
Miltank,LV8,13,15,11,520
Miltank,LV8,14,9,15,520
Miltank,LV8,14,10,14,520
Miltank,LV8,14,11,13,520
Miltank,LV8,14,12,12,520
Miltank,LV8,14,13,11,520
Miltank,LV8,14,14,10,520
Miltank,LV8,14,15,9,520
Miltank,LV8,15,7,15,520
Miltank,LV8,15,8,14,520
Miltank,LV8,15,9,13,520
Miltank,LV8,15,11,10,520
Miltank,LV8,15,12,9,520
Miltank,LV8,15,13,8,520
Miltank,LV8,15,14,7,520
Miltank,LV8,15,15,6,520
