Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Minccino,LV27,0,0,6,520
Minccino,LV27,0,1,4,520
Minccino,LV26.5,0,1,10,520
Minccino,LV27,0,2,2,520
Minccino,LV26.5,0,2,8,520
Minccino,LV26,0,2,14,520
Minccino,LV26.5,0,3,6,520
Minccino,LV26,0,3,12,520
Minccino,LV26.5,0,4,4,520
Minccino,LV26,0,4,10,520
Minccino,LV26,0,5,8,520
Minccino,LV25.5,0,5,14,520
Minccino,LV26,0,8,3,520
Minccino,LV25.5,0,8,9,520
Minccino,LV25,0,8,15,520
Minccino,LV26,0,9,1,520
Minccino,LV25.5,0,9,7,520
Minccino,LV25,0,9,13,520
Minccino,LV25,0,11,10,520
Minccino,LV25.5,0,12,2,520
Minccino,LV25,0,12,8,520
Minccino,LV25,0,14,5,520
Minccino,LV24.5,0,14,11,520
Minccino,LV25,0,15,3,520
Minccino,LV27,1,0,3,520
Minccino,LV27,1,1,1,520
Minccino,LV26.5,1,2,5,520
Minccino,LV26.5,1,3,3,520
Minccino,LV25.5,1,3,15,520
Minccino,LV26.5,1,4,1,520
Minccino,LV26,1,4,7,520
Minccino,LV25.5,1,4,13,520
Minccino,LV26,1,5,5,520
Minccino,LV25.5,1,5,11,520
Minccino,LV25.5,1,6,9,520
Minccino,LV26,1,8,0,520
Minccino,LV25,1,8,12,520
Minccino,LV25.5,1,9,4,520
Minccino,LV25,1,9,10,520
Minccino,LV24.5,1,11,13,520
Minccino,LV25,1,12,5,520
Minccino,LV24.5,1,12,11,520
Minccino,LV25,1,14,2,520
Minccino,LV24.5,1,14,8,520
Minccino,LV25,1,15,0,520
Minccino,LV24.5,1,15,6,520
Minccino,LV27,2,0,0,520
Minccino,LV26.5,2,2,2,520
Minccino,LV26.5,2,3,0,520
Minccino,LV26,2,4,4,520
Minccino,LV25.5,2,4,10,520
Minccino,LV26,2,5,2,520
Minccino,LV25.5,2,5,8,520
Minccino,LV25,2,5,14,520
Minccino,LV25.5,2,6,6,520
Minccino,LV25,2,6,12,520
Minccino,LV24.5,2,8,15,520
Minccino,LV25.5,2,9,1,520
Minccino,LV25,2,9,7,520
Minccino,LV24.5,2,9,13,520
Minccino,LV25,2,10,5,520
Minccino,LV24.5,2,11,10,520
Minccino,LV25,2,12,2,520
Minccino,LV24.5,2,12,8,520
Minccino,LV24,2,13,13,520
Minccino,LV24.5,2,14,5,520
Minccino,LV24,2,14,11,520
Minccino,LV24.5,2,15,3,520
Minccino,LV26,3,0,8,520
Minccino,LV25,3,3,15,520
Minccino,LV26,3,4,1,520
Minccino,LV25,3,4,13,520
Minccino,LV25.5,3,5,5,520
Minccino,LV25,3,5,11,520
Minccino,LV25.5,3,6,3,520
Minccino,LV25,3,6,9,520
Minccino,LV24.5,3,7,14,520
Minccino,LV25.5,3,8,0,520
Minccino,LV24.5,3,8,12,520
Minccino,LV25,3,9,4,520
Minccino,LV24.5,3,9,10,520
Minccino,LV25,3,10,2,520
Minccino,LV24,3,10,15,520
Minccino,LV24,3,11,13,520
Minccino,LV24.5,3,12,5,520
Minccino,LV24.5,3,14,2,520
Minccino,LV24,3,14,8,520
Minccino,LV24.5,3,15,0,520
Minccino,LV23.5,3,15,13,520
Minccino,LV26,4,0,5,520
Minccino,LV25.5,4,0,11,520
Minccino,LV25.5,4,1,9,520
Minccino,LV26,4,3,0,520
Minccino,LV25,4,4,10,520
Minccino,LV25.5,4,5,2,520
Minccino,LV25,4,5,8,520
Minccino,LV24.5,4,5,14,520
Minccino,LV25.5,4,6,0,520
Minccino,LV25,4,6,6,520
Minccino,LV24.5,4,8,9,520
Minccino,LV25,4,9,1,520
Minccino,LV24.5,4,9,7,520
Minccino,LV24,4,10,12,520
Minccino,LV24,4,11,10,520
Minccino,LV24.5,4,12,2,520
Minccino,LV23.5,4,12,15,520
Minccino,LV23.5,4,13,13,520
Minccino,LV24,4,14,5,520
Minccino,LV23.5,4,15,10,520
Minccino,LV26,5,0,2,520
Minccino,LV25.5,5,0,8,520
Minccino,LV25.5,5,1,6,520
Minccino,LV24.5,5,3,15,520
Minccino,LV25.5,5,4,1,520
Minccino,LV25,5,4,7,520
Minccino,LV24.5,5,4,13,520
Minccino,LV25,5,5,5,520
Minccino,LV24.5,5,5,11,520
Minccino,LV25,5,6,3,520
Minccino,LV24,5,7,14,520
Minccino,LV25,5,8,0,520
Minccino,LV24.5,5,8,6,520
Minccino,LV24,5,8,12,520
Minccino,LV24.5,5,9,4,520
Minccino,LV24.5,5,11,1,520
Minccino,LV24,5,11,7,520
Minccino,LV23.5,5,12,12,520
Minccino,LV23.5,5,13,10,520
Minccino,LV24,5,14,2,520
Minccino,LV23,5,14,15,520
Minccino,LV23.5,5,15,7,520
Minccino,LV25.5,6,0,5,520
Minccino,LV24.5,6,2,14,520
Minccino,LV25.5,6,3,0,520
Minccino,LV24.5,6,3,12,520
Minccino,LV25,6,4,4,520
Minccino,LV24.5,6,4,10,520
Minccino,LV25,6,5,2,520
Minccino,LV24.5,6,5,8,520
Minccino,LV24,6,6,13,520
