Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Moltres,LV6,0,1,15,520
Moltres,LV6,0,2,14,520
Moltres,LV6,0,3,13,520
Moltres,LV6,0,4,12,520
Moltres,LV6,0,6,9,520
Moltres,LV6,0,7,8,520
Moltres,LV6,0,8,7,520
Moltres,LV6,0,9,6,520
Moltres,LV6,0,10,5,520
Moltres,LV6,0,11,4,520
Moltres,LV6,0,12,3,520
Moltres,LV6,1,0,15,520
Moltres,LV6,1,2,12,520
Moltres,LV6,1,3,11,520
Moltres,LV6,1,4,10,520
Moltres,LV6,1,5,9,520
Moltres,LV6,1,6,8,520
Moltres,LV6,1,8,5,520
Moltres,LV6,1,9,4,520
Moltres,LV6,1,10,3,520
Moltres,LV6,1,11,2,520
Moltres,LV6,1,12,1,520
Moltres,LV6,1,13,0,520
Moltres,LV6,2,0,13,520
Moltres,LV6,2,1,12,520
Moltres,LV6,2,2,11,520
Moltres,LV6,2,3,9,520
Moltres,LV6,2,4,8,520
Moltres,LV6,2,5,7,520
Moltres,LV6,2,6,6,520
Moltres,LV6,2,7,5,520
Moltres,LV6,2,8,4,520
Moltres,LV6,2,11,0,520
Moltres,LV6,3,0,11,520
Moltres,LV6,3,1,10,520
Moltres,LV6,3,2,9,520
Moltres,LV6,3,3,8,520
Moltres,LV6,3,5,5,520
Moltres,LV6,3,6,4,520
Moltres,LV6,3,7,3,520
Moltres,LV6,3,8,2,520
Moltres,LV6,3,9,1,520
Moltres,LV6,3,10,0,520
Moltres,LV6,4,1,8,520
Moltres,LV6,4,2,7,520
Moltres,LV6,4,3,6,520
Moltres,LV6,4,4,5,520
Moltres,LV6,4,5,4,520
Moltres,LV6,4,6,3,520
Moltres,LV6,5,0,8,520
Moltres,LV6,5,1,7,520
Moltres,LV6,5,3,4,520
Moltres,LV6,5,4,3,520
Moltres,LV6,5,5,2,520
Moltres,LV6,5,6,1,520
Moltres,LV6,5,7,0,520
Moltres,LV6,6,0,6,520
Moltres,LV6,6,1,5,520
Moltres,LV6,6,2,4,520
Moltres,LV6,6,3,3,520
Moltres,LV6,7,1,3,520
Moltres,LV6,7,2,2,520
Moltres,LV6,7,3,1,520
Moltres,LV6,7,4,0,520
Moltres,LV6,8,0,3,520
Moltres,LV6,8,1,2,520
Moltres,LV6,8,2,1,520
Moltres,LV6,9,0,1,520
Moltres,LV6,9,1,0,520
Moltres,LV6,10,0,0,520
