Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Mr. Mime Galarian Form,LV10,0,0,13,520
Mr. Mime Galarian Form,LV10,0,4,10,520
Mr. Mime Galarian Form,LV10,0,5,9,520
Mr. Mime Galarian Form,LV10,0,6,8,520
Mr. Mime Galarian Form,LV10,0,7,7,520
Mr. Mime Galarian Form,LV10,0,10,5,520
Mr. Mime Galarian Form,LV10,0,11,4,520
Mr. Mime Galarian Form,LV10,0,12,3,520
Mr. Mime Galarian Form,LV10,0,14,2,520
Mr. Mime Galarian Form,LV10,0,15,1,520
Mr. Mime Galarian Form,LV10,1,1,11,520
Mr. Mime Galarian Form,LV10,1,2,10,520
Mr. Mime Galarian Form,LV10,1,3,9,520
Mr. Mime Galarian Form,LV10,1,4,8,520
Mr. Mime Galarian Form,LV10,1,8,5,520
Mr. Mime Galarian Form,LV10,1,9,4,520
Mr. Mime Galarian Form,LV10,1,12,2,520
Mr. Mime Galarian Form,LV10,1,13,1,520
Mr. Mime Galarian Form,LV10,1,14,0,520
Mr. Mime Galarian Form,LV9.5,1,15,15,520
Mr. Mime Galarian Form,LV10,2,0,10,520
Mr. Mime Galarian Form,LV10,2,1,9,520
Mr. Mime Galarian Form,LV10,2,2,8,520
Mr. Mime Galarian Form,LV10,2,5,6,520
Mr. Mime Galarian Form,LV10,2,6,5,520
Mr. Mime Galarian Form,LV10,2,7,4,520
Mr. Mime Galarian Form,LV10,2,10,2,520
Mr. Mime Galarian Form,LV10,2,11,1,520
Mr. Mime Galarian Form,LV10,2,12,0,520
Mr. Mime Galarian Form,LV9.5,2,13,15,520
Mr. Mime Galarian Form,LV10,3,3,6,520
Mr. Mime Galarian Form,LV10,3,4,5,520
Mr. Mime Galarian Form,LV10,3,5,4,520
Mr. Mime Galarian Form,LV10,3,8,2,520
Mr. Mime Galarian Form,LV10,3,9,1,520
Mr. Mime Galarian Form,LV9.5,3,11,15,520
Mr. Mime Galarian Form,LV9.5,3,15,12,520
Mr. Mime Galarian Form,LV10,4,0,7,520
Mr. Mime Galarian Form,LV10,4,1,6,520
Mr. Mime Galarian Form,LV10,4,2,5,520
Mr. Mime Galarian Form,LV10,4,5,3,520
Mr. Mime Galarian Form,LV10,4,6,2,520
Mr. Mime Galarian Form,LV10,4,7,1,520
Mr. Mime Galarian Form,LV9.5,4,9,15,520
Mr. Mime Galarian Form,LV9.5,4,12,13,520
Mr. Mime Galarian Form,LV9.5,4,13,12,520
Mr. Mime Galarian Form,LV9.5,4,14,11,520
Mr. Mime Galarian Form,LV10,5,3,3,520
Mr. Mime Galarian Form,LV10,5,4,2,520
Mr. Mime Galarian Form,LV10,5,5,1,520
Mr. Mime Galarian Form,LV9.5,5,10,13,520
Mr. Mime Galarian Form,LV9.5,5,11,12,520
Mr. Mime Galarian Form,LV9.5,5,12,11,520
Mr. Mime Galarian Form,LV9.5,5,15,9,520
Mr. Mime Galarian Form,LV10,6,0,4,520
Mr. Mime Galarian Form,LV10,6,1,3,520
Mr. Mime Galarian Form,LV10,6,2,2,520
Mr. Mime Galarian Form,LV10,6,5,0,520
Mr. Mime Galarian Form,LV9.5,6,7,14,520
Mr. Mime Galarian Form,LV9.5,6,8,13,520
Mr. Mime Galarian Form,LV9.5,6,9,12,520
Mr. Mime Galarian Form,LV9.5,6,10,11,520
Mr. Mime Galarian Form,LV9.5,6,13,9,520
Mr. Mime Galarian Form,LV9.5,6,14,8,520
Mr. Mime Galarian Form,LV9.5,6,15,7,520
Mr. Mime Galarian Form,LV10,7,3,0,520
Mr. Mime Galarian Form,LV9.5,7,4,15,520
Mr. Mime Galarian Form,LV9.5,7,5,14,520
Mr. Mime Galarian Form,LV9.5,7,6,13,520
Mr. Mime Galarian Form,LV9.5,7,7,12,520
Mr. Mime Galarian Form,LV9.5,7,11,9,520
Mr. Mime Galarian Form,LV9.5,7,12,8,520
Mr. Mime Galarian Form,LV9.5,7,13,7,520
Mr. Mime Galarian Form,LV10,8,0,1,520
Mr. Mime Galarian Form,LV10,8,1,0,520
Mr. Mime Galarian Form,LV9.5,8,2,15,520
Mr. Mime Galarian Form,LV9.5,8,3,14,520
Mr. Mime Galarian Form,LV9.5,8,4,13,520
Mr. Mime Galarian Form,LV9.5,8,8,10,520
Mr. Mime Galarian Form,LV9.5,8,9,9,520
Mr. Mime Galarian Form,LV9.5,8,10,8,520
Mr. Mime Galarian Form,LV9.5,8,13,6,520
Mr. Mime Galarian Form,LV9.5,8,14,5,520
Mr. Mime Galarian Form,LV9.5,8,15,4,520
Mr. Mime Galarian Form,LV9.5,9,0,15,520
