Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Mr. Mime,LV9.5,0,1,5,520
Mr. Mime,LV9.5,0,2,4,520
Mr. Mime,LV9.5,0,4,3,520
Mr. Mime,LV9.5,0,6,2,520
Mr. Mime,LV9.5,0,9,0,520
Mr. Mime,LV9,0,10,14,520
Mr. Mime,LV9,0,12,13,520
Mr. Mime,LV9,0,15,11,520
Mr. Mime,LV9.5,1,0,4,520
Mr. Mime,LV9.5,1,2,3,520
Mr. Mime,LV9.5,1,5,1,520
Mr. Mime,LV9,1,6,15,520
Mr. Mime,LV9.5,1,7,0,520
Mr. Mime,LV9,1,8,14,520
Mr. Mime,LV9,1,11,12,520
Mr. Mime,LV9,1,13,11,520
Mr. Mime,LV9.5,2,0,3,520
Mr. Mime,LV9.5,2,1,2,520
Mr. Mime,LV9.5,2,3,1,520
Mr. Mime,LV9,2,4,15,520
Mr. Mime,LV9.5,2,5,0,520
Mr. Mime,LV9,2,6,14,520
Mr. Mime,LV9,2,7,13,520
Mr. Mime,LV9,2,9,12,520
Mr. Mime,LV9,2,12,10,520
Mr. Mime,LV9,2,14,9,520
Mr. Mime,LV9.5,3,1,1,520
Mr. Mime,LV9,3,2,15,520
Mr. Mime,LV9.5,3,3,0,520
Mr. Mime,LV9,3,5,13,520
Mr. Mime,LV9,3,7,12,520
Mr. Mime,LV9,3,8,11,520
Mr. Mime,LV9,3,10,10,520
Mr. Mime,LV9,3,12,9,520
Mr. Mime,LV9,3,13,8,520
Mr. Mime,LV9,3,15,7,520
Mr. Mime,LV9,4,0,15,520
Mr. Mime,LV9,4,3,13,520
Mr. Mime,LV9,4,5,12,520
Mr. Mime,LV9,4,6,11,520
Mr. Mime,LV9,4,8,10,520
Mr. Mime,LV9,4,11,8,520
Mr. Mime,LV9,4,13,7,520
Mr. Mime,LV9,4,15,6,520
Mr. Mime,LV9,5,1,13,520
Mr. Mime,LV9,5,4,11,520
Mr. Mime,LV9,5,6,10,520
Mr. Mime,LV9,5,7,9,520
Mr. Mime,LV9,5,9,8,520
Mr. Mime,LV9,5,11,7,520
Mr. Mime,LV9,5,12,6,520
Mr. Mime,LV9,5,14,5,520
Mr. Mime,LV9,6,0,12,520
Mr. Mime,LV9,6,2,11,520
Mr. Mime,LV9,6,5,9,520
Mr. Mime,LV9,6,7,8,520
Mr. Mime,LV9,6,10,6,520
Mr. Mime,LV9,6,12,5,520
Mr. Mime,LV9,6,14,4,520
Mr. Mime,LV9,6,15,3,520
Mr. Mime,LV9,7,0,11,520
Mr. Mime,LV9,7,3,9,520
Mr. Mime,LV9,7,5,8,520
Mr. Mime,LV9,7,6,7,520
Mr. Mime,LV9,7,8,6,520
Mr. Mime,LV9,7,10,5,520
Mr. Mime,LV9,7,13,3,520
Mr. Mime,LV9,7,15,2,520
Mr. Mime,LV9,8,1,9,520
Mr. Mime,LV9,8,4,7,520
Mr. Mime,LV9,8,6,6,520
Mr. Mime,LV9,8,9,4,520
Mr. Mime,LV9,8,11,3,520
Mr. Mime,LV9,8,13,2,520
Mr. Mime,LV9,8,15,1,520
Mr. Mime,LV9,9,2,7,520
Mr. Mime,LV9,9,4,6,520
Mr. Mime,LV9,9,7,4,520
Mr. Mime,LV9,9,9,3,520
Mr. Mime,LV9,9,11,2,520
Mr. Mime,LV9,9,14,0,520
Mr. Mime,LV8.5,9,15,15,520
Mr. Mime,LV9,10,0,7,520
Mr. Mime,LV9,10,2,6,520
Mr. Mime,LV9,10,3,5,520
Mr. Mime,LV9,10,5,4,520
Mr. Mime,LV9,10,7,3,520
Mr. Mime,LV9,10,10,1,520
Mr. Mime,LV9,10,12,0,520
Mr. Mime,LV8.5,10,13,15,520
Mr. Mime,LV9,11,0,6,520
Mr. Mime,LV9,11,1,5,520
Mr. Mime,LV9,11,3,4,520
Mr. Mime,LV9,11,5,3,520
Mr. Mime,LV9,11,8,1,520
Mr. Mime,LV9,11,10,0,520
Mr. Mime,LV8.5,11,11,15,520
Mr. Mime,LV8.5,11,12,14,520
Mr. Mime,LV8.5,11,14,13,520
Mr. Mime,LV9,12,1,4,520
Mr. Mime,LV9,12,3,3,520
Mr. Mime,LV9,12,4,2,520
Mr. Mime,LV9,12,6,1,520
Mr. Mime,LV9,12,8,0,520
Mr. Mime,LV8.5,12,9,15,520
Mr. Mime,LV8.5,12,10,14,520
Mr. Mime,LV8.5,12,12,13,520
Mr. Mime,LV8.5,12,15,11,520
Mr. Mime,LV9,13,1,3,520
Mr. Mime,LV9,13,2,2,520
Mr. Mime,LV9,13,4,1,520
Mr. Mime,LV9,13,6,0,520
Mr. Mime,LV8.5,13,8,14,520
Mr. Mime,LV8.5,13,10,13,520
Mr. Mime,LV8.5,13,11,12,520
Mr. Mime,LV8.5,13,13,11,520
Mr. Mime,LV8.5,13,15,10,520
Mr. Mime,LV9,14,0,2,520
Mr. Mime,LV9,14,2,1,520
Mr. Mime,LV9,14,4,0,520
Mr. Mime,LV8.5,14,6,14,520
Mr. Mime,LV8.5,14,8,13,520
Mr. Mime,LV8.5,14,9,12,520
Mr. Mime,LV8.5,14,11,11,520
Mr. Mime,LV8.5,14,13,10,520
Mr. Mime,LV8.5,14,14,9,520
Mr. Mime,LV9,15,0,1,520
Mr. Mime,LV9,15,2,0,520
Mr. Mime,LV8.5,15,4,14,520
Mr. Mime,LV8.5,15,6,13,520
Mr. Mime,LV8.5,15,7,12,520
Mr. Mime,LV8.5,15,9,11,520
Mr. Mime,LV8.5,15,12,9,520
Mr. Mime,LV8.5,15,14,8,520
