Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Mr. Rime,LV7.5,0,0,5,520
Mr. Rime,LV7.5,0,1,4,520
Mr. Rime,LV7.5,0,2,3,520
Mr. Rime,LV7.5,0,3,2,520
Mr. Rime,LV7.5,0,4,1,520
Mr. Rime,LV7.5,0,5,0,520
Mr. Rime,LV7.5,1,0,3,520
Mr. Rime,LV7.5,1,1,2,520
Mr. Rime,LV7.5,1,2,1,520
Mr. Rime,LV7.5,1,3,0,520
Mr. Rime,LV7,2,15,15,520
Mr. Rime,LV7.5,3,0,0,520
Mr. Rime,LV7,3,13,15,520
Mr. Rime,LV7,3,14,14,520
Mr. Rime,LV7,3,15,13,520
Mr. Rime,LV7,4,13,13,520
Mr. Rime,LV7,4,14,12,520
Mr. Rime,LV7,4,15,11,520
Mr. Rime,LV7,5,10,15,520
Mr. Rime,LV7,5,11,14,520
Mr. Rime,LV7,6,8,15,520
Mr. Rime,LV7,6,9,14,520
Mr. Rime,LV7,6,10,13,520
Mr. Rime,LV7,6,11,12,520
Mr. Rime,LV7,6,12,11,520
Mr. Rime,LV7,6,13,10,520
Mr. Rime,LV7,7,6,15,520
Mr. Rime,LV7,7,7,14,520
Mr. Rime,LV7,7,8,13,520
Mr. Rime,LV7,7,9,12,520
Mr. Rime,LV7,7,10,11,520
Mr. Rime,LV7,7,11,10,520
Mr. Rime,LV7,7,12,9,520
Mr. Rime,LV7,7,13,8,520
Mr. Rime,LV7,7,14,7,520
Mr. Rime,LV7,7,15,6,520
Mr. Rime,LV7,8,7,12,520
Mr. Rime,LV7,8,8,11,520
Mr. Rime,LV7,8,9,10,520
Mr. Rime,LV7,8,10,9,520
Mr. Rime,LV7,8,11,8,520
Mr. Rime,LV7,8,12,7,520
Mr. Rime,LV7,8,13,6,520
Mr. Rime,LV7,8,14,5,520
Mr. Rime,LV7,8,15,4,520
Mr. Rime,LV7,9,3,15,520
Mr. Rime,LV7,9,4,14,520
Mr. Rime,LV7,9,5,13,520
Mr. Rime,LV7,9,6,12,520
Mr. Rime,LV7,9,10,7,520
Mr. Rime,LV7,9,11,6,520
Mr. Rime,LV7,9,12,5,520
Mr. Rime,LV7,9,13,4,520
Mr. Rime,LV7,9,14,3,520
Mr. Rime,LV7,9,15,2,520
Mr. Rime,LV7,10,1,15,520
Mr. Rime,LV7,10,2,14,520
Mr. Rime,LV7,10,3,13,520
Mr. Rime,LV7,10,4,12,520
Mr. Rime,LV7,10,5,11,520
Mr. Rime,LV7,10,6,10,520
Mr. Rime,LV7,10,7,9,520
Mr. Rime,LV7,10,8,8,520
Mr. Rime,LV7,11,0,15,520
Mr. Rime,LV7,11,3,11,520
Mr. Rime,LV7,11,4,10,520
Mr. Rime,LV7,11,5,9,520
Mr. Rime,LV7,11,6,8,520
Mr. Rime,LV7,11,7,7,520
Mr. Rime,LV7,11,8,6,520
Mr. Rime,LV7,11,9,5,520
Mr. Rime,LV7,11,10,4,520
Mr. Rime,LV7,11,11,3,520
Mr. Rime,LV7,11,12,2,520
Mr. Rime,LV7,11,13,1,520
Mr. Rime,LV7,11,14,0,520
Mr. Rime,LV7,12,0,13,520
Mr. Rime,LV7,12,1,12,520
Mr. Rime,LV7,12,5,7,520
Mr. Rime,LV7,12,6,6,520
Mr. Rime,LV7,12,7,5,520
Mr. Rime,LV7,12,8,4,520
Mr. Rime,LV7,12,9,3,520
Mr. Rime,LV7,12,10,2,520
Mr. Rime,LV7,12,11,1,520
Mr. Rime,LV7,12,12,0,520
Mr. Rime,LV7,13,0,11,520
Mr. Rime,LV7,13,1,10,520
Mr. Rime,LV7,13,2,9,520
Mr. Rime,LV7,13,3,8,520
Mr. Rime,LV7,13,4,7,520
Mr. Rime,LV7,14,0,9,520
Mr. Rime,LV7,14,1,8,520
Mr. Rime,LV7,14,2,7,520
Mr. Rime,LV7,14,3,6,520
Mr. Rime,LV7,14,4,5,520
Mr. Rime,LV7,14,5,4,520
Mr. Rime,LV7,14,6,3,520
Mr. Rime,LV7,14,7,2,520
Mr. Rime,LV7,14,8,1,520
Mr. Rime,LV7,14,9,0,520
Mr. Rime,LV7,15,2,5,520
Mr. Rime,LV7,15,3,4,520
Mr. Rime,LV7,15,4,3,520
Mr. Rime,LV7,15,5,2,520
Mr. Rime,LV7,15,6,1,520
Mr. Rime,LV7,15,7,0,520
