Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Mudkip,LV20.5,0,0,0,520
Mudkip,LV20,0,0,7,520
Mudkip,LV19.5,0,1,13,520
Mudkip,LV20,0,2,4,520
Mudkip,LV19.5,0,3,10,520
Mudkip,LV20,0,4,1,520
Mudkip,LV19.5,0,5,7,520
Mudkip,LV19,0,6,13,520
Mudkip,LV19.5,0,7,4,520
Mudkip,LV19,0,8,10,520
Mudkip,LV19.5,0,9,1,520
Mudkip,LV19.5,0,10,0,520
Mudkip,LV19,0,10,7,520
Mudkip,LV18.5,0,10,15,520
Mudkip,LV19,0,11,6,520
Mudkip,LV18.5,0,12,12,520
Mudkip,LV19,0,13,3,520
Mudkip,LV19,0,14,2,520
Mudkip,LV18.5,0,15,8,520
Mudkip,LV20,1,0,5,520
Mudkip,LV19.5,1,0,12,520
Mudkip,LV20,1,2,2,520
Mudkip,LV19.5,1,2,9,520
Mudkip,LV19,1,3,15,520
Mudkip,LV19.5,1,4,6,520
Mudkip,LV19,1,5,12,520
Mudkip,LV19.5,1,6,3,520
Mudkip,LV19,1,7,9,520
Mudkip,LV19,1,9,6,520
Mudkip,LV18.5,1,9,14,520
Mudkip,LV19,1,10,5,520
Mudkip,LV18.5,1,11,11,520
Mudkip,LV19,1,12,2,520
Mudkip,LV18.5,1,12,10,520
Mudkip,LV19,1,13,1,520
Mudkip,LV18.5,1,14,7,520
Mudkip,LV18,1,14,15,520
Mudkip,LV18,1,15,14,520
Mudkip,LV19.5,2,0,10,520
Mudkip,LV20,2,1,1,520
Mudkip,LV19.5,2,2,7,520
Mudkip,LV19.5,2,3,5,520
Mudkip,LV19,2,3,13,520
Mudkip,LV19.5,2,4,4,520
Mudkip,LV19,2,5,10,520
Mudkip,LV19.5,2,6,1,520
Mudkip,LV19,2,7,7,520
Mudkip,LV18.5,2,7,15,520
Mudkip,LV18.5,2,8,13,520
Mudkip,LV19,2,9,4,520
Mudkip,LV18.5,2,9,12,520
Mudkip,LV18.5,2,11,9,520
Mudkip,LV19,2,12,0,520
Mudkip,LV18.5,2,13,6,520
Mudkip,LV18,2,13,14,520
Mudkip,LV18.5,2,14,5,520
Mudkip,LV18,2,14,13,520
Mudkip,LV19,3,0,15,520
Mudkip,LV19.5,3,1,6,520
Mudkip,LV19,3,2,12,520
Mudkip,LV19.5,3,3,3,520
Mudkip,LV19,3,4,9,520
Mudkip,LV19.5,3,5,0,520
Mudkip,LV19,3,6,6,520
Mudkip,LV18.5,3,6,14,520
Mudkip,LV19,3,8,3,520
Mudkip,LV18.5,3,8,11,520
Mudkip,LV19,3,9,2,520
Mudkip,LV18.5,3,10,8,520
Mudkip,LV18,3,11,15,520
Mudkip,LV18.5,3,12,5,520
Mudkip,LV18,3,12,13,520
Mudkip,LV18.5,3,13,4,520
Mudkip,LV18,3,13,12,520
Mudkip,LV18,3,15,9,520
Mudkip,LV19,4,0,13,520
Mudkip,LV19.5,4,1,4,520
Mudkip,LV19,4,2,10,520
Mudkip,LV19.5,4,3,1,520
Mudkip,LV19,4,3,8,520
Mudkip,LV19,4,4,7,520
Mudkip,LV18.5,4,5,13,520
Mudkip,LV19,4,6,4,520
Mudkip,LV18.5,4,7,10,520
Mudkip,LV19,4,8,1,520
Mudkip,LV18.5,4,9,7,520
