Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Muk Alolan Form,LV7.5,0,3,15,520
Muk Alolan Form,LV7.5,0,4,14,520
Muk Alolan Form,LV7.5,0,5,13,520
Muk Alolan Form,LV7.5,0,6,11,520
Muk Alolan Form,LV7.5,0,7,10,520
Muk Alolan Form,LV7.5,0,8,9,520
Muk Alolan Form,LV7.5,0,9,7,520
Muk Alolan Form,LV7.5,0,10,6,520
Muk Alolan Form,LV7.5,0,11,5,520
Muk Alolan Form,LV7.5,0,12,3,520
Muk Alolan Form,LV7.5,0,13,2,520
Muk Alolan Form,LV7.5,0,14,1,520
Muk Alolan Form,LV7.5,1,2,14,520
Muk Alolan Form,LV7.5,1,3,13,520
Muk Alolan Form,LV7.5,1,5,10,520
Muk Alolan Form,LV7.5,1,6,9,520
Muk Alolan Form,LV7.5,1,7,7,520
Muk Alolan Form,LV7.5,1,8,6,520
Muk Alolan Form,LV7.5,1,9,5,520
Muk Alolan Form,LV7.5,1,10,3,520
Muk Alolan Form,LV7.5,1,11,2,520
Muk Alolan Form,LV7.5,1,12,1,520
Muk Alolan Form,LV7.5,1,13,0,520
Muk Alolan Form,LV7.5,2,0,15,520
Muk Alolan Form,LV7.5,2,1,13,520
Muk Alolan Form,LV7.5,2,2,12,520
Muk Alolan Form,LV7.5,2,3,10,520
Muk Alolan Form,LV7.5,2,4,9,520
Muk Alolan Form,LV7.5,2,5,8,520
Muk Alolan Form,LV7.5,2,6,6,520
Muk Alolan Form,LV7.5,2,7,5,520
Muk Alolan Form,LV7.5,2,8,4,520
Muk Alolan Form,LV7.5,2,9,2,520
Muk Alolan Form,LV7.5,2,10,1,520
Muk Alolan Form,LV7.5,2,11,0,520
Muk Alolan Form,LV7.5,3,0,12,520
Muk Alolan Form,LV7.5,3,1,11,520
Muk Alolan Form,LV7.5,3,2,9,520
Muk Alolan Form,LV7.5,3,3,8,520
Muk Alolan Form,LV7.5,3,4,6,520
Muk Alolan Form,LV7.5,3,5,5,520
Muk Alolan Form,LV7.5,3,6,4,520
Muk Alolan Form,LV7.5,3,7,2,520
Muk Alolan Form,LV7.5,3,8,1,520
Muk Alolan Form,LV7.5,3,9,0,520
Muk Alolan Form,LV7.5,4,1,8,520
Muk Alolan Form,LV7.5,4,2,7,520
Muk Alolan Form,LV7.5,4,3,5,520
Muk Alolan Form,LV7.5,4,4,4,520
Muk Alolan Form,LV7.5,4,5,3,520
Muk Alolan Form,LV7.5,4,6,1,520
Muk Alolan Form,LV7.5,4,7,0,520
Muk Alolan Form,LV7.5,5,0,7,520
Muk Alolan Form,LV7.5,5,1,6,520
Muk Alolan Form,LV7.5,5,2,4,520
Muk Alolan Form,LV7.5,5,3,3,520
Muk Alolan Form,LV7.5,5,5,0,520
Muk Alolan Form,LV7.5,6,0,5,520
Muk Alolan Form,LV7.5,6,1,3,520
Muk Alolan Form,LV7.5,6,2,2,520
Muk Alolan Form,LV7.5,7,0,2,520
Muk Alolan Form,LV7.5,7,1,1,520
Muk Alolan Form,LV7.5,8,0,0,520
Muk Alolan Form,LV7,9,14,14,520
Muk Alolan Form,LV7,9,15,13,520
Muk Alolan Form,LV7,10,13,13,520
Muk Alolan Form,LV7,10,14,12,520
Muk Alolan Form,LV7,10,15,11,520
Muk Alolan Form,LV7,11,10,15,520
Muk Alolan Form,LV7,11,11,13,520
Muk Alolan Form,LV7,11,12,12,520
Muk Alolan Form,LV7,11,13,11,520
Muk Alolan Form,LV7,11,14,9,520
Muk Alolan Form,LV7,11,15,8,520
Muk Alolan Form,LV7,12,8,15,520
Muk Alolan Form,LV7,12,9,14,520
Muk Alolan Form,LV7,12,10,12,520
Muk Alolan Form,LV7,12,11,11,520
Muk Alolan Form,LV7,12,12,10,520
Muk Alolan Form,LV7,12,13,8,520
Muk Alolan Form,LV7,12,14,7,520
Muk Alolan Form,LV7,12,15,6,520
Muk Alolan Form,LV7,13,6,15,520
Muk Alolan Form,LV7,13,7,14,520
Muk Alolan Form,LV7,13,8,13,520
Muk Alolan Form,LV7,13,9,11,520
Muk Alolan Form,LV7,13,10,10,520
Muk Alolan Form,LV7,13,11,9,520
Muk Alolan Form,LV7,13,12,7,520
Muk Alolan Form,LV7,13,13,6,520
Muk Alolan Form,LV7,13,14,5,520
Muk Alolan Form,LV7,13,15,3,520
Muk Alolan Form,LV7,14,5,14,520
Muk Alolan Form,LV7,14,6,13,520
Muk Alolan Form,LV7,14,7,12,520
Muk Alolan Form,LV7,14,8,10,520
Muk Alolan Form,LV7,14,9,9,520
Muk Alolan Form,LV7,14,11,6,520
Muk Alolan Form,LV7,14,12,5,520
Muk Alolan Form,LV7,14,13,4,520
Muk Alolan Form,LV7,14,14,2,520
Muk Alolan Form,LV7,14,15,1,520
Muk Alolan Form,LV7,15,3,15,520
Muk Alolan Form,LV7,15,4,13,520
Muk Alolan Form,LV7,15,5,12,520
Muk Alolan Form,LV7,15,7,9,520
Muk Alolan Form,LV7,15,8,8,520
Muk Alolan Form,LV7,15,10,5,520
Muk Alolan Form,LV7,15,11,4,520
Muk Alolan Form,LV7,15,12,3,520
Muk Alolan Form,LV7,15,13,1,520
Muk Alolan Form,LV7,15,14,0,520
