Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Munchlax,LV11.5,0,0,7,520
Munchlax,LV11.5,0,1,4,520
Munchlax,LV11.5,0,2,2,520
Munchlax,LV11.5,0,3,0,520
Munchlax,LV11,0,8,13,520
Munchlax,LV11,0,8,14,520
Munchlax,LV11,0,9,11,520
Munchlax,LV11,0,10,9,520
Munchlax,LV11,0,11,6,520
Munchlax,LV11,0,11,7,520
Munchlax,LV11,0,12,4,520
Munchlax,LV11,0,13,2,520
Munchlax,LV11,0,14,0,520
Munchlax,LV11.5,1,0,3,520
Munchlax,LV11.5,1,1,0,520
Munchlax,LV11,1,6,14,520
Munchlax,LV11,1,7,12,520
Munchlax,LV11,1,8,9,520
Munchlax,LV11,1,9,7,520
Munchlax,LV11,1,10,5,520
Munchlax,LV11,1,11,2,520
Munchlax,LV11,1,12,0,520
Munchlax,LV11,2,4,15,520
Munchlax,LV11,2,5,12,520
Munchlax,LV11,2,6,10,520
Munchlax,LV11,2,7,7,520
Munchlax,LV11,2,8,5,520
Munchlax,LV11,2,9,3,520
Munchlax,LV11,2,10,0,520
Munchlax,LV11,3,2,15,520
Munchlax,LV11,3,3,13,520
Munchlax,LV11,3,4,10,520
Munchlax,LV11,3,5,8,520
Munchlax,LV11,3,6,5,520
Munchlax,LV11,3,6,6,520
Munchlax,LV11,3,7,3,520
Munchlax,LV11,3,8,1,520
Munchlax,LV10.5,3,14,14,520
Munchlax,LV10.5,3,15,12,520
Munchlax,LV11,4,1,13,520
Munchlax,LV11,4,1,14,520
Munchlax,LV11,4,2,11,520
Munchlax,LV11,4,3,9,520
Munchlax,LV11,4,4,6,520
Munchlax,LV11,4,5,4,520
Munchlax,LV11,4,6,1,520
Munchlax,LV10.5,4,12,15,520
Munchlax,LV10.5,4,13,12,520
Munchlax,LV10.5,4,14,10,520
Munchlax,LV10.5,4,15,8,520
Munchlax,LV11,5,0,12,520
Munchlax,LV11,5,1,9,520
Munchlax,LV11,5,2,7,520
Munchlax,LV11,5,3,4,520
Munchlax,LV11,5,4,2,520
Munchlax,LV11,5,5,0,520
Munchlax,LV10.5,5,10,15,520
Munchlax,LV10.5,5,11,13,520
Munchlax,LV10.5,5,12,10,520
Munchlax,LV10.5,5,12,11,520
Munchlax,LV10.5,5,13,8,520
Munchlax,LV10.5,5,14,6,520
Munchlax,LV10.5,5,15,4,520
Munchlax,LV11,6,0,8,520
Munchlax,LV11,6,1,5,520
Munchlax,LV11,6,2,3,520
Munchlax,LV11,6,3,0,520
Munchlax,LV10.5,6,9,13,520
Munchlax,LV10.5,6,10,11,520
Munchlax,LV10.5,6,11,9,520
Munchlax,LV10.5,6,12,6,520
Munchlax,LV10.5,6,13,4,520
Munchlax,LV10.5,6,14,2,520
Munchlax,LV10.5,6,15,0,520
Munchlax,LV11,7,0,4,520
Munchlax,LV11,7,1,1,520
Munchlax,LV10.5,7,7,14,520
Munchlax,LV10.5,7,8,11,520
Munchlax,LV10.5,7,8,12,520
Munchlax,LV10.5,7,9,9,520
Munchlax,LV10.5,7,10,7,520
Munchlax,LV10.5,7,11,5,520
Munchlax,LV10.5,7,12,2,520
Munchlax,LV10.5,7,13,0,520
Munchlax,LV11,8,0,0,520
Munchlax,LV10.5,8,5,15,520
Munchlax,LV10.5,8,6,12,520
Munchlax,LV10.5,8,7,10,520
Munchlax,LV10.5,8,8,7,520
Munchlax,LV10.5,8,8,8,520
Munchlax,LV10.5,8,9,5,520
Munchlax,LV10.5,8,10,3,520
Munchlax,LV10.5,8,11,1,520
Munchlax,LV10.5,9,3,15,520
Munchlax,LV10.5,9,4,13,520
Munchlax,LV10.5,9,5,10,520
Munchlax,LV10.5,9,5,11,520
Munchlax,LV10.5,9,6,8,520
Munchlax,LV10.5,9,7,6,520
Munchlax,LV10.5,9,8,3,520
Munchlax,LV10.5,9,8,4,520
Munchlax,LV10.5,9,9,1,520
Munchlax,LV10.5,10,2,14,520
Munchlax,LV10.5,10,3,11,520
Munchlax,LV10.5,10,4,9,520
Munchlax,LV10.5,10,5,6,520
Munchlax,LV10.5,10,5,7,520
Munchlax,LV10.5,10,6,4,520
Munchlax,LV10.5,10,7,2,520
Munchlax,LV10.5,10,8,0,520
Munchlax,LV10,10,14,14,520
Munchlax,LV10,10,15,12,520
Munchlax,LV10.5,11,0,15,520
Munchlax,LV10.5,11,1,12,520
Munchlax,LV10.5,11,2,10,520
Munchlax,LV10.5,11,3,7,520
Munchlax,LV10.5,11,4,5,520
Munchlax,LV10.5,11,5,3,520
Munchlax,LV10.5,11,6,0,520
Munchlax,LV10,11,12,15,520
Munchlax,LV10,11,13,13,520
Munchlax,LV10,11,14,10,520
Munchlax,LV10,11,15,8,520
Munchlax,LV10.5,12,0,11,520
Munchlax,LV10.5,12,1,8,520
Munchlax,LV10.5,12,2,6,520
