Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Necrozma,LV5.5,0,15,14,520
Necrozma,LV5.5,1,13,15,520
Necrozma,LV5.5,1,14,14,520
Necrozma,LV5.5,2,11,15,520
Necrozma,LV5.5,2,12,14,520
Necrozma,LV5.5,2,13,13,520
Necrozma,LV5.5,2,14,12,520
Necrozma,LV5.5,2,15,11,520
Necrozma,LV5.5,3,11,13,520
Necrozma,LV5.5,3,12,12,520
Necrozma,LV5.5,3,13,11,520
Necrozma,LV5.5,3,14,10,520
Necrozma,LV5.5,3,15,9,520
Necrozma,LV5.5,4,8,15,520
Necrozma,LV5.5,4,9,14,520
Necrozma,LV5.5,4,10,13,520
Necrozma,LV5.5,4,12,10,520
Necrozma,LV5.5,4,13,9,520
Necrozma,LV5.5,4,14,8,520
Necrozma,LV5.5,4,15,7,520
Necrozma,LV5.5,5,6,15,520
Necrozma,LV5.5,5,7,14,520
Necrozma,LV5.5,5,8,13,520
Necrozma,LV5.5,5,9,12,520
Necrozma,LV5.5,5,10,11,520
Necrozma,LV5.5,5,11,10,520
Necrozma,LV5.5,5,12,9,520
Necrozma,LV5.5,5,14,6,520
Necrozma,LV5.5,5,15,5,520
Necrozma,LV5.5,6,5,15,520
Necrozma,LV5.5,6,6,14,520
Necrozma,LV5.5,6,7,12,520
Necrozma,LV5.5,6,8,11,520
Necrozma,LV5.5,6,9,10,520
Necrozma,LV5.5,6,10,9,520
Necrozma,LV5.5,6,11,8,520
Necrozma,LV5.5,6,12,7,520
Necrozma,LV5.5,6,13,6,520
Necrozma,LV5.5,6,14,5,520
Necrozma,LV5.5,6,15,4,520
Necrozma,LV5.5,7,3,15,520
Necrozma,LV5.5,7,4,14,520
Necrozma,LV5.5,7,5,13,520
Necrozma,LV5.5,7,6,12,520
Necrozma,LV5.5,7,7,11,520
Necrozma,LV5.5,7,9,8,520
Necrozma,LV5.5,7,10,7,520
Necrozma,LV5.5,7,11,6,520
Necrozma,LV5.5,7,12,5,520
Necrozma,LV5.5,7,13,4,520
Necrozma,LV5.5,7,14,3,520
Necrozma,LV5.5,7,15,2,520
Necrozma,LV5.5,8,2,15,520
Necrozma,LV5.5,8,4,12,520
Necrozma,LV5.5,8,5,11,520
Necrozma,LV5.5,8,6,10,520
Necrozma,LV5.5,8,7,9,520
Necrozma,LV5.5,8,8,8,520
Necrozma,LV5.5,8,9,7,520
Necrozma,LV5.5,8,12,3,520
Necrozma,LV5.5,8,13,2,520
Necrozma,LV5.5,8,14,1,520
Necrozma,LV5.5,8,15,0,520
Necrozma,LV5.5,9,0,15,520
Necrozma,LV5.5,9,1,14,520
Necrozma,LV5.5,9,2,13,520
Necrozma,LV5.5,9,3,12,520
Necrozma,LV5.5,9,5,9,520
Necrozma,LV5.5,9,6,8,520
Necrozma,LV5.5,9,7,7,520
Necrozma,LV5.5,9,8,6,520
Necrozma,LV5.5,9,9,5,520
Necrozma,LV5.5,9,10,4,520
Necrozma,LV5.5,9,11,3,520
Necrozma,LV5.5,9,12,2,520
Necrozma,LV5.5,9,13,1,520
Necrozma,LV5.5,10,0,13,520
Necrozma,LV5.5,10,1,12,520
Necrozma,LV5.5,10,2,11,520
Necrozma,LV5.5,10,3,10,520
Necrozma,LV5.5,10,4,9,520
Necrozma,LV5.5,10,5,8,520
Necrozma,LV5.5,10,7,5,520
Necrozma,LV5.5,10,8,4,520
Necrozma,LV5.5,10,9,3,520
Necrozma,LV5.5,10,10,2,520
Necrozma,LV5.5,10,11,1,520
Necrozma,LV5.5,10,12,0,520
Necrozma,LV5.5,11,0,12,520
Necrozma,LV5.5,11,2,9,520
Necrozma,LV5.5,11,3,8,520
Necrozma,LV5.5,11,4,7,520
Necrozma,LV5.5,11,5,6,520
Necrozma,LV5.5,11,6,5,520
Necrozma,LV5.5,11,7,4,520
Necrozma,LV5.5,11,8,3,520
Necrozma,LV5.5,11,10,0,520
Necrozma,LV5.5,12,0,10,520
Necrozma,LV5.5,12,1,9,520
Necrozma,LV5.5,12,2,8,520
Necrozma,LV5.5,12,4,5,520
Necrozma,LV5.5,12,5,4,520
Necrozma,LV5.5,12,6,3,520
Necrozma,LV5.5,12,7,2,520
Necrozma,LV5.5,12,8,1,520
Necrozma,LV5.5,12,9,0,520
Necrozma,LV5.5,13,0,8,520
Necrozma,LV5.5,13,1,7,520
Necrozma,LV5.5,13,2,6,520
Necrozma,LV5.5,13,3,5,520
Necrozma,LV5.5,13,4,4,520
Necrozma,LV5.5,13,6,1,520
Necrozma,LV5.5,13,7,0,520
Necrozma,LV5.5,14,1,5,520
Necrozma,LV5.5,14,2,4,520
Necrozma,LV5.5,14,3,3,520
Necrozma,LV5.5,14,4,2,520
Necrozma,LV5.5,14,5,1,520
Necrozma,LV5.5,14,6,0,520
Necrozma,LV5.5,15,0,5,520
Necrozma,LV5.5,15,1,4,520
Necrozma,LV5.5,15,3,1,520
Necrozma,LV5.5,15,4,0,520
