Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Nihilego,LV5,9,15,15,520
Nihilego,LV5,10,13,15,520
Nihilego,LV5,10,14,14,520
Nihilego,LV5,10,15,13,520
Nihilego,LV5,11,12,14,520
Nihilego,LV5,11,13,13,520
Nihilego,LV5,11,14,12,520
Nihilego,LV5,11,15,11,520
Nihilego,LV5,12,10,15,520
Nihilego,LV5,12,11,14,520
Nihilego,LV5,12,12,12,520
Nihilego,LV5,12,13,11,520
Nihilego,LV5,12,14,10,520
Nihilego,LV5,12,15,9,520
Nihilego,LV5,13,8,15,520
Nihilego,LV5,13,9,14,520
Nihilego,LV5,13,10,13,520
Nihilego,LV5,13,11,12,520
Nihilego,LV5,13,13,9,520
Nihilego,LV5,13,14,8,520
Nihilego,LV5,13,15,7,520
Nihilego,LV5,14,7,14,520
Nihilego,LV5,14,8,13,520
Nihilego,LV5,14,9,12,520
Nihilego,LV5,14,10,11,520
Nihilego,LV5,14,11,10,520
Nihilego,LV5,14,12,9,520
Nihilego,LV5,14,14,6,520
Nihilego,LV5,14,15,5,520
Nihilego,LV5,15,5,15,520
Nihilego,LV5,15,6,14,520
Nihilego,LV5,15,7,12,520
Nihilego,LV5,15,8,11,520
Nihilego,LV5,15,9,10,520
Nihilego,LV5,15,10,9,520
Nihilego,LV5,15,11,8,520
Nihilego,LV5,15,12,7,520
Nihilego,LV5,15,13,6,520
Nihilego,LV5,15,15,3,520
