Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Noctowl,LV10.5,0,0,10,520
Noctowl,LV10.5,0,1,9,520
Noctowl,LV10.5,0,2,7,520
Noctowl,LV10.5,0,3,6,520
Noctowl,LV10.5,0,4,4,520
Noctowl,LV10.5,0,5,3,520
Noctowl,LV10.5,0,6,1,520
Noctowl,LV10.5,0,7,0,520
Noctowl,LV10,0,13,14,520
Noctowl,LV10,0,14,13,520
Noctowl,LV10.5,1,0,7,520
Noctowl,LV10.5,1,2,4,520
Noctowl,LV10.5,1,4,1,520
Noctowl,LV10.5,1,5,0,520
Noctowl,LV10,1,10,15,520
Noctowl,LV10,1,11,14,520
Noctowl,LV10,1,12,12,520
Noctowl,LV10,1,13,11,520
Noctowl,LV10,1,14,10,520
Noctowl,LV10,1,15,8,520
Noctowl,LV10.5,2,0,4,520
Noctowl,LV10.5,2,1,2,520
Noctowl,LV10.5,2,2,1,520
Noctowl,LV10,2,8,15,520
Noctowl,LV10,2,10,12,520
Noctowl,LV10,2,11,11,520
Noctowl,LV10,2,12,9,520
Noctowl,LV10,2,13,8,520
Noctowl,LV10,2,15,5,520
Noctowl,LV10.5,3,0,1,520
Noctowl,LV10,3,6,15,520
Noctowl,LV10,3,7,13,520
Noctowl,LV10,3,8,12,520
Noctowl,LV10,3,9,10,520
Noctowl,LV10,3,10,9,520
Noctowl,LV10,3,11,7,520
Noctowl,LV10,3,12,6,520
Noctowl,LV10,3,13,5,520
Noctowl,LV10,3,14,3,520
Noctowl,LV10,3,15,2,520
Noctowl,LV10,4,4,14,520
Noctowl,LV10,4,5,13,520
Noctowl,LV10,4,6,11,520
Noctowl,LV10,4,7,10,520
Noctowl,LV10,4,9,7,520
Noctowl,LV10,4,10,6,520
Noctowl,LV10,4,11,4,520
Noctowl,LV10,4,12,3,520
Noctowl,LV10,4,13,2,520
Noctowl,LV10,4,14,0,520
Noctowl,LV10,5,2,14,520
Noctowl,LV10,5,3,13,520
Noctowl,LV10,5,4,11,520
Noctowl,LV10,5,5,10,520
Noctowl,LV10,5,6,8,520
Noctowl,LV10,5,7,7,520
Noctowl,LV10,5,8,5,520
Noctowl,LV10,5,9,4,520
Noctowl,LV10,5,10,3,520
Noctowl,LV10,5,11,1,520
Noctowl,LV10,5,12,0,520
Noctowl,LV10,6,0,14,520
Noctowl,LV10,6,2,11,520
Noctowl,LV10,6,4,8,520
Noctowl,LV10,6,5,7,520
Noctowl,LV10,6,6,5,520
