Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Noivern,LV7.5,0,1,14,520
Noivern,LV7.5,0,2,13,520
Noivern,LV7.5,0,3,12,520
Noivern,LV7.5,0,4,11,520
Noivern,LV7.5,0,6,8,520
Noivern,LV7.5,0,7,7,520
Noivern,LV7.5,0,8,6,520
Noivern,LV7.5,0,9,5,520
Noivern,LV7.5,0,10,4,520
Noivern,LV7.5,0,11,3,520
Noivern,LV7.5,0,12,2,520
Noivern,LV7.5,0,13,1,520
Noivern,LV7.5,0,14,0,520
Noivern,LV7.5,1,0,13,520
Noivern,LV7.5,1,1,12,520
Noivern,LV7.5,1,2,11,520
Noivern,LV7.5,1,3,10,520
Noivern,LV7.5,1,4,9,520
Noivern,LV7.5,1,6,6,520
Noivern,LV7.5,1,7,5,520
Noivern,LV7.5,1,8,4,520
Noivern,LV7.5,1,9,3,520
Noivern,LV7.5,1,10,2,520
Noivern,LV7.5,1,11,1,520
Noivern,LV7.5,1,12,0,520
Noivern,LV7.5,2,0,11,520
Noivern,LV7.5,2,1,10,520
Noivern,LV7.5,2,2,9,520
Noivern,LV7.5,2,3,8,520
Noivern,LV7.5,2,4,7,520
Noivern,LV7.5,2,7,3,520
Noivern,LV7.5,2,8,2,520
Noivern,LV7.5,2,9,1,520
Noivern,LV7.5,2,10,0,520
Noivern,LV7.5,3,0,9,520
Noivern,LV7.5,3,1,8,520
Noivern,LV7.5,3,2,7,520
Noivern,LV7.5,3,3,6,520
Noivern,LV7.5,3,4,5,520
Noivern,LV7.5,3,7,1,520
Noivern,LV7.5,3,8,0,520
Noivern,LV7.5,4,0,7,520
Noivern,LV7.5,4,1,6,520
Noivern,LV7.5,4,2,5,520
Noivern,LV7.5,4,3,4,520
Noivern,LV7.5,4,4,3,520
Noivern,LV7.5,4,5,2,520
Noivern,LV7.5,5,1,4,520
Noivern,LV7.5,5,2,3,520
Noivern,LV7.5,5,3,2,520
Noivern,LV7.5,5,4,1,520
Noivern,LV7.5,5,5,0,520
Noivern,LV7.5,6,1,2,520
Noivern,LV7.5,6,2,1,520
Noivern,LV7.5,6,3,0,520
Noivern,LV7,7,15,15,520
Noivern,LV7.5,8,0,0,520
Noivern,LV7,8,15,13,520
Noivern,LV7,9,12,15,520
Noivern,LV7,9,15,11,520
Noivern,LV7,10,10,15,520
Noivern,LV7,10,11,14,520
Noivern,LV7,10,12,13,520
Noivern,LV7,10,13,12,520
Noivern,LV7,11,8,15,520
Noivern,LV7,11,9,14,520
Noivern,LV7,11,10,13,520
Noivern,LV7,11,11,12,520
Noivern,LV7,11,12,11,520
Noivern,LV7,11,13,10,520
Noivern,LV7,12,8,13,520
Noivern,LV7,12,9,12,520
Noivern,LV7,12,10,11,520
Noivern,LV7,12,11,10,520
Noivern,LV7,12,12,9,520
Noivern,LV7,12,13,8,520
Noivern,LV7,12,14,7,520
Noivern,LV7,12,15,6,520
Noivern,LV7,13,5,15,520
Noivern,LV7,13,6,14,520
Noivern,LV7,13,7,13,520
Noivern,LV7,13,9,10,520
Noivern,LV7,13,10,9,520
Noivern,LV7,13,11,8,520
Noivern,LV7,13,12,7,520
Noivern,LV7,13,13,6,520
Noivern,LV7,13,14,5,520
Noivern,LV7,13,15,4,520
Noivern,LV7,14,3,15,520
Noivern,LV7,14,4,14,520
Noivern,LV7,14,5,13,520
Noivern,LV7,14,6,12,520
Noivern,LV7,14,7,11,520
Noivern,LV7,14,10,7,520
Noivern,LV7,14,11,6,520
Noivern,LV7,14,12,5,520
Noivern,LV7,14,13,4,520
Noivern,LV7,14,14,3,520
Noivern,LV7,14,15,2,520
Noivern,LV7,15,2,15,520
Noivern,LV7,15,4,12,520
Noivern,LV7,15,5,11,520
Noivern,LV7,15,6,10,520
Noivern,LV7,15,7,9,520
Noivern,LV7,15,8,8,520
Noivern,LV7,15,11,4,520
Noivern,LV7,15,12,3,520
Noivern,LV7,15,13,2,520
Noivern,LV7,15,14,1,520
Noivern,LV7,15,15,0,520
