Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Nosepass,LV24,0,0,0,520
Nosepass,LV23.5,0,1,4,520
Nosepass,LV22.5,0,2,13,520
Nosepass,LV23.5,0,3,3,520
Nosepass,LV22.5,0,4,12,520
Nosepass,LV23.5,0,5,2,520
Nosepass,LV22.5,0,6,11,520
Nosepass,LV22.5,0,8,10,520
Nosepass,LV23.5,0,10,0,520
Nosepass,LV22.5,0,10,9,520
Nosepass,LV22,0,10,14,520
Nosepass,LV23,0,11,4,520
Nosepass,LV22.5,0,12,8,520
Nosepass,LV22,0,12,13,520
Nosepass,LV23,0,13,3,520
Nosepass,LV22.5,0,14,7,520
Nosepass,LV22,0,14,12,520
Nosepass,LV23,0,15,2,520
Nosepass,LV23.5,1,0,2,520
Nosepass,LV23,1,1,6,520
Nosepass,LV22.5,1,1,11,520
Nosepass,LV23.5,1,2,1,520
Nosepass,LV23,1,3,5,520
Nosepass,LV22.5,1,3,10,520
Nosepass,LV22,1,3,15,520
Nosepass,LV23.5,1,4,0,520
Nosepass,LV23,1,5,4,520
Nosepass,LV22.5,1,5,9,520
Nosepass,LV22,1,5,14,520
Nosepass,LV23,1,7,3,520
Nosepass,LV22.5,1,7,8,520
Nosepass,LV22,1,7,13,520
Nosepass,LV22.5,1,9,7,520
Nosepass,LV22,1,9,12,520
Nosepass,LV22.5,1,11,6,520
Nosepass,LV22,1,11,11,520
Nosepass,LV23,1,12,1,520
Nosepass,LV22.5,1,13,5,520
Nosepass,LV22,1,13,10,520
Nosepass,LV21.5,1,13,15,520
Nosepass,LV23,1,14,0,520
Nosepass,LV22.5,1,15,4,520
Nosepass,LV22,1,15,9,520
Nosepass,LV21.5,1,15,14,520
Nosepass,LV23,2,0,4,520
Nosepass,LV22,2,0,14,520
Nosepass,LV23,2,2,3,520
Nosepass,LV22,2,2,13,520
Nosepass,LV23,2,4,2,520
Nosepass,LV23,2,6,1,520
Nosepass,LV22.5,2,8,5,520
Nosepass,LV21.5,2,8,15,520
Nosepass,LV22.5,2,10,4,520
Nosepass,LV21.5,2,10,14,520
Nosepass,LV22.5,2,12,3,520
Nosepass,LV21.5,2,12,13,520
Nosepass,LV22.5,2,14,2,520
Nosepass,LV21.5,2,14,12,520
Nosepass,LV22.5,3,0,6,520
Nosepass,LV22,3,0,11,520
Nosepass,LV23,3,1,1,520
Nosepass,LV22.5,3,2,5,520
Nosepass,LV22,3,2,10,520
Nosepass,LV23,3,3,0,520
Nosepass,LV21.5,3,3,15,520
Nosepass,LV22,3,4,9,520
Nosepass,LV21.5,3,5,14,520
Nosepass,LV22,3,6,8,520
Nosepass,LV22,3,8,7,520
Nosepass,LV22.5,3,9,2,520
Nosepass,LV22,3,10,6,520
Nosepass,LV22.5,3,11,1,520
Nosepass,LV22,3,12,5,520
Nosepass,LV22.5,3,13,0,520
Nosepass,LV21,3,13,15,520
Nosepass,LV21,3,15,14,520
Nosepass,LV22.5,4,1,3,520
Nosepass,LV22,4,1,8,520
Nosepass,LV21.5,4,1,13,520
Nosepass,LV22,4,3,7,520
Nosepass,LV21.5,4,3,12,520
Nosepass,LV22,4,5,6,520
Nosepass,LV21.5,4,5,11,520
Nosepass,LV22.5,4,6,1,520
Nosepass,LV22,4,7,5,520
Nosepass,LV21.5,4,7,10,520
Nosepass,LV22.5,4,8,0,520
Nosepass,LV21,4,8,15,520
Nosepass,LV22,4,9,4,520
Nosepass,LV21.5,4,9,9,520
Nosepass,LV21,4,10,14,520
Nosepass,LV22,4,11,3,520
Nosepass,LV21.5,4,11,8,520
Nosepass,LV21,4,12,13,520
Nosepass,LV21.5,4,13,7,520
Nosepass,LV21,4,14,12,520
Nosepass,LV21.5,4,15,6,520
Nosepass,LV22,5,0,6,520
Nosepass,LV21.5,5,0,11,520
Nosepass,LV22,5,2,5,520
Nosepass,LV21.5,5,2,10,520
Nosepass,LV22.5,5,3,0,520
Nosepass,LV21,5,3,15,520
Nosepass,LV22,5,4,4,520
Nosepass,LV21.5,5,4,9,520
Nosepass,LV21,5,5,14,520
Nosepass,LV22,5,6,3,520
Nosepass,LV21.5,5,6,8,520
Nosepass,LV21,5,7,13,520
Nosepass,LV22,5,8,2,520
Nosepass,LV21.5,5,8,7,520
Nosepass,LV21,5,9,12,520
Nosepass,LV21.5,5,10,6,520
Nosepass,LV21.5,5,12,5,520
Nosepass,LV22,5,13,0,520
Nosepass,LV21,5,13,10,520
Nosepass,LV21.5,5,14,4,520
Nosepass,LV20.5,5,14,15,520
Nosepass,LV21,5,15,9,520
Nosepass,LV21,6,0,14,520
Nosepass,LV22,6,1,3,520
Nosepass,LV21.5,6,1,8,520
Nosepass,LV21,6,2,13,520
Nosepass,LV22,6,3,2,520
Nosepass,LV21.5,6,3,7,520
Nosepass,LV22,6,5,1,520
Nosepass,LV21.5,6,5,6,520
Nosepass,LV21.5,6,7,5,520
Nosepass,LV21.5,6,9,4,520
Nosepass,LV20.5,6,10,14,520
Nosepass,LV21.5,6,11,3,520
Nosepass,LV20.5,6,12,13,520
Nosepass,LV20.5,6,14,12,520
Nosepass,LV21.5,7,0,6,520
Nosepass,LV21.5,7,2,5,520
Nosepass,LV21.5,7,4,4,520
Nosepass,LV20.5,7,5,14,520
Nosepass,LV21.5,7,6,3,520
Nosepass,LV21,7,6,8,520
Nosepass,LV20.5,7,7,13,520
Nosepass,LV21.5,7,8,2,520
Nosepass,LV20.5,7,9,12,520
Nosepass,LV21.5,7,11,1,520
Nosepass,LV20.5,7,11,11,520
Nosepass,LV21.5,7,13,0,520
Nosepass,LV21,7,13,5,520
Nosepass,LV20.5,7,13,10,520
Nosepass,LV21,7,15,4,520
Nosepass,LV20.5,7,15,9,520
Nosepass,LV21.5,8,1,3,520
Nosepass,LV20.5,8,2,13,520
Nosepass,LV20.5,8,4,12,520
Nosepass,LV21.5,8,6,1,520
Nosepass,LV20.5,8,6,11,520
Nosepass,LV21.5,8,8,0,520
Nosepass,LV21,8,8,5,520
Nosepass,LV20.5,8,8,10,520
Nosepass,LV21,8,10,4,520
Nosepass,LV20.5,8,10,9,520
Nosepass,LV20,8,11,14,520
Nosepass,LV21,8,12,3,520
Nosepass,LV20.5,8,12,8,520
Nosepass,LV20,8,13,13,520
Nosepass,LV21,8,14,2,520
Nosepass,LV20.5,8,14,7,520
Nosepass,LV20,8,15,12,520
Nosepass,LV21.5,9,1,1,520
Nosepass,LV21,9,1,6,520
Nosepass,LV20.5,9,1,11,520
Nosepass,LV21.5,9,3,0,520
Nosepass,LV21,9,3,5,520
Nosepass,LV20.5,9,3,10,520
Nosepass,LV21,9,5,4,520
