Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Nuzleaf,LV18.5,0,1,3,520
Nuzleaf,LV18,0,1,13,520
Nuzleaf,LV18.5,0,2,1,520
Nuzleaf,LV18,0,2,11,520
Nuzleaf,LV18,0,4,6,520
Nuzleaf,LV18,0,5,4,520
Nuzleaf,LV18,0,6,2,520
Nuzleaf,LV17.5,0,6,12,520
Nuzleaf,LV18,0,7,0,520
Nuzleaf,LV17.5,0,7,10,520
Nuzleaf,LV17.5,0,8,8,520
Nuzleaf,LV17.5,0,9,6,520
Nuzleaf,LV17.5,0,10,4,520
Nuzleaf,LV17,0,10,14,520
Nuzleaf,LV17.5,0,11,2,520
Nuzleaf,LV17,0,11,12,520
Nuzleaf,LV17.5,0,12,0,520
Nuzleaf,LV17,0,12,10,520
Nuzleaf,LV17,0,13,8,520
Nuzleaf,LV17,0,14,6,520
Nuzleaf,LV17,0,15,4,520
Nuzleaf,LV16.5,0,15,15,520
Nuzleaf,LV18.5,1,0,3,520
Nuzleaf,LV18,1,0,13,520
Nuzleaf,LV18,1,2,8,520
Nuzleaf,LV18,1,3,6,520
Nuzleaf,LV18,1,4,4,520
Nuzleaf,LV17.5,1,4,14,520
Nuzleaf,LV17.5,1,7,7,520
Nuzleaf,LV17.5,1,8,5,520
Nuzleaf,LV17.5,1,9,3,520
Nuzleaf,LV17,1,9,14,520
Nuzleaf,LV17.5,1,10,1,520
Nuzleaf,LV17,1,15,2,520
Nuzleaf,LV18.5,2,0,0,520
Nuzleaf,LV18,2,0,10,520
Nuzleaf,LV18,2,1,8,520
Nuzleaf,LV18,2,3,3,520
Nuzleaf,LV18,2,4,1,520
Nuzleaf,LV17.5,2,4,11,520
Nuzleaf,LV17.5,2,5,9,520
Nuzleaf,LV17.5,2,6,7,520
Nuzleaf,LV17.5,2,7,5,520
Nuzleaf,LV17,2,7,15,520
Nuzleaf,LV17,2,8,13,520
Nuzleaf,LV17,2,9,11,520
Nuzleaf,LV17,2,10,9,520
Nuzleaf,LV17,2,11,7,520
Nuzleaf,LV17,2,12,5,520
Nuzleaf,LV17,2,13,3,520
Nuzleaf,LV16.5,2,13,14,520
Nuzleaf,LV17,2,14,1,520
Nuzleaf,LV16.5,2,15,10,520
Nuzleaf,LV18,3,1,5,520
Nuzleaf,LV17.5,3,1,15,520
Nuzleaf,LV18,3,2,3,520
Nuzleaf,LV17.5,3,2,13,520
Nuzleaf,LV18,3,3,1,520
Nuzleaf,LV17.5,3,3,11,520
Nuzleaf,LV17.5,3,5,6,520
Nuzleaf,LV17.5,3,6,4,520
Nuzleaf,LV17,3,6,15,520
Nuzleaf,LV17.5,3,7,2,520
Nuzleaf,LV17.5,3,8,0,520
Nuzleaf,LV17,3,9,8,520
Nuzleaf,LV17,3,10,6,520
Nuzleaf,LV17,3,11,4,520
Nuzleaf,LV16.5,3,11,15,520
Nuzleaf,LV17,3,12,2,520
Nuzleaf,LV16.5,3,12,13,520
Nuzleaf,LV16.5,3,13,11,520
Nuzleaf,LV16.5,3,14,9,520
Nuzleaf,LV16.5,3,15,7,520
Nuzleaf,LV18,4,0,5,520
Nuzleaf,LV17.5,4,0,15,520
Nuzleaf,LV17.5,4,2,10,520
Nuzleaf,LV17.5,4,3,8,520
Nuzleaf,LV17.5,4,4,6,520
Nuzleaf,LV17.5,4,5,4,520
Nuzleaf,LV17,4,5,14,520
Nuzleaf,LV17,4,6,12,520
Nuzleaf,LV17,4,7,10,520
Nuzleaf,LV17,4,8,8,520
Nuzleaf,LV17,4,9,6,520
Nuzleaf,LV17,4,11,2,520
Nuzleaf,LV17,4,12,0,520
Nuzleaf,LV16.5,4,12,10,520
Nuzleaf,LV16.5,4,13,8,520
Nuzleaf,LV18,5,0,2,520
Nuzleaf,LV17.5,5,0,12,520
Nuzleaf,LV18,5,1,0,520
Nuzleaf,LV17.5,5,1,10,520
Nuzleaf,LV17.5,5,2,8,520
Nuzleaf,LV17,5,4,14,520
Nuzleaf,LV17.5,5,5,1,520
Nuzleaf,LV17,5,7,7,520
Nuzleaf,LV17,5,8,5,520
Nuzleaf,LV17,5,9,3,520
Nuzleaf,LV16.5,5,9,14,520
Nuzleaf,LV17,5,10,1,520
Nuzleaf,LV16.5,5,10,12,520
Nuzleaf,LV16.5,5,11,10,520
Nuzleaf,LV16.5,5,12,8,520
Nuzleaf,LV16.5,5,13,6,520
Nuzleaf,LV16.5,5,14,4,520
Nuzleaf,LV16,5,14,15,520
Nuzleaf,LV16.5,5,15,2,520
Nuzleaf,LV16,5,15,13,520
Nuzleaf,LV18,6,0,0,520
Nuzleaf,LV17.5,6,0,10,520
Nuzleaf,LV17.5,6,2,5,520
Nuzleaf,LV17.5,6,3,3,520
Nuzleaf,LV17.5,6,4,1,520
Nuzleaf,LV17,6,4,11,520
Nuzleaf,LV17,6,5,9,520
Nuzleaf,LV17,6,6,7,520
Nuzleaf,LV17,6,7,5,520
Nuzleaf,LV16.5,6,9,11,520
Nuzleaf,LV16.5,6,10,9,520
Nuzleaf,LV16.5,6,11,7,520
Nuzleaf,LV16.5,6,12,5,520
Nuzleaf,LV16.5,6,13,3,520
Nuzleaf,LV16,6,13,14,520
Nuzleaf,LV16.5,6,14,1,520
Nuzleaf,LV16,6,14,12,520
Nuzleaf,LV16,6,15,10,520
Nuzleaf,LV17.5,7,0,7,520
Nuzleaf,LV17.5,7,1,5,520
Nuzleaf,LV17,7,2,13,520
Nuzleaf,LV17,7,3,11,520
Nuzleaf,LV17,7,6,4,520
Nuzleaf,LV16.5,7,6,15,520
Nuzleaf,LV17,7,7,2,520
Nuzleaf,LV16.5,7,7,13,520
Nuzleaf,LV17,7,8,0,520
Nuzleaf,LV16.5,7,8,11,520
Nuzleaf,LV16.5,7,9,9,520
Nuzleaf,LV16,7,12,14,520
Nuzleaf,LV16.5,7,13,1,520
Nuzleaf,LV16,7,13,12,520
Nuzleaf,LV16,7,14,10,520
Nuzleaf,LV16,7,15,8,520
Nuzleaf,LV17,8,0,15,520
Nuzleaf,LV17,8,1,13,520
Nuzleaf,LV17.5,8,2,0,520
Nuzleaf,LV17,8,3,8,520
Nuzleaf,LV17,8,4,6,520
Nuzleaf,LV17,8,5,4,520
Nuzleaf,LV16.5,8,5,15,520
Nuzleaf,LV17,8,6,2,520
Nuzleaf,LV17,8,7,0,520
Nuzleaf,LV16.5,8,7,10,520
Nuzleaf,LV16.5,8,8,8,520
Nuzleaf,LV16.5,8,9,6,520
Nuzleaf,LV16.5,8,10,4,520
Nuzleaf,LV16,8,10,15,520
Nuzleaf,LV16.5,8,11,2,520
Nuzleaf,LV16,8,11,13,520
Nuzleaf,LV16.5,8,12,0,520
Nuzleaf,LV16,8,12,11,520
Nuzleaf,LV16,8,13,9,520
Nuzleaf,LV16,8,14,7,520
Nuzleaf,LV16,8,15,5,520
Nuzleaf,LV17.5,9,0,2,520
Nuzleaf,LV17.5,9,1,0,520
Nuzleaf,LV17,9,1,10,520
Nuzleaf,LV17,9,2,8,520
Nuzleaf,LV17,9,3,6,520
Nuzleaf,LV16.5,9,4,14,520
Nuzleaf,LV16.5,9,5,12,520
Nuzleaf,LV16.5,9,6,10,520
Nuzleaf,LV16.5,9,7,8,520
Nuzleaf,LV16.5,9,8,6,520
Nuzleaf,LV16,9,9,15,520
Nuzleaf,LV16,9,10,13,520
Nuzleaf,LV16.5,9,11,0,520
Nuzleaf,LV16,9,15,3,520
Nuzleaf,LV15.5,9,15,14,520
Nuzleaf,LV17.5,10,0,0,520
Nuzleaf,LV17,10,0,10,520
Nuzleaf,LV17,10,1,8,520
Nuzleaf,LV17,10,3,3,520
Nuzleaf,LV16.5,10,3,14,520
Nuzleaf,LV17,10,4,1,520
Nuzleaf,LV16.5,10,4,12,520
Nuzleaf,LV16.5,10,7,5,520
Nuzleaf,LV16.5,10,8,3,520
Nuzleaf,LV16,10,8,14,520
Nuzleaf,LV16.5,10,9,1,520
Nuzleaf,LV16,10,9,12,520
Nuzleaf,LV16,10,10,10,520
Nuzleaf,LV16,10,11,8,520
Nuzleaf,LV16,10,12,6,520
Nuzleaf,LV16,10,13,4,520
Nuzleaf,LV16,10,14,2,520
Nuzleaf,LV16,10,15,0,520
Nuzleaf,LV17,11,1,5,520
Nuzleaf,LV17,11,2,3,520
Nuzleaf,LV16.5,11,2,14,520
Nuzleaf,LV17,11,3,1,520
Nuzleaf,LV16.5,11,4,9,520
Nuzleaf,LV16.5,11,5,7,520
Nuzleaf,LV16.5,11,6,5,520
Nuzleaf,LV16.5,11,7,3,520
Nuzleaf,LV16,11,7,14,520
Nuzleaf,LV16.5,11,8,1,520
Nuzleaf,LV16,11,8,12,520
Nuzleaf,LV16,11,9,10,520
Nuzleaf,LV15.5,11,12,15,520
Nuzleaf,LV16,11,13,2,520
Nuzleaf,LV15.5,11,13,13,520
Nuzleaf,LV16,11,14,0,520
Nuzleaf,LV15.5,11,14,11,520
Nuzleaf,LV15.5,11,15,9,520
Nuzleaf,LV17,12,0,5,520
Nuzleaf,LV17,12,1,3,520
Nuzleaf,LV16.5,12,2,11,520
Nuzleaf,LV16.5,12,3,9,520
Nuzleaf,LV16.5,12,4,7,520
Nuzleaf,LV16,12,8,9,520
Nuzleaf,LV16,12,9,7,520
Nuzleaf,LV16,12,10,5,520
Nuzleaf,LV16,12,11,3,520
Nuzleaf,LV16,12,12,1,520
Nuzleaf,LV16.5,13,1,11,520
Nuzleaf,LV16.5,13,2,9,520
Nuzleaf,LV16.5,13,5,2,520
Nuzleaf,LV16,13,5,13,520
Nuzleaf,LV16.5,13,6,0,520
Nuzleaf,LV16,13,6,11,520
Nuzleaf,LV16,13,7,9,520
Nuzleaf,LV16,13,8,7,520
Nuzleaf,LV16,13,9,5,520
Nuzleaf,LV16,13,10,3,520
Nuzleaf,LV15.5,13,10,14,520
Nuzleaf,LV16,13,11,1,520
Nuzleaf,LV15.5,13,11,12,520
Nuzleaf,LV15.5,13,12,10,520
Nuzleaf,LV15.5,13,13,8,520
Nuzleaf,LV15.5,13,14,6,520
Nuzleaf,LV15.5,13,15,4,520
Nuzleaf,LV17,14,0,0,520
Nuzleaf,LV16.5,14,0,11,520
Nuzleaf,LV16.5,14,2,6,520
Nuzleaf,LV16.5,14,3,4,520
Nuzleaf,LV16,14,3,15,520
Nuzleaf,LV16.5,14,4,2,520
Nuzleaf,LV16,14,4,13,520
Nuzleaf,LV16.5,14,5,0,520
Nuzleaf,LV16,14,5,11,520
Nuzleaf,LV15.5,14,9,14,520
Nuzleaf,LV15.5,14,10,12,520
Nuzleaf,LV15.5,14,14,4,520
Nuzleaf,LV15.5,14,15,2,520
Nuzleaf,LV16.5,15,1,6,520
Nuzleaf,LV16.5,15,2,4,520
Nuzleaf,LV16,15,2,15,520
Nuzleaf,LV16.5,15,3,2,520
Nuzleaf,LV16,15,3,13,520
Nuzleaf,LV16,15,5,8,520
Nuzleaf,LV16,15,6,6,520
Nuzleaf,LV16,15,7,4,520
Nuzleaf,LV16,15,8,2,520
Nuzleaf,LV16,15,9,0,520
Nuzleaf,LV15.5,15,9,11,520
Nuzleaf,LV15.5,15,10,9,520
Nuzleaf,LV15.5,15,11,7,520
Nuzleaf,LV15.5,15,12,5,520
Nuzleaf,LV15.5,15,13,3,520
Nuzleaf,LV15,15,13,15,520
Nuzleaf,LV15,15,14,13,520
Nuzleaf,LV15,15,15,11,520
