Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Obstagoon,LV8,0,0,5,520
Obstagoon,LV8,0,1,4,520
Obstagoon,LV8,0,2,3,520
Obstagoon,LV8,0,3,2,520
Obstagoon,LV8,0,4,1,520
Obstagoon,LV8,0,5,0,520
Obstagoon,LV8,1,0,3,520
Obstagoon,LV8,1,1,2,520
Obstagoon,LV8,1,2,1,520
Obstagoon,LV8,1,3,0,520
Obstagoon,LV8,2,0,1,520
Obstagoon,LV7.5,2,15,15,520
Obstagoon,LV7.5,3,13,14,520
Obstagoon,LV7.5,3,14,13,520
Obstagoon,LV7.5,3,15,12,520
Obstagoon,LV7.5,4,10,15,520
Obstagoon,LV7.5,4,11,14,520
Obstagoon,LV7.5,4,12,13,520
Obstagoon,LV7.5,4,13,12,520
Obstagoon,LV7.5,4,14,11,520
Obstagoon,LV7.5,4,15,10,520
Obstagoon,LV7.5,5,8,15,520
Obstagoon,LV7.5,5,9,14,520
Obstagoon,LV7.5,5,10,13,520
Obstagoon,LV7.5,5,11,12,520
Obstagoon,LV7.5,5,12,11,520
Obstagoon,LV7.5,6,6,15,520
Obstagoon,LV7.5,6,7,14,520
Obstagoon,LV7.5,6,8,13,520
Obstagoon,LV7.5,6,10,10,520
Obstagoon,LV7.5,6,11,9,520
Obstagoon,LV7.5,6,12,8,520
Obstagoon,LV7.5,6,13,7,520
Obstagoon,LV7.5,6,14,6,520
Obstagoon,LV7.5,6,15,5,520
Obstagoon,LV7.5,7,4,15,520
Obstagoon,LV7.5,7,5,14,520
Obstagoon,LV7.5,7,7,11,520
Obstagoon,LV7.5,7,8,10,520
Obstagoon,LV7.5,7,9,9,520
Obstagoon,LV7.5,7,10,8,520
Obstagoon,LV7.5,7,11,7,520
Obstagoon,LV7.5,7,12,6,520
Obstagoon,LV7.5,7,13,5,520
Obstagoon,LV7.5,7,14,4,520
Obstagoon,LV7.5,7,15,3,520
Obstagoon,LV7.5,8,2,15,520
Obstagoon,LV7.5,8,4,12,520
Obstagoon,LV7.5,8,5,11,520
Obstagoon,LV7.5,8,6,10,520
Obstagoon,LV7.5,8,7,9,520
Obstagoon,LV7.5,8,8,8,520
Obstagoon,LV7.5,8,9,7,520
Obstagoon,LV7.5,8,10,6,520
Obstagoon,LV7.5,8,11,5,520
Obstagoon,LV7.5,8,12,4,520
Obstagoon,LV7.5,9,1,13,520
Obstagoon,LV7.5,9,2,12,520
Obstagoon,LV7.5,9,3,11,520
Obstagoon,LV7.5,9,4,10,520
Obstagoon,LV7.5,9,5,9,520
Obstagoon,LV7.5,9,6,8,520
Obstagoon,LV7.5,9,7,7,520
Obstagoon,LV7.5,9,10,3,520
Obstagoon,LV7.5,9,11,2,520
Obstagoon,LV7.5,9,12,1,520
Obstagoon,LV7.5,9,13,0,520
Obstagoon,LV7.5,10,0,12,520
Obstagoon,LV7.5,10,1,11,520
Obstagoon,LV7.5,10,2,10,520
Obstagoon,LV7.5,10,3,9,520
Obstagoon,LV7.5,10,4,8,520
Obstagoon,LV7.5,10,6,5,520
Obstagoon,LV7.5,10,7,4,520
Obstagoon,LV7.5,10,8,3,520
Obstagoon,LV7.5,10,9,2,520
Obstagoon,LV7.5,10,10,1,520
Obstagoon,LV7.5,10,11,0,520
Obstagoon,LV7.5,11,0,10,520
Obstagoon,LV7.5,11,1,9,520
Obstagoon,LV7.5,11,3,6,520
Obstagoon,LV7.5,11,4,5,520
Obstagoon,LV7.5,11,5,4,520
Obstagoon,LV7.5,11,6,3,520
Obstagoon,LV7.5,11,7,2,520
Obstagoon,LV7.5,11,8,1,520
Obstagoon,LV7.5,11,9,0,520
Obstagoon,LV7.5,12,1,6,520
Obstagoon,LV7.5,12,2,5,520
Obstagoon,LV7.5,12,3,4,520
Obstagoon,LV7.5,12,4,3,520
Obstagoon,LV7.5,12,5,2,520
Obstagoon,LV7.5,12,6,1,520
Obstagoon,LV7.5,12,7,0,520
Obstagoon,LV7.5,13,0,5,520
Obstagoon,LV7.5,13,1,4,520
Obstagoon,LV7.5,13,2,3,520
Obstagoon,LV7.5,13,3,2,520
Obstagoon,LV7.5,13,4,1,520
Obstagoon,LV7.5,13,5,0,520
Obstagoon,LV7.5,14,0,3,520
Obstagoon,LV7.5,14,1,2,520
Obstagoon,LV7.5,14,2,1,520
Obstagoon,LV7.5,14,3,0,520
Obstagoon,LV7.5,15,0,1,520
Obstagoon,LV7.5,15,1,0,520
