Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Oinkologne Female,LV8.5,0,0,8,520
Oinkologne Female,LV8.5,0,1,7,520
Oinkologne Female,LV8.5,0,2,5,520
Oinkologne Female,LV8.5,0,3,4,520
Oinkologne Female,LV8.5,0,4,2,520
Oinkologne Female,LV8.5,0,5,1,520
Oinkologne Female,LV8.5,1,0,5,520
Oinkologne Female,LV8.5,1,1,4,520
Oinkologne Female,LV8.5,1,2,2,520
Oinkologne Female,LV8.5,1,3,1,520
Oinkologne Female,LV8.5,2,0,2,520
Oinkologne Female,LV8.5,2,1,1,520
Oinkologne Female,LV8,2,14,15,520
Oinkologne Female,LV8,2,15,13,520
Oinkologne Female,LV8,3,12,14,520
Oinkologne Female,LV8,3,13,13,520
Oinkologne Female,LV8,3,14,11,520
Oinkologne Female,LV8,3,15,10,520
Oinkologne Female,LV8,4,10,14,520
Oinkologne Female,LV8,4,11,13,520
Oinkologne Female,LV8,4,12,11,520
Oinkologne Female,LV8,4,13,10,520
Oinkologne Female,LV8,4,14,8,520
Oinkologne Female,LV8,4,15,7,520
Oinkologne Female,LV8,5,8,14,520
Oinkologne Female,LV8,5,8,15,520
Oinkologne Female,LV8,5,9,13,520
Oinkologne Female,LV8,5,10,11,520
Oinkologne Female,LV8,5,11,10,520
Oinkologne Female,LV8,5,12,8,520
Oinkologne Female,LV8,5,13,7,520
Oinkologne Female,LV8,5,14,5,520
Oinkologne Female,LV8,5,15,4,520
Oinkologne Female,LV8,6,6,15,520
Oinkologne Female,LV8,6,7,13,520
Oinkologne Female,LV8,6,8,11,520
Oinkologne Female,LV8,6,9,10,520
Oinkologne Female,LV8,6,10,8,520
Oinkologne Female,LV8,6,11,7,520
Oinkologne Female,LV8,6,12,5,520
Oinkologne Female,LV8,6,13,4,520
Oinkologne Female,LV8,6,14,3,520
Oinkologne Female,LV8,6,15,1,520
Oinkologne Female,LV8,7,4,15,520
Oinkologne Female,LV8,7,5,13,520
Oinkologne Female,LV8,7,6,12,520
Oinkologne Female,LV8,7,7,10,520
Oinkologne Female,LV8,7,8,9,520
Oinkologne Female,LV8,7,9,7,520
Oinkologne Female,LV8,7,10,5,520
Oinkologne Female,LV8,7,11,4,520
Oinkologne Female,LV8,7,12,3,520
Oinkologne Female,LV8,7,13,1,520
Oinkologne Female,LV8,7,14,0,520
Oinkologne Female,LV8,8,2,15,520
Oinkologne Female,LV8,8,3,13,520
Oinkologne Female,LV8,8,4,12,520
Oinkologne Female,LV8,8,5,10,520
Oinkologne Female,LV8,8,6,9,520
Oinkologne Female,LV8,8,7,7,520
Oinkologne Female,LV8,8,8,6,520
Oinkologne Female,LV8,8,9,4,520
Oinkologne Female,LV8,8,10,3,520
Oinkologne Female,LV8,8,11,1,520
Oinkologne Female,LV8,8,12,0,520
Oinkologne Female,LV8,9,0,15,520
Oinkologne Female,LV8,9,1,14,520
Oinkologne Female,LV8,9,2,12,520
Oinkologne Female,LV8,9,3,10,520
Oinkologne Female,LV8,9,4,9,520
Oinkologne Female,LV8,9,5,7,520
Oinkologne Female,LV8,9,6,6,520
Oinkologne Female,LV8,9,7,4,520
Oinkologne Female,LV8,9,8,3,520
Oinkologne Female,LV8,9,9,1,520
Oinkologne Female,LV8,9,10,0,520
Oinkologne Female,LV8,10,0,12,520
Oinkologne Female,LV8,10,1,11,520
Oinkologne Female,LV8,10,2,9,520
Oinkologne Female,LV8,10,3,7,520
Oinkologne Female,LV8,10,4,6,520
Oinkologne Female,LV8,10,5,4,520
Oinkologne Female,LV8,10,6,3,520
Oinkologne Female,LV8,10,7,1,520
Oinkologne Female,LV8,10,8,0,520
Oinkologne Female,LV8,11,0,9,520
Oinkologne Female,LV8,11,1,8,520
Oinkologne Female,LV8,11,2,6,520
Oinkologne Female,LV8,11,3,5,520
Oinkologne Female,LV8,11,4,3,520
Oinkologne Female,LV8,11,5,2,520
Oinkologne Female,LV8,11,6,0,520
Oinkologne Female,LV8,12,0,6,520
Oinkologne Female,LV8,12,1,5,520
Oinkologne Female,LV8,12,2,3,520
Oinkologne Female,LV8,12,3,2,520
Oinkologne Female,LV8,12,4,0,520
Oinkologne Female,LV8,13,0,4,520
Oinkologne Female,LV8,13,1,2,520
Oinkologne Female,LV8,13,2,1,520
Oinkologne Female,LV8,14,0,1,520
Oinkologne Female,LV7.5,14,14,15,520
Oinkologne Female,LV7.5,14,15,14,520
Oinkologne Female,LV7.5,15,12,15,520
Oinkologne Female,LV7.5,15,13,14,520
Oinkologne Female,LV7.5,15,14,12,520
Oinkologne Female,LV7.5,15,15,11,520
