Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Overqwil,LV7,0,4,13,520
Overqwil,LV7,0,5,12,520
Overqwil,LV7,0,6,11,520
Overqwil,LV7,0,7,10,520
Overqwil,LV7,0,9,7,520
Overqwil,LV7,0,10,6,520
Overqwil,LV7,0,11,5,520
Overqwil,LV7,0,12,4,520
Overqwil,LV7,0,13,3,520
Overqwil,LV7,0,14,2,520
Overqwil,LV7,0,15,1,520
Overqwil,LV7,1,1,15,520
Overqwil,LV7,1,2,14,520
Overqwil,LV7,1,4,11,520
Overqwil,LV7,1,5,10,520
Overqwil,LV7,1,6,9,520
Overqwil,LV7,1,7,8,520
Overqwil,LV7,1,8,7,520
Overqwil,LV7,1,11,3,520
Overqwil,LV7,1,12,2,520
Overqwil,LV7,1,13,1,520
Overqwil,LV7,1,14,0,520
Overqwil,LV7,2,0,14,520
Overqwil,LV7,2,1,13,520
Overqwil,LV7,2,2,12,520
Overqwil,LV7,2,3,11,520
Overqwil,LV7,2,5,8,520
Overqwil,LV7,2,6,7,520
Overqwil,LV7,2,7,6,520
Overqwil,LV7,2,8,5,520
Overqwil,LV7,2,9,4,520
Overqwil,LV7,3,1,11,520
Overqwil,LV7,3,2,10,520
Overqwil,LV7,3,3,9,520
Overqwil,LV7,3,4,8,520
Overqwil,LV7,3,6,5,520
Overqwil,LV7,3,7,4,520
Overqwil,LV7,3,8,3,520
Overqwil,LV7,3,9,2,520
Overqwil,LV7,3,10,1,520
Overqwil,LV7,3,11,0,520
Overqwil,LV7,4,1,9,520
Overqwil,LV7,4,2,8,520
Overqwil,LV7,4,3,7,520
Overqwil,LV7,4,4,6,520
Overqwil,LV7,4,5,5,520
Overqwil,LV7,4,7,2,520
Overqwil,LV7,4,8,1,520
Overqwil,LV7,4,9,0,520
Overqwil,LV7,5,0,9,520
Overqwil,LV7,5,2,6,520
Overqwil,LV7,5,3,5,520
Overqwil,LV7,5,4,4,520
Overqwil,LV7,5,5,3,520
Overqwil,LV7,5,6,2,520
Overqwil,LV7,6,0,7,520
Overqwil,LV7,6,1,6,520
Overqwil,LV7,6,4,2,520
Overqwil,LV7,6,5,1,520
Overqwil,LV7,6,6,0,520
Overqwil,LV7,7,0,5,520
Overqwil,LV7,7,1,4,520
Overqwil,LV7,7,2,3,520
Overqwil,LV7,7,3,2,520
Overqwil,LV7,8,0,3,520
Overqwil,LV7,8,1,2,520
Overqwil,LV7,8,2,1,520
Overqwil,LV7,8,3,0,520
Overqwil,LV7,9,0,2,520
Overqwil,LV7,10,0,0,520
Overqwil,LV6.5,11,14,15,520
Overqwil,LV6.5,11,15,14,520
Overqwil,LV6.5,12,13,14,520
Overqwil,LV6.5,12,14,13,520
Overqwil,LV6.5,12,15,12,520
Overqwil,LV6.5,13,11,15,520
Overqwil,LV6.5,13,12,14,520
Overqwil,LV6.5,13,15,10,520
Overqwil,LV6.5,14,10,14,520
Overqwil,LV6.5,14,11,13,520
Overqwil,LV6.5,14,12,12,520
Overqwil,LV6.5,14,13,11,520
Overqwil,LV6.5,14,14,10,520
Overqwil,LV6.5,15,8,15,520
Overqwil,LV6.5,15,9,14,520
Overqwil,LV6.5,15,11,11,520
Overqwil,LV6.5,15,12,10,520
Overqwil,LV6.5,15,13,9,520
Overqwil,LV6.5,15,14,8,520
Overqwil,LV6.5,15,15,7,520
