Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Paras,LV23,0,0,0,520
Paras,LV22.5,0,0,5,520
Paras,LV22.5,0,1,4,520
Paras,LV22,0,1,9,520
Paras,LV22,0,2,8,520
Paras,LV21.5,0,4,11,520
Paras,LV21.5,0,5,10,520
Paras,LV22,0,8,1,520
Paras,LV21,0,8,12,520
Paras,LV22,0,9,0,520
Paras,LV21,0,9,11,520
Paras,LV21,0,10,10,520
Paras,LV21,0,11,9,520
Paras,LV22.5,1,0,3,520
Paras,LV21.5,1,0,14,520
Paras,LV22.5,1,1,2,520
Paras,LV22,1,1,7,520
Paras,LV22.5,1,2,1,520
Paras,LV22,1,2,6,520
Paras,LV22,1,3,5,520
Paras,LV21.5,1,4,9,520
Paras,LV21,1,4,15,520
Paras,LV21.5,1,5,8,520
Paras,LV21,1,8,10,520
Paras,LV21,1,9,9,520
Paras,LV20.5,1,9,15,520
Paras,LV21,1,10,8,520
Paras,LV20.5,1,10,14,520
Paras,LV21,1,11,7,520
Paras,LV22.5,2,0,1,520
Paras,LV21.5,2,0,12,520
Paras,LV22.5,2,1,0,520
Paras,LV22,2,1,5,520
Paras,LV22,2,2,4,520
Paras,LV22,2,3,3,520
Paras,LV21,2,3,14,520
Paras,LV22,2,4,2,520
Paras,LV21.5,2,4,7,520
Paras,LV21,2,4,13,520
Paras,LV21.5,2,5,6,520
Paras,LV21.5,2,6,5,520
Paras,LV21,2,8,8,520
Paras,LV20.5,2,8,14,520
Paras,LV21,2,9,7,520
Paras,LV20.5,2,9,13,520
Paras,LV21,2,10,6,520
Paras,LV20.5,2,10,12,520
Paras,LV21,2,11,5,520
Paras,LV21,2,12,4,520
Paras,LV21,2,13,3,520
Paras,LV21,2,14,2,520
Paras,LV21,2,15,1,520
Paras,LV21.5,3,0,10,520
Paras,LV22,3,2,2,520
Paras,LV21,3,2,13,520
Paras,LV22,3,3,1,520
Paras,LV21,3,3,12,520
Paras,LV22,3,4,0,520
Paras,LV21.5,3,4,5,520
Paras,LV21,3,4,11,520
Paras,LV21.5,3,5,4,520
Paras,LV21.5,3,6,3,520
Paras,LV21.5,3,7,2,520
Paras,LV20.5,3,7,13,520
Paras,LV21.5,3,8,1,520
Paras,LV20.5,3,8,12,520
Paras,LV21.5,3,9,0,520
Paras,LV21,3,9,5,520
Paras,LV20.5,3,9,11,520
Paras,LV21,3,10,4,520
Paras,LV20.5,3,10,10,520
Paras,LV21,3,11,3,520
Paras,LV20,3,11,15,520
Paras,LV21,3,12,2,520
Paras,LV21,3,13,1,520
Paras,LV21,3,14,0,520
Paras,LV21.5,4,0,8,520
Paras,LV21.5,4,1,7,520
Paras,LV21,4,3,10,520
Paras,LV21,4,4,9,520
Paras,LV20.5,4,4,15,520
Paras,LV21.5,4,6,1,520
Paras,LV21.5,4,7,0,520
Paras,LV20.5,4,8,10,520
Paras,LV20.5,4,9,9,520
Paras,LV20,4,9,15,520
Paras,LV20.5,4,10,8,520
Paras,LV20,4,10,14,520
Paras,LV20.5,4,11,7,520
Paras,LV22,5,0,1,520
Paras,LV21.5,5,0,6,520
Paras,LV21.5,5,1,5,520
Paras,LV21.5,5,2,4,520
Paras,LV21,5,3,8,520
Paras,LV20.5,5,3,14,520
Paras,LV21,5,4,7,520
Paras,LV20.5,5,4,13,520
Paras,LV21,5,5,6,520
Paras,LV20.5,5,8,8,520
Paras,LV20,5,8,14,520
Paras,LV20.5,5,9,7,520
Paras,LV20,5,9,13,520
Paras,LV20.5,5,10,6,520
Paras,LV20,5,10,12,520
Paras,LV20.5,5,11,5,520
Paras,LV20,5,11,11,520
Paras,LV20.5,5,12,4,520
Paras,LV20.5,5,13,3,520
Paras,LV19.5,5,13,15,520
Paras,LV20.5,5,14,2,520
Paras,LV20.5,5,15,1,520
Paras,LV21,6,0,10,520
Paras,LV21.5,6,1,3,520
Paras,LV21.5,6,2,2,520
Paras,LV21.5,6,3,1,520
Paras,LV20.5,6,3,12,520
Paras,LV21.5,6,4,0,520
