Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Parasect,LV11.5,0,0,7,520
Parasect,LV11,0,6,15,520
Parasect,LV11,0,7,14,520
Parasect,LV11.5,1,0,5,520
Parasect,LV11.5,1,1,4,520
Parasect,LV11,1,4,15,520
Parasect,LV11,1,5,14,520
Parasect,LV11,1,6,13,520
Parasect,LV11,1,7,12,520
Parasect,LV11.5,2,0,3,520
Parasect,LV11.5,2,1,2,520
Parasect,LV11.5,2,2,1,520
Parasect,LV11,2,2,15,520
Parasect,LV11.5,2,3,0,520
Parasect,LV11,2,3,14,520
Parasect,LV11,2,4,13,520
Parasect,LV11,2,5,12,520
Parasect,LV11,2,6,11,520
Parasect,LV11,2,7,10,520
Parasect,LV11.5,3,0,1,520
Parasect,LV11.5,3,1,0,520
Parasect,LV11,3,2,13,520
Parasect,LV11,3,3,12,520
Parasect,LV11,3,4,11,520
Parasect,LV11,3,5,10,520
Parasect,LV11,3,6,9,520
Parasect,LV11,3,7,8,520
Parasect,LV10.5,3,15,15,520
Parasect,LV11,4,2,11,520
Parasect,LV11,4,3,10,520
Parasect,LV11,4,4,9,520
Parasect,LV11,4,5,8,520
Parasect,LV11,4,6,7,520
Parasect,LV11,4,7,6,520
Parasect,LV11,4,8,5,520
Parasect,LV11,4,9,4,520
Parasect,LV11,4,10,3,520
Parasect,LV11,4,11,2,520
Parasect,LV11,4,12,1,520
Parasect,LV11,4,13,0,520
Parasect,LV10.5,4,13,15,520
Parasect,LV10.5,4,14,14,520
Parasect,LV10.5,4,15,13,520
Parasect,LV11,5,2,9,520
Parasect,LV11,5,3,8,520
Parasect,LV11,5,4,7,520
Parasect,LV11,5,5,6,520
Parasect,LV11,5,6,5,520
Parasect,LV11,5,7,4,520
Parasect,LV11,5,8,3,520
Parasect,LV11,5,9,2,520
Parasect,LV11,5,10,1,520
Parasect,LV11,5,11,0,520
Parasect,LV10.5,5,11,15,520
Parasect,LV10.5,5,12,14,520
Parasect,LV10.5,5,13,13,520
Parasect,LV10.5,5,14,12,520
Parasect,LV10.5,5,15,11,520
Parasect,LV11,6,3,6,520
Parasect,LV11,6,4,5,520
Parasect,LV11,6,5,4,520
Parasect,LV11,6,6,3,520
Parasect,LV11,6,7,2,520
Parasect,LV11,6,8,1,520
Parasect,LV11,6,9,0,520
Parasect,LV10.5,6,9,15,520
Parasect,LV10.5,6,10,14,520
Parasect,LV10.5,6,11,13,520
Parasect,LV10.5,6,12,12,520
Parasect,LV10.5,6,13,11,520
Parasect,LV10.5,6,14,10,520
Parasect,LV10.5,6,15,9,520
Parasect,LV11,7,0,8,520
Parasect,LV11,7,6,1,520
Parasect,LV11,7,7,0,520
Parasect,LV10.5,7,8,14,520
Parasect,LV10.5,7,9,13,520
Parasect,LV10.5,7,10,12,520
Parasect,LV10.5,7,11,11,520
Parasect,LV10.5,7,12,10,520
Parasect,LV10.5,7,13,9,520
Parasect,LV10.5,7,14,8,520
Parasect,LV10.5,7,15,7,520
Parasect,LV11,8,0,6,520
Parasect,LV11,8,1,5,520
Parasect,LV10.5,8,9,11,520
Parasect,LV10.5,8,10,10,520
Parasect,LV10.5,8,11,9,520
Parasect,LV10.5,8,12,8,520
Parasect,LV10.5,8,13,7,520
Parasect,LV10.5,8,14,6,520
Parasect,LV10.5,8,15,5,520
Parasect,LV11,9,0,4,520
Parasect,LV11,9,1,3,520
Parasect,LV11,9,2,2,520
Parasect,LV11,9,3,1,520
Parasect,LV11,9,4,0,520
Parasect,LV10.5,9,4,15,520
Parasect,LV10.5,9,5,14,520
Parasect,LV10.5,9,10,8,520
Parasect,LV10.5,9,11,7,520
Parasect,LV10.5,9,12,6,520
Parasect,LV10.5,9,13,5,520
Parasect,LV10.5,9,14,4,520
Parasect,LV10.5,9,15,3,520
Parasect,LV11,10,0,2,520
Parasect,LV11,10,1,1,520
Parasect,LV11,10,2,0,520
Parasect,LV10.5,10,2,15,520
Parasect,LV10.5,10,3,14,520
Parasect,LV10.5,10,4,13,520
Parasect,LV10.5,10,5,12,520
Parasect,LV10.5,11,2,13,520
Parasect,LV10.5,11,3,12,520
Parasect,LV10.5,11,4,11,520
Parasect,LV10.5,11,5,10,520
Parasect,LV10.5,11,6,9,520
Parasect,LV10.5,11,7,8,520
Parasect,LV10.5,12,3,10,520
Parasect,LV10.5,12,4,9,520
Parasect,LV10.5,12,5,8,520
Parasect,LV10.5,12,6,7,520
Parasect,LV10.5,12,7,6,520
Parasect,LV10.5,12,8,5,520
Parasect,LV10.5,12,9,4,520
Parasect,LV10.5,12,10,3,520
Parasect,LV10.5,12,11,2,520
Parasect,LV10.5,12,12,1,520
Parasect,LV10.5,12,13,0,520
Parasect,LV10.5,13,0,12,520
Parasect,LV10.5,13,4,7,520
Parasect,LV10.5,13,5,6,520
Parasect,LV10.5,13,6,5,520
Parasect,LV10.5,13,7,4,520
Parasect,LV10.5,13,8,3,520
Parasect,LV10.5,13,9,2,520
Parasect,LV10.5,13,10,1,520
Parasect,LV10.5,13,11,0,520
Parasect,LV10,13,12,15,520
Parasect,LV10,13,13,14,520
Parasect,LV10,13,14,13,520
Parasect,LV10.5,14,0,10,520
Parasect,LV10.5,14,1,9,520
Parasect,LV10.5,14,8,1,520
Parasect,LV10.5,14,9,0,520
Parasect,LV10,14,10,15,520
Parasect,LV10,14,11,14,520
Parasect,LV10,14,12,13,520
Parasect,LV10,14,13,12,520
Parasect,LV10,14,14,11,520
Parasect,LV10,14,15,10,520
Parasect,LV10.5,15,0,8,520
Parasect,LV10.5,15,1,7,520
Parasect,LV10.5,15,2,6,520
Parasect,LV10.5,15,3,5,520
Parasect,LV10,15,9,14,520
Parasect,LV10,15,10,13,520
Parasect,LV10,15,11,12,520
Parasect,LV10,15,12,11,520
Parasect,LV10,15,13,10,520
Parasect,LV10,15,14,9,520
Parasect,LV10,15,15,8,520
