Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Passimian,LV7,0,0,6,520
Passimian,LV7,0,1,5,520
Passimian,LV7,0,2,3,520
Passimian,LV7,0,3,2,520
Passimian,LV7,0,4,0,520
Passimian,LV7,1,0,4,520
Passimian,LV7,1,2,1,520
Passimian,LV7,1,3,0,520
Passimian,LV7,2,0,2,520
Passimian,LV7,3,0,0,520
Passimian,LV6.5,4,15,14,520
Passimian,LV6.5,5,13,15,520
Passimian,LV6.5,5,14,14,520
Passimian,LV6.5,5,15,12,520
Passimian,LV6.5,6,12,14,520
Passimian,LV6.5,6,13,13,520
Passimian,LV6.5,6,14,12,520
Passimian,LV6.5,6,15,10,520
Passimian,LV6.5,7,10,15,520
Passimian,LV6.5,7,11,14,520
Passimian,LV6.5,7,12,12,520
Passimian,LV6.5,7,13,11,520
Passimian,LV6.5,7,15,8,520
Passimian,LV6.5,8,9,14,520
Passimian,LV6.5,8,10,13,520
Passimian,LV6.5,8,12,10,520
Passimian,LV6.5,8,13,9,520
Passimian,LV6.5,8,15,6,520
Passimian,LV6.5,9,7,15,520
Passimian,LV6.5,9,8,14,520
Passimian,LV6.5,9,9,12,520
Passimian,LV6.5,9,10,11,520
Passimian,LV6.5,9,12,8,520
Passimian,LV6.5,9,13,7,520
Passimian,LV6.5,9,15,4,520
Passimian,LV6.5,10,7,13,520
Passimian,LV6.5,10,8,12,520
Passimian,LV6.5,10,9,10,520
Passimian,LV6.5,10,10,9,520
Passimian,LV6.5,10,12,6,520
Passimian,LV6.5,10,13,5,520
Passimian,LV6.5,10,15,2,520
Passimian,LV6.5,11,4,15,520
Passimian,LV6.5,11,5,14,520
Passimian,LV6.5,11,6,12,520
Passimian,LV6.5,11,7,11,520
Passimian,LV6.5,11,8,10,520
Passimian,LV6.5,11,9,8,520
Passimian,LV6.5,11,10,7,520
Passimian,LV6.5,11,12,4,520
Passimian,LV6.5,11,13,3,520
Passimian,LV6.5,11,15,0,520
Passimian,LV6.5,12,3,15,520
Passimian,LV6.5,12,4,13,520
Passimian,LV6.5,12,5,12,520
Passimian,LV6.5,12,6,10,520
Passimian,LV6.5,12,7,9,520
Passimian,LV6.5,12,8,8,520
Passimian,LV6.5,12,9,6,520
Passimian,LV6.5,12,10,5,520
Passimian,LV6.5,12,12,2,520
Passimian,LV6.5,12,13,1,520
Passimian,LV6.5,12,14,0,520
Passimian,LV6.5,13,2,14,520
Passimian,LV6.5,13,3,13,520
Passimian,LV6.5,13,4,11,520
Passimian,LV6.5,13,5,10,520
Passimian,LV6.5,13,6,8,520
Passimian,LV6.5,13,7,7,520
Passimian,LV6.5,13,8,6,520
Passimian,LV6.5,13,9,4,520
Passimian,LV6.5,13,10,3,520
Passimian,LV6.5,13,11,2,520
Passimian,LV6.5,13,12,0,520
Passimian,LV6.5,14,0,15,520
Passimian,LV6.5,14,1,14,520
Passimian,LV6.5,14,2,12,520
Passimian,LV6.5,14,3,11,520
Passimian,LV6.5,14,4,9,520
Passimian,LV6.5,14,5,8,520
Passimian,LV6.5,14,6,6,520
Passimian,LV6.5,14,7,5,520
Passimian,LV6.5,14,8,4,520
Passimian,LV6.5,14,9,2,520
Passimian,LV6.5,14,10,1,520
Passimian,LV6.5,14,11,0,520
Passimian,LV6.5,15,0,13,520
Passimian,LV6.5,15,1,12,520
Passimian,LV6.5,15,2,10,520
Passimian,LV6.5,15,3,9,520
Passimian,LV6.5,15,4,7,520
Passimian,LV6.5,15,5,6,520
Passimian,LV6.5,15,7,3,520
Passimian,LV6.5,15,8,2,520
Passimian,LV6.5,15,9,0,520
