Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Persian,LV12.5,0,0,15,520
Persian,LV13,0,1,0,520
Persian,LV12.5,0,2,12,520
Persian,LV12.5,0,3,11,520
Persian,LV12.5,0,4,10,520
Persian,LV12.5,0,7,6,520
Persian,LV12.5,0,8,5,520
Persian,LV12.5,0,9,4,520
Persian,LV12.5,0,10,3,520
Persian,LV12,0,13,13,520
Persian,LV12,0,14,12,520
Persian,LV12,0,15,11,520
Persian,LV12.5,1,1,11,520
Persian,LV12.5,1,2,10,520
Persian,LV12.5,1,3,9,520
Persian,LV12.5,1,5,6,520
Persian,LV12.5,1,6,5,520
Persian,LV12.5,1,7,4,520
Persian,LV12.5,1,8,3,520
Persian,LV12,1,11,13,520
Persian,LV12,1,12,12,520
Persian,LV12,1,13,11,520
Persian,LV12,1,14,10,520
Persian,LV12.5,2,0,10,520
Persian,LV12.5,2,1,9,520
Persian,LV12.5,2,2,8,520
Persian,LV12.5,2,4,5,520
Persian,LV12.5,2,5,4,520
Persian,LV12.5,2,6,3,520
Persian,LV12.5,2,7,2,520
Persian,LV12,2,9,13,520
Persian,LV12,2,10,12,520
Persian,LV12,2,11,11,520
Persian,LV12,2,12,10,520
Persian,LV12,2,15,6,520
Persian,LV12.5,3,0,8,520
Persian,LV12.5,3,1,7,520
Persian,LV12.5,3,3,4,520
Persian,LV12.5,3,4,3,520
Persian,LV12.5,3,5,2,520
Persian,LV12.5,3,6,1,520
Persian,LV12,3,6,15,520
Persian,LV12,3,8,12,520
Persian,LV12,3,9,11,520
Persian,LV12,3,10,10,520
Persian,LV12,3,13,6,520
Persian,LV12,3,14,5,520
Persian,LV12,3,15,4,520
Persian,LV12.5,4,0,6,520
Persian,LV12.5,4,2,3,520
Persian,LV12.5,4,3,2,520
Persian,LV12.5,4,4,1,520
Persian,LV12,4,4,15,520
Persian,LV12.5,4,5,0,520
Persian,LV12,4,7,11,520
Persian,LV12,4,8,10,520
Persian,LV12,4,9,9,520
Persian,LV12,4,12,5,520
Persian,LV12,4,13,4,520
Persian,LV12,4,14,3,520
Persian,LV12,4,15,2,520
Persian,LV12.5,5,2,1,520
Persian,LV12,5,2,15,520
Persian,LV12.5,5,3,0,520
Persian,LV12,5,3,14,520
Persian,LV12,5,6,10,520
Persian,LV12,5,7,9,520
Persian,LV12,5,8,8,520
Persian,LV12,5,11,4,520
Persian,LV12,5,12,3,520
Persian,LV12,5,13,2,520
Persian,LV12,5,14,1,520
Persian,LV12,5,15,0,520
Persian,LV11.5,5,15,14,520
Persian,LV12.5,6,1,0,520
Persian,LV12,6,1,14,520
Persian,LV12,6,2,13,520
Persian,LV12,6,5,9,520
Persian,LV12,6,6,8,520
Persian,LV12,6,7,7,520
Persian,LV12,6,10,3,520
Persian,LV12,6,11,2,520
Persian,LV12,6,12,1,520
Persian,LV12,6,13,0,520
Persian,LV11.5,6,13,14,520
Persian,LV11.5,6,14,13,520
Persian,LV11.5,6,15,12,520
Persian,LV12,7,0,13,520
Persian,LV12,7,1,12,520
Persian,LV12,7,4,8,520
Persian,LV12,7,5,7,520
Persian,LV12,7,6,6,520
Persian,LV12,7,9,2,520
Persian,LV12,7,10,1,520
Persian,LV12,7,11,0,520
Persian,LV11.5,7,12,13,520
Persian,LV11.5,7,13,12,520
Persian,LV11.5,7,14,11,520
Persian,LV11.5,7,15,10,520
Persian,LV12,8,0,11,520
Persian,LV12,8,1,10,520
