Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Petilil,LV21.5,0,0,15,520
Petilil,LV22.5,0,1,1,520
Petilil,LV22,0,1,7,520
Petilil,LV21.5,0,2,12,520
Petilil,LV22,0,3,4,520
Petilil,LV21.5,0,4,9,520
Petilil,LV21,0,5,14,520
Petilil,LV22,0,6,0,520
Petilil,LV21.5,0,6,6,520
Petilil,LV21,0,7,11,520
Petilil,LV21.5,0,9,2,520
Petilil,LV21,0,9,8,520
Petilil,LV20.5,0,9,15,520
Petilil,LV21,0,10,7,520
Petilil,LV20.5,0,11,12,520
Petilil,LV20.5,0,12,11,520
Petilil,LV21,0,13,3,520
Petilil,LV20.5,0,14,8,520
Petilil,LV20,0,14,15,520
Petilil,LV20.5,0,15,7,520
Petilil,LV22.5,1,0,0,520
Petilil,LV22,1,0,6,520
Petilil,LV21.5,1,1,11,520
Petilil,LV22,1,3,2,520
Petilil,LV21.5,1,3,8,520
Petilil,LV21,1,4,13,520
Petilil,LV21.5,1,5,5,520
Petilil,LV21.5,1,6,4,520
Petilil,LV21,1,6,10,520
Petilil,LV21.5,1,8,1,520
Petilil,LV20.5,1,8,14,520
Petilil,LV21.5,1,9,0,520
Petilil,LV21,1,9,6,520
Petilil,LV20.5,1,10,11,520
Petilil,LV20.5,1,11,10,520
Petilil,LV21,1,12,2,520
Petilil,LV21,1,13,1,520
Petilil,LV20.5,1,13,7,520
Petilil,LV20,1,13,14,520
Petilil,LV20.5,1,14,6,520
Petilil,LV22,2,0,4,520
Petilil,LV21.5,2,0,10,520
Petilil,LV21,2,1,15,520
Petilil,LV22,2,2,1,520
Petilil,LV21.5,2,2,7,520
Petilil,LV21,2,3,12,520
Petilil,LV21.5,2,5,3,520
Petilil,LV21,2,5,9,520
Petilil,LV21,2,6,8,520
Petilil,LV20.5,2,7,13,520
Petilil,LV21,2,8,5,520
Petilil,LV21,2,9,4,520
Petilil,LV20.5,2,10,9,520
Petilil,LV21,2,11,1,520
Petilil,LV21,2,12,0,520
Petilil,LV20.5,2,12,6,520
Petilil,LV20,2,12,13,520
Petilil,LV20.5,2,13,5,520
Petilil,LV20,2,15,9,520
Petilil,LV22,3,0,2,520
Petilil,LV21.5,3,0,8,520
Petilil,LV21,3,1,13,520
Petilil,LV21.5,3,2,5,520
Petilil,LV21,3,3,10,520
Petilil,LV21.5,3,4,2,520
Petilil,LV20.5,3,4,15,520
Petilil,LV21.5,3,5,1,520
Petilil,LV21,3,5,7,520
Petilil,LV20.5,3,6,12,520
Petilil,LV20.5,3,7,11,520
Petilil,LV21,3,8,3,520
Petilil,LV20.5,3,9,8,520
Petilil,LV20,3,9,15,520
Petilil,LV20,3,11,12,520
Petilil,LV20.5,3,12,4,520
Petilil,LV20,3,12,11,520
Petilil,LV20.5,3,13,3,520
Petilil,LV20,3,14,8,520
Petilil,LV19.5,3,14,15,520
Petilil,LV20,3,15,7,520
Petilil,LV19.5,3,15,14,520
Petilil,LV21,4,0,12,520
