Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Pheromosa,LV7.5,0,0,11,520
Pheromosa,LV7.5,0,1,9,520
Pheromosa,LV7.5,0,2,7,520
Pheromosa,LV7,0,12,14,520
Pheromosa,LV7,0,13,12,520
Pheromosa,LV7,0,14,10,520
Pheromosa,LV7.5,1,0,10,520
Pheromosa,LV7,1,11,15,520
Pheromosa,LV7,1,12,13,520
Pheromosa,LV7,1,13,11,520
Pheromosa,LV7,1,14,9,520
Pheromosa,LV7,1,15,7,520
Pheromosa,LV7,2,11,14,520
Pheromosa,LV7,2,12,12,520
Pheromosa,LV7,2,13,10,520
Pheromosa,LV7,2,14,8,520
Pheromosa,LV7,2,15,6,520
Pheromosa,LV7.5,3,2,3,520
Pheromosa,LV7.5,3,3,1,520
Pheromosa,LV7,3,13,9,520
Pheromosa,LV7,3,14,7,520
Pheromosa,LV7,3,15,5,520
Pheromosa,LV7.5,4,0,6,520
Pheromosa,LV7.5,4,1,4,520
Pheromosa,LV7.5,4,2,2,520
Pheromosa,LV7.5,4,3,0,520
Pheromosa,LV7,4,9,15,520
Pheromosa,LV7,4,10,13,520
Pheromosa,LV7,4,11,11,520
Pheromosa,LV7,4,14,6,520
Pheromosa,LV7,4,15,4,520
Pheromosa,LV7.5,5,0,5,520
Pheromosa,LV7.5,5,1,3,520
Pheromosa,LV7.5,5,2,1,520
Pheromosa,LV7,5,9,14,520
Pheromosa,LV7,5,10,12,520
Pheromosa,LV7,5,11,10,520
Pheromosa,LV7,5,12,8,520
Pheromosa,LV7,5,15,3,520
Pheromosa,LV7.5,6,0,4,520
Pheromosa,LV7.5,6,1,2,520
Pheromosa,LV7.5,6,2,0,520
Pheromosa,LV7,6,8,15,520
Pheromosa,LV7,6,9,13,520
Pheromosa,LV7,6,10,11,520
Pheromosa,LV7,6,11,9,520
Pheromosa,LV7,6,12,7,520
Pheromosa,LV7,6,13,5,520
Pheromosa,LV7,6,15,2,520
Pheromosa,LV7.5,7,0,3,520
Pheromosa,LV7.5,7,1,1,520
Pheromosa,LV7,7,8,14,520
Pheromosa,LV7,7,9,12,520
Pheromosa,LV7,7,10,10,520
Pheromosa,LV7,7,11,8,520
Pheromosa,LV7,7,12,6,520
Pheromosa,LV7,7,13,4,520
Pheromosa,LV7.5,8,0,2,520
Pheromosa,LV7.5,8,1,0,520
Pheromosa,LV7,8,10,9,520
Pheromosa,LV7,8,11,7,520
Pheromosa,LV7,8,12,5,520
Pheromosa,LV7,8,13,3,520
Pheromosa,LV7,8,14,1,520
Pheromosa,LV7.5,9,0,1,520
Pheromosa,LV7,9,11,6,520
Pheromosa,LV7,9,12,4,520
Pheromosa,LV7,9,13,2,520
Pheromosa,LV7,9,14,0,520
Pheromosa,LV7.5,10,0,0,520
Pheromosa,LV7,10,7,12,520
Pheromosa,LV7,10,8,10,520
Pheromosa,LV7,10,12,3,520
Pheromosa,LV7,10,13,1,520
Pheromosa,LV7,11,5,15,520
Pheromosa,LV7,11,6,13,520
Pheromosa,LV7,11,7,11,520
Pheromosa,LV7,11,8,9,520
Pheromosa,LV7,11,9,7,520
Pheromosa,LV7,11,10,5,520
Pheromosa,LV7,11,13,0,520
Pheromosa,LV7,12,5,14,520
Pheromosa,LV7,12,6,12,520
Pheromosa,LV7,12,7,10,520
Pheromosa,LV7,12,8,8,520
Pheromosa,LV7,12,9,6,520
Pheromosa,LV7,12,10,4,520
Pheromosa,LV7,13,4,15,520
Pheromosa,LV7,13,5,13,520
Pheromosa,LV7,13,6,11,520
Pheromosa,LV7,13,7,9,520
Pheromosa,LV7,13,8,7,520
Pheromosa,LV7,13,9,5,520
Pheromosa,LV7,13,10,3,520
Pheromosa,LV7,13,11,1,520
Pheromosa,LV7,14,4,14,520
Pheromosa,LV7,14,5,12,520
Pheromosa,LV7,14,6,10,520
Pheromosa,LV7,14,7,8,520
Pheromosa,LV7,14,8,6,520
Pheromosa,LV7,14,9,4,520
Pheromosa,LV7,14,10,2,520
Pheromosa,LV7,14,11,0,520
Pheromosa,LV7,15,3,15,520
Pheromosa,LV7,15,4,13,520
Pheromosa,LV7,15,5,11,520
Pheromosa,LV7,15,6,9,520
Pheromosa,LV7,15,7,7,520
Pheromosa,LV7,15,8,5,520
Pheromosa,LV7,15,9,3,520
Pheromosa,LV7,15,10,1,520
