Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Pidgeot Mega Pidgeot,LV5.5,0,14,13,520
Pidgeot Mega Pidgeot,LV5.5,0,15,12,520
Pidgeot Mega Pidgeot,LV5.5,1,11,15,520
Pidgeot Mega Pidgeot,LV5.5,1,12,14,520
Pidgeot Mega Pidgeot,LV5.5,1,13,13,520
Pidgeot Mega Pidgeot,LV5.5,1,14,12,520
Pidgeot Mega Pidgeot,LV5.5,1,15,11,520
Pidgeot Mega Pidgeot,LV5.5,2,10,15,520
Pidgeot Mega Pidgeot,LV5.5,2,11,14,520
Pidgeot Mega Pidgeot,LV5.5,2,12,13,520
Pidgeot Mega Pidgeot,LV5.5,2,15,9,520
Pidgeot Mega Pidgeot,LV5.5,3,10,13,520
Pidgeot Mega Pidgeot,LV5.5,3,11,12,520
Pidgeot Mega Pidgeot,LV5.5,3,12,11,520
Pidgeot Mega Pidgeot,LV5.5,3,13,10,520
Pidgeot Mega Pidgeot,LV5.5,3,14,9,520
Pidgeot Mega Pidgeot,LV5.5,3,15,8,520
Pidgeot Mega Pidgeot,LV5.5,4,7,15,520
Pidgeot Mega Pidgeot,LV5.5,4,8,14,520
Pidgeot Mega Pidgeot,LV5.5,4,9,13,520
Pidgeot Mega Pidgeot,LV5.5,4,10,12,520
Pidgeot Mega Pidgeot,LV5.5,4,11,11,520
Pidgeot Mega Pidgeot,LV5.5,4,12,10,520
Pidgeot Mega Pidgeot,LV5.5,4,13,9,520
Pidgeot Mega Pidgeot,LV5.5,5,6,15,520
Pidgeot Mega Pidgeot,LV5.5,5,7,14,520
Pidgeot Mega Pidgeot,LV5.5,5,8,13,520
Pidgeot Mega Pidgeot,LV5.5,5,11,9,520
Pidgeot Mega Pidgeot,LV5.5,5,12,8,520
Pidgeot Mega Pidgeot,LV5.5,5,13,7,520
Pidgeot Mega Pidgeot,LV5.5,5,14,6,520
Pidgeot Mega Pidgeot,LV5.5,5,15,5,520
Pidgeot Mega Pidgeot,LV5.5,6,5,15,520
Pidgeot Mega Pidgeot,LV5.5,6,8,11,520
Pidgeot Mega Pidgeot,LV5.5,6,9,10,520
Pidgeot Mega Pidgeot,LV5.5,6,10,9,520
Pidgeot Mega Pidgeot,LV5.5,6,11,8,520
Pidgeot Mega Pidgeot,LV5.5,6,12,7,520
Pidgeot Mega Pidgeot,LV5.5,6,13,6,520
Pidgeot Mega Pidgeot,LV5.5,6,14,5,520
Pidgeot Mega Pidgeot,LV5.5,6,15,4,520
Pidgeot Mega Pidgeot,LV5.5,7,5,13,520
Pidgeot Mega Pidgeot,LV5.5,7,6,12,520
