Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Pignite,LV11,0,2,10,520
Pignite,LV11,0,6,3,520
Pignite,LV11,0,7,1,520
Pignite,LV10.5,0,10,15,520
Pignite,LV10.5,0,11,13,520
Pignite,LV10.5,0,12,11,520
Pignite,LV10.5,0,14,8,520
Pignite,LV10.5,0,15,6,520
Pignite,LV11,1,0,12,520
Pignite,LV11,1,1,10,520
Pignite,LV11,1,2,8,520
Pignite,LV11,1,3,6,520
Pignite,LV11,1,4,4,520
Pignite,LV11,1,5,2,520
Pignite,LV11,1,6,0,520
Pignite,LV10.5,1,10,13,520
Pignite,LV10.5,1,11,11,520
Pignite,LV10.5,1,12,9,520
Pignite,LV10.5,1,13,7,520
Pignite,LV10.5,1,14,5,520
Pignite,LV11,2,4,2,520
Pignite,LV11,2,5,0,520
Pignite,LV10.5,2,8,14,520
Pignite,LV10.5,2,9,12,520
Pignite,LV10.5,2,10,10,520
Pignite,LV10.5,2,11,8,520
Pignite,LV10.5,2,13,5,520
Pignite,LV10.5,2,14,3,520
Pignite,LV10.5,2,15,1,520
Pignite,LV11,3,0,7,520
Pignite,LV11,3,1,5,520
Pignite,LV11,3,2,3,520
Pignite,LV11,3,3,1,520
Pignite,LV10.5,3,6,15,520
Pignite,LV10.5,3,7,13,520
Pignite,LV10.5,3,8,11,520
Pignite,LV10.5,3,10,8,520
Pignite,LV10.5,3,11,6,520
Pignite,LV10.5,3,12,4,520
Pignite,LV10.5,3,13,2,520
Pignite,LV11,4,0,5,520
Pignite,LV11,4,1,3,520
Pignite,LV11,4,2,1,520
Pignite,LV10.5,4,5,15,520
Pignite,LV10.5,4,6,13,520
Pignite,LV10.5,4,7,11,520
Pignite,LV10.5,4,8,9,520
Pignite,LV10.5,4,9,7,520
Pignite,LV10.5,4,10,5,520
Pignite,LV10.5,4,11,3,520
Pignite,LV10.5,4,12,2,520
Pignite,LV10.5,4,13,0,520
Pignite,LV11,5,0,2,520
Pignite,LV11,5,1,0,520
Pignite,LV10.5,5,4,14,520
Pignite,LV10.5,5,5,12,520
Pignite,LV10.5,5,6,10,520
Pignite,LV10.5,5,7,8,520
Pignite,LV10.5,5,9,5,520
Pignite,LV10.5,5,10,3,520
Pignite,LV10.5,5,11,1,520
Pignite,LV10,5,15,15,520
Pignite,LV11,6,0,0,520
Pignite,LV10.5,6,3,14,520
Pignite,LV10.5,6,4,12,520
Pignite,LV10.5,6,5,10,520
Pignite,LV10.5,6,6,8,520
Pignite,LV10.5,6,7,6,520
Pignite,LV10.5,6,8,4,520
Pignite,LV10.5,6,9,2,520
Pignite,LV10,6,14,14,520
Pignite,LV10,6,15,12,520
Pignite,LV10.5,7,2,13,520
Pignite,LV10.5,7,3,11,520
Pignite,LV10.5,7,4,9,520
Pignite,LV10.5,7,7,4,520
Pignite,LV10.5,7,8,2,520
Pignite,LV10.5,7,9,0,520
Pignite,LV10,7,12,15,520
Pignite,LV10,7,14,12,520
Pignite,LV10,7,15,10,520
Pignite,LV10.5,8,0,15,520
Pignite,LV10.5,8,1,13,520
Pignite,LV10.5,8,2,11,520
Pignite,LV10.5,8,3,9,520
Pignite,LV10.5,8,4,7,520
Pignite,LV10.5,8,5,5,520
