Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Pikipek,LV26.5,0,0,0,520
Pikipek,LV25.5,0,0,9,520
Pikipek,LV25.5,0,1,7,520
Pikipek,LV25.5,0,2,5,520
Pikipek,LV25.5,0,3,3,520
Pikipek,LV25,0,4,6,520
Pikipek,LV25,0,5,4,520
Pikipek,LV24,0,5,14,520
Pikipek,LV24.5,0,6,7,520
Pikipek,LV24,0,6,12,520
Pikipek,LV24.5,0,7,5,520
Pikipek,LV24,0,7,10,520
Pikipek,LV23.5,0,7,15,520
Pikipek,LV24,0,8,8,520
Pikipek,LV24.5,0,10,0,520
Pikipek,LV23,0,10,15,520
Pikipek,LV24,0,11,3,520
Pikipek,LV23.5,0,11,8,520
Pikipek,LV23,0,11,13,520
Pikipek,LV24,0,13,0,520
Pikipek,LV22.5,0,13,15,520
Pikipek,LV23.5,0,14,3,520
Pikipek,LV23,0,14,8,520
Pikipek,LV22.5,0,15,12,520
Pikipek,LV25.5,1,0,7,520
Pikipek,LV25,1,0,12,520
Pikipek,LV25.5,1,1,5,520
Pikipek,LV25,1,1,10,520
Pikipek,LV24.5,1,1,15,520
Pikipek,LV25,1,2,8,520
Pikipek,LV24.5,1,2,13,520
Pikipek,LV25,1,3,6,520
Pikipek,LV24.5,1,3,11,520
Pikipek,LV25,1,4,4,520
Pikipek,LV24.5,1,4,9,520
Pikipek,LV24,1,4,14,520
Pikipek,LV24.5,1,5,7,520
Pikipek,LV24,1,5,12,520
Pikipek,LV24.5,1,6,5,520
Pikipek,LV24,1,6,10,520
Pikipek,LV24.5,1,9,0,520
Pikipek,LV23,1,9,15,520
Pikipek,LV24,1,10,3,520
Pikipek,LV23.5,1,10,8,520
Pikipek,LV23,1,10,13,520
Pikipek,LV24,1,12,0,520
Pikipek,LV22.5,1,12,15,520
Pikipek,LV23.5,1,13,3,520
Pikipek,LV23,1,13,8,520
Pikipek,LV23.5,1,15,0,520
Pikipek,LV23,1,15,5,520
Pikipek,LV22.5,1,15,10,520
Pikipek,LV26,2,0,1,520
Pikipek,LV25,2,0,10,520
Pikipek,LV24.5,2,0,15,520
Pikipek,LV25,2,1,8,520
Pikipek,LV24.5,2,1,13,520
Pikipek,LV25,2,2,6,520
Pikipek,LV24.5,2,2,11,520
Pikipek,LV25.5,2,3,0,520
Pikipek,LV24.5,2,3,9,520
Pikipek,LV24,2,3,14,520
Pikipek,LV24.5,2,4,7,520
Pikipek,LV24,2,4,12,520
Pikipek,LV24,2,5,10,520
Pikipek,LV24.5,2,8,0,520
Pikipek,LV23,2,8,15,520
Pikipek,LV24,2,9,3,520
Pikipek,LV23.5,2,9,8,520
Pikipek,LV23,2,9,13,520
Pikipek,LV24,2,11,0,520
Pikipek,LV22.5,2,11,15,520
Pikipek,LV23.5,2,12,3,520
Pikipek,LV23,2,12,8,520
Pikipek,LV23.5,2,14,0,520
Pikipek,LV22.5,2,14,10,520
Pikipek,LV23,2,15,3,520
Pikipek,LV25.5,3,1,2,520
Pikipek,LV25.5,3,2,0,520
Pikipek,LV25,3,4,1,520
Pikipek,LV24.5,3,6,2,520
Pikipek,LV24.5,3,7,0,520
Pikipek,LV24,3,7,5,520
Pikipek,LV23.5,3,7,10,520
Pikipek,LV23,3,7,15,520
Pikipek,LV24,3,8,3,520
Pikipek,LV23.5,3,8,8,520
Pikipek,LV23,3,8,13,520
Pikipek,LV24,3,10,0,520
Pikipek,LV22.5,3,10,15,520
Pikipek,LV23.5,3,11,3,520
Pikipek,LV23,3,11,8,520
Pikipek,LV22.5,3,13,10,520
Pikipek,LV23,3,14,3,520
Pikipek,LV22.5,3,14,8,520
Pikipek,LV22,3,15,12,520
Pikipek,LV25.5,4,0,2,520
Pikipek,LV25,4,2,3,520
Pikipek,LV25,4,3,1,520
Pikipek,LV24.5,4,5,2,520
Pikipek,LV23.5,4,5,12,520
Pikipek,LV24,4,6,5,520
Pikipek,LV23.5,4,6,10,520
Pikipek,LV23,4,6,15,520
Pikipek,LV24,4,7,3,520
Pikipek,LV23.5,4,7,8,520
Pikipek,LV24,4,9,0,520
Pikipek,LV22.5,4,9,15,520
Pikipek,LV23.5,4,10,3,520
Pikipek,LV23,4,10,8,520
Pikipek,LV23,4,11,6,520
Pikipek,LV23,4,13,3,520
Pikipek,LV22.5,4,13,8,520
Pikipek,LV22,4,14,12,520
Pikipek,LV23,4,15,0,520
Pikipek,LV22.5,4,15,5,520
Pikipek,LV22,4,15,10,520
Pikipek,LV25,5,0,5,520
Pikipek,LV24.5,5,0,10,520
Pikipek,LV24,5,0,15,520
Pikipek,LV25,5,1,3,520
Pikipek,LV24.5,5,1,8,520
Pikipek,LV24,5,1,13,520
Pikipek,LV24.5,5,2,6,520
Pikipek,LV24,5,2,11,520
Pikipek,LV24.5,5,3,4,520
Pikipek,LV24,5,3,9,520
Pikipek,LV23.5,5,3,14,520
Pikipek,LV24.5,5,4,2,520
Pikipek,LV24,5,4,7,520
Pikipek,LV23.5,5,4,12,520
Pikipek,LV24,5,5,5,520
Pikipek,LV23.5,5,5,10,520
Pikipek,LV23.5,5,6,8,520
Pikipek,LV24,5,8,0,520
Pikipek,LV22.5,5,8,15,520
Pikipek,LV23.5,5,9,3,520
Pikipek,LV23,5,9,8,520
Pikipek,LV23,5,12,3,520
Pikipek,LV22.5,5,12,8,520
Pikipek,LV22,5,13,12,520
Pikipek,LV23,5,14,0,520
Pikipek,LV22.5,5,14,5,520
Pikipek,LV22,5,14,10,520
Pikipek,LV21.5,5,15,14,520
Pikipek,LV24.5,6,0,8,520
Pikipek,LV24,6,0,13,520
Pikipek,LV24.5,6,1,6,520
Pikipek,LV24,6,1,11,520
Pikipek,LV24,6,2,9,520
Pikipek,LV24,6,3,7,520
Pikipek,LV23.5,6,3,12,520
Pikipek,LV24,6,7,0,520
Pikipek,LV23,6,7,10,520
Pikipek,LV23.5,6,8,3,520
Pikipek,LV23,6,8,8,520
Pikipek,LV22.5,6,10,10,520
Pikipek,LV23,6,11,3,520
Pikipek,LV22.5,6,11,8,520
Pikipek,LV22,6,12,12,520
Pikipek,LV22,6,13,10,520
Pikipek,LV22.5,6,14,3,520
Pikipek,LV21.5,6,14,14,520
Pikipek,LV22,6,15,7,520
Pikipek,LV25,7,0,2,520
Pikipek,LV25,7,1,0,520
Pikipek,LV24.5,7,3,1,520
Pikipek,LV23,7,4,14,520
Pikipek,LV24,7,5,2,520
Pikipek,LV23,7,5,12,520
Pikipek,LV24,7,6,0,520
Pikipek,LV23.5,7,6,5,520
Pikipek,LV23,7,6,10,520
Pikipek,LV23.5,7,7,3,520
Pikipek,LV23,7,7,8,520
Pikipek,LV22.5,7,9,10,520
Pikipek,LV23,7,10,3,520
Pikipek,LV22.5,7,10,8,520
Pikipek,LV22,7,11,12,520
Pikipek,LV22,7,12,10,520
Pikipek,LV22.5,7,13,3,520
Pikipek,LV21.5,7,13,14,520
Pikipek,LV22.5,7,15,0,520
Pikipek,LV22,7,15,5,520
Pikipek,LV24.5,8,0,5,520
Pikipek,LV23.5,8,0,15,520
Pikipek,LV24.5,8,1,3,520
Pikipek,LV23.5,8,1,13,520
Pikipek,LV24.5,8,2,1,520
Pikipek,LV23.5,8,2,11,520
Pikipek,LV24,8,3,4,520
Pikipek,LV23.5,8,3,9,520
Pikipek,LV23,8,3,14,520
Pikipek,LV24,8,4,2,520
Pikipek,LV23.5,8,4,7,520
Pikipek,LV23,8,4,12,520
Pikipek,LV23.5,8,5,5,520
Pikipek,LV23,8,5,10,520
Pikipek,LV22.5,8,7,12,520
Pikipek,LV23.5,8,8,0,520
Pikipek,LV22.5,8,8,10,520
Pikipek,LV23,8,9,3,520
Pikipek,LV22.5,8,9,8,520
Pikipek,LV22,8,10,12,520
Pikipek,LV23,8,11,0,520
Pikipek,LV22,8,11,10,520
Pikipek,LV22.5,8,12,3,520
Pikipek,LV21.5,8,12,14,520
Pikipek,LV22.5,8,14,0,520
Pikipek,LV22,8,14,5,520
Pikipek,LV21.5,8,15,9,520
Pikipek,LV24,9,0,8,520
Pikipek,LV23.5,9,0,13,520
Pikipek,LV24,9,1,6,520
Pikipek,LV23.5,9,1,11,520
Pikipek,LV24,9,2,4,520
Pikipek,LV23.5,9,2,9,520
Pikipek,LV23.5,9,3,7,520
Pikipek,LV22.5,9,5,14,520
Pikipek,LV22.5,9,6,12,520
Pikipek,LV23.5,9,7,0,520
Pikipek,LV23,9,7,5,520
Pikipek,LV22.5,9,7,10,520
Pikipek,LV23,9,8,3,520
Pikipek,LV22,9,8,14,520
Pikipek,LV22,9,9,12,520
Pikipek,LV23,9,10,0,520
Pikipek,LV22.5,9,10,5,520
Pikipek,LV22,9,10,10,520
Pikipek,LV22.5,9,11,3,520
Pikipek,LV21.5,9,11,14,520
Pikipek,LV22.5,9,13,0,520
Pikipek,LV22,9,13,5,520
Pikipek,LV21.5,9,14,9,520
Pikipek,LV22,9,15,2,520
Pikipek,LV21,9,15,13,520
Pikipek,LV24.5,10,1,0,520
Pikipek,LV22.5,10,4,14,520
Pikipek,LV23.5,10,5,2,520
Pikipek,LV23,10,5,7,520
Pikipek,LV22.5,10,5,12,520
Pikipek,LV23.5,10,6,0,520
Pikipek,LV23,10,6,5,520
Pikipek,LV22,10,7,14,520
Pikipek,LV22,10,8,12,520
Pikipek,LV23,10,9,0,520
Pikipek,LV22.5,10,9,5,520
Pikipek,LV21.5,10,10,14,520
Pikipek,LV22,10,11,7,520
Pikipek,LV22.5,10,12,0,520
Pikipek,LV22,10,12,5,520
Pikipek,LV21.5,10,13,9,520
Pikipek,LV22,10,14,2,520
Pikipek,LV21,10,14,13,520
Pikipek,LV24.5,11,0,0,520
Pikipek,LV24,11,0,5,520
Pikipek,LV23.5,11,0,10,520
Pikipek,LV23,11,0,15,520
Pikipek,LV24,11,1,3,520
Pikipek,LV23.5,11,1,8,520
Pikipek,LV23,11,1,13,520
Pikipek,LV24,11,2,1,520
Pikipek,LV23.5,11,2,6,520
Pikipek,LV23,11,2,11,520
Pikipek,LV23.5,11,3,4,520
Pikipek,LV23,11,3,9,520
Pikipek,LV23.5,11,4,2,520
Pikipek,LV23,11,4,7,520
Pikipek,LV22,11,6,14,520
Pikipek,LV22.5,11,7,7,520
Pikipek,LV23,11,8,0,520
Pikipek,LV22.5,11,8,5,520
Pikipek,LV22,11,10,7,520
Pikipek,LV22.5,11,11,0,520
Pikipek,LV22,11,11,5,520
Pikipek,LV21.5,11,12,9,520
Pikipek,LV22,11,13,2,520
Pikipek,LV21,11,13,13,520
Pikipek,LV21.5,11,15,4,520
Pikipek,LV23.5,12,0,8,520
Pikipek,LV23.5,12,1,6,520
Pikipek,LV22.5,12,2,15,520
Pikipek,LV22.5,12,4,11,520
Pikipek,LV22.5,12,5,9,520
Pikipek,LV23,12,6,2,520
Pikipek,LV22.5,12,6,7,520
Pikipek,LV22,12,8,9,520
Pikipek,LV22.5,12,9,2,520
Pikipek,LV22,12,9,7,520
Pikipek,LV22.5,12,10,0,520
Pikipek,LV21.5,12,10,11,520
Pikipek,LV21.5,12,11,9,520
Pikipek,LV21,12,11,15,520
Pikipek,LV22,12,12,2,520
Pikipek,LV21,12,12,13,520
Pikipek,LV21.5,12,14,4,520
Pikipek,LV21,12,15,8,520
Pikipek,LV20.5,12,15,14,520
Pikipek,LV23,13,0,12,520
Pikipek,LV24,13,1,0,520
Pikipek,LV22.5,13,1,15,520
Pikipek,LV22.5,13,2,13,520
Pikipek,LV23.5,13,3,1,520
Pikipek,LV23,13,3,6,520
Pikipek,LV22.5,13,3,11,520
Pikipek,LV23,13,4,4,520
Pikipek,LV22.5,13,4,9,520
Pikipek,LV23,13,5,2,520
Pikipek,LV22,13,6,11,520
Pikipek,LV22,13,7,9,520
Pikipek,LV22.5,13,8,2,520
Pikipek,LV22,13,8,7,520
Pikipek,LV21.5,13,9,11,520
Pikipek,LV21.5,13,10,9,520
Pikipek,LV21,13,10,15,520
Pikipek,LV22,13,11,2,520
Pikipek,LV21,13,11,13,520
Pikipek,LV21.5,13,13,4,520
Pikipek,LV21,13,14,8,520
Pikipek,LV20.5,13,14,14,520
Pikipek,LV21.5,13,15,1,520
Pikipek,LV20.5,13,15,12,520
Pikipek,LV23.5,14,0,5,520
Pikipek,LV23,14,0,10,520
Pikipek,LV23.5,14,1,3,520
Pikipek,LV23,14,1,8,520
Pikipek,LV23,14,2,6,520
Pikipek,LV22,14,3,15,520
Pikipek,LV22,14,4,13,520
Pikipek,LV22,14,5,11,520
Pikipek,LV22.5,14,6,4,520
Pikipek,LV22,14,6,9,520
Pikipek,LV21.5,14,6,15,520
Pikipek,LV22.5,14,7,2,520
Pikipek,LV21.5,14,7,13,520
Pikipek,LV21.5,14,8,11,520
Pikipek,LV22,14,9,4,520
Pikipek,LV21,14,9,15,520
Pikipek,LV21.5,14,11,6,520
Pikipek,LV21.5,14,12,4,520
Pikipek,LV21,14,13,8,520
Pikipek,LV20.5,14,13,14,520
Pikipek,LV21.5,14,14,1,520
Pikipek,LV21,14,15,5,520
Pikipek,LV22.5,15,0,14,520
Pikipek,LV22.5,15,1,12,520
Pikipek,LV22.5,15,2,10,520
Pikipek,LV22.5,15,3,8,520
Pikipek,LV23,15,4,1,520
Pikipek,LV22.5,15,4,6,520
Pikipek,LV22.5,15,5,4,520
Pikipek,LV21.5,15,5,15,520
Pikipek,LV21.5,15,6,13,520
Pikipek,LV22,15,7,6,520
Pikipek,LV22,15,8,4,520
Pikipek,LV21.5,15,10,6,520
Pikipek,LV21,15,11,10,520
Pikipek,LV21,15,12,8,520
Pikipek,LV20.5,15,12,14,520
Pikipek,LV21.5,15,13,1,520
Pikipek,LV21,15,14,5,520
Pikipek,LV20.5,15,15,9,520
Pikipek,LV20,15,15,15,520
