Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Pineco,LV20.5,0,0,5,520
Pineco,LV20.5,0,1,4,520
Pineco,LV20,0,1,11,520
Pineco,LV20.5,0,2,3,520
Pineco,LV20,0,2,10,520
Pineco,LV20.5,0,3,2,520
Pineco,LV20,0,3,9,520
Pineco,LV20.5,0,4,1,520
Pineco,LV20,0,4,8,520
Pineco,LV19.5,0,4,15,520
Pineco,LV19.5,0,5,14,520
Pineco,LV19.5,0,6,13,520
Pineco,LV20,0,9,2,520
Pineco,LV20,0,10,1,520
Pineco,LV20,0,11,0,520
Pineco,LV19.5,0,11,7,520
Pineco,LV19,0,11,15,520
Pineco,LV19.5,0,12,6,520
Pineco,LV19,0,12,14,520
Pineco,LV19.5,0,13,5,520
Pineco,LV19.5,0,14,4,520
Pineco,LV19.5,0,15,3,520
Pineco,LV20,1,0,10,520
Pineco,LV19.5,1,2,15,520
Pineco,LV20,1,3,6,520
Pineco,LV20,1,4,5,520
Pineco,LV20,1,5,4,520
Pineco,LV20,1,6,3,520
Pineco,LV19.5,1,6,10,520
Pineco,LV20,1,7,2,520
Pineco,LV19.5,1,7,9,520
Pineco,LV19.5,1,8,8,520
Pineco,LV19.5,1,9,7,520
Pineco,LV19,1,10,13,520
Pineco,LV19,1,11,12,520
Pineco,LV19,1,12,11,520
Pineco,LV19,1,13,10,520
Pineco,LV19,1,14,9,520
Pineco,LV19,1,15,8,520
Pineco,LV20.5,2,0,0,520
Pineco,LV20,2,0,7,520
Pineco,LV20,2,1,6,520
Pineco,LV20,2,2,5,520
Pineco,LV19.5,2,2,12,520
Pineco,LV19.5,2,3,11,520
Pineco,LV19.5,2,4,10,520
Pineco,LV19,2,6,15,520
Pineco,LV19,2,7,14,520
Pineco,LV19.5,2,8,5,520
Pineco,LV19,2,8,13,520
Pineco,LV19.5,2,9,4,520
Pineco,LV19.5,2,10,3,520
Pineco,LV19.5,2,11,2,520
Pineco,LV19.5,2,12,1,520
Pineco,LV19.5,2,13,0,520
Pineco,LV18.5,2,13,15,520
Pineco,LV19,2,14,6,520
Pineco,LV18.5,2,14,14,520
Pineco,LV19,2,15,5,520
Pineco,LV18.5,2,15,13,520
Pineco,LV19.5,3,0,12,520
Pineco,LV20,3,2,2,520
Pineco,LV20,3,3,1,520
Pineco,LV20,3,4,0,520
Pineco,LV19.5,3,4,7,520
Pineco,LV19,3,4,15,520
Pineco,LV19.5,3,5,6,520
Pineco,LV19.5,3,6,5,520
Pineco,LV19.5,3,7,4,520
Pineco,LV19,3,7,11,520
Pineco,LV19,3,8,10,520
Pineco,LV19,3,9,9,520
Pineco,LV19,3,10,8,520
Pineco,LV19,3,11,7,520
Pineco,LV19,3,12,6,520
Pineco,LV18.5,3,15,10,520
Pineco,LV20,4,0,2,520
Pineco,LV19.5,4,0,9,520
Pineco,LV20,4,1,1,520
Pineco,LV19.5,4,1,8,520
Pineco,LV20,4,2,0,520
Pineco,LV19.5,4,2,7,520
Pineco,LV19,4,4,12,520
Pineco,LV19,4,5,11,520
Pineco,LV19,4,6,10,520
Pineco,LV19.5,4,8,0,520
Pineco,LV18.5,4,9,14,520
Pineco,LV18.5,4,10,13,520
Pineco,LV19,4,11,4,520
Pineco,LV18.5,4,11,12,520
Pineco,LV19,4,12,3,520
Pineco,LV18.5,4,12,11,520
Pineco,LV19,4,13,2,520
Pineco,LV18.5,4,13,10,520
Pineco,LV19,4,14,1,520
Pineco,LV19,4,15,0,520
Pineco,LV19,5,0,14,520
Pineco,LV19,5,1,13,520
Pineco,LV19,5,2,12,520
Pineco,LV19.5,5,3,3,520
Pineco,LV19.5,5,4,2,520
Pineco,LV19.5,5,5,1,520
Pineco,LV19.5,5,6,0,520
Pineco,LV19,5,6,7,520
Pineco,LV18.5,5,6,15,520
Pineco,LV19,5,7,6,520
Pineco,LV18.5,5,7,14,520
Pineco,LV19,5,8,5,520
Pineco,LV18.5,5,8,13,520
Pineco,LV19,5,9,4,520
Pineco,LV19,5,10,3,520
Pineco,LV19,5,11,2,520
Pineco,LV19,5,12,1,520
Pineco,LV18.5,5,13,7,520
Pineco,LV18.5,5,14,6,520
Pineco,LV18,5,14,14,520
Pineco,LV18.5,5,15,5,520
Pineco,LV18,5,15,13,520
Pineco,LV19.5,6,0,4,520
Pineco,LV19.5,6,1,3,520
Pineco,LV19.5,6,2,2,520
Pineco,LV19,6,2,9,520
Pineco,LV19,6,3,8,520
Pineco,LV19,6,4,7,520
Pineco,LV18.5,6,4,15,520
Pineco,LV19,6,5,6,520
Pineco,LV18.5,6,7,11,520
Pineco,LV18.5,6,8,10,520
Pineco,LV18.5,6,9,9,520
Pineco,LV18.5,6,10,8,520
Pineco,LV18.5,6,11,7,520
Pineco,LV18,6,11,15,520
Pineco,LV18.5,6,12,6,520
Pineco,LV18,6,12,14,520
Pineco,LV19,7,0,9,520
Pineco,LV19,7,1,8,520
Pineco,LV18.5,7,4,12,520
Pineco,LV18.5,7,5,11,520
Pineco,LV19,7,6,2,520
Pineco,LV18.5,7,6,10,520
Pineco,LV19,7,7,1,520
Pineco,LV19,7,8,0,520
Pineco,LV18,7,11,12,520
Pineco,LV18,7,12,11,520
Pineco,LV18.5,7,13,2,520
Pineco,LV18,7,13,10,520
Pineco,LV18.5,7,14,1,520
Pineco,LV18,7,14,9,520
Pineco,LV18.5,7,15,0,520
Pineco,LV18,7,15,8,520
Pineco,LV18.5,8,1,13,520
Pineco,LV19,8,2,4,520
Pineco,LV18.5,8,2,12,520
Pineco,LV19,8,3,3,520
Pineco,LV18.5,8,3,11,520
Pineco,LV19,8,4,2,520
Pineco,LV19,8,5,1,520
Pineco,LV19,8,6,0,520
Pineco,LV18.5,8,7,6,520
Pineco,LV18,8,7,14,520
Pineco,LV18.5,8,8,5,520
Pineco,LV18,8,8,13,520
Pineco,LV18.5,8,9,4,520
Pineco,LV18,8,9,12,520
Pineco,LV18.5,8,10,3,520
Pineco,LV18,8,10,11,520
Pineco,LV18.5,8,11,2,520
Pineco,LV18,8,11,10,520
Pineco,LV18.5,8,12,1,520
Pineco,LV18.5,8,13,0,520
Pineco,LV17.5,8,14,15,520
Pineco,LV19,9,0,4,520
Pineco,LV18.5,9,0,12,520
Pineco,LV19,9,1,3,520
Pineco,LV19,9,2,2,520
Pineco,LV18.5,9,3,8,520
Pineco,LV18.5,9,4,7,520
Pineco,LV18,9,4,15,520
Pineco,LV18.5,9,5,6,520
Pineco,LV18,9,5,14,520
Pineco,LV18.5,9,6,5,520
Pineco,LV18,9,6,13,520
Pineco,LV18.5,9,7,4,520
Pineco,LV18,9,11,7,520
Pineco,LV18,9,12,6,520
Pineco,LV18,9,13,5,520
Pineco,LV18,9,14,4,520
Pineco,LV17.5,9,14,12,520
Pineco,LV18,9,15,3,520
Pineco,LV17.5,9,15,11,520
Pineco,LV19,10,0,2,520
Pineco,LV18.5,10,1,8,520
Pineco,LV18.5,10,2,7,520
Pineco,LV18,10,2,15,520
Pineco,LV18.5,10,3,6,520
Pineco,LV18,10,3,14,520
Pineco,LV18,10,7,9,520
Pineco,LV18,10,8,8,520
Pineco,LV18,10,9,7,520
Pineco,LV18,10,10,6,520
Pineco,LV17.5,10,10,14,520
Pineco,LV18,10,11,5,520
Pineco,LV17.5,10,11,13,520
Pineco,LV18,10,12,4,520
Pineco,LV17.5,10,12,12,520
Pineco,LV17.5,10,13,11,520
Pineco,LV18.5,11,0,7,520
Pineco,LV18,11,0,15,520
Pineco,LV18,11,1,14,520
Pineco,LV18,11,4,10,520
Pineco,LV18.5,11,5,1,520
Pineco,LV18,11,5,9,520
Pineco,LV18.5,11,6,0,520
Pineco,LV18,11,6,8,520
Pineco,LV18,11,7,7,520
Pineco,LV17.5,11,7,15,520
Pineco,LV17.5,11,8,14,520
Pineco,LV17.5,11,9,13,520
Pineco,LV17.5,11,14,7,520
Pineco,LV17.5,11,15,6,520
Pineco,LV17,11,15,15,520
Pineco,LV18,12,1,11,520
Pineco,LV18.5,12,2,2,520
Pineco,LV18,12,2,10,520
Pineco,LV18.5,12,3,1,520
Pineco,LV18,12,3,9,520
Pineco,LV18.5,12,4,0,520
Pineco,LV17.5,12,5,15,520
Pineco,LV17.5,12,6,14,520
Pineco,LV18,12,8,3,520
Pineco,LV18,12,9,2,520
Pineco,LV17.5,12,9,10,520
Pineco,LV18,12,10,1,520
Pineco,LV17.5,12,10,9,520
Pineco,LV18,12,11,0,520
Pineco,LV17.5,12,11,8,520
Pineco,LV17.5,12,12,7,520
Pineco,LV17.5,12,13,6,520
Pineco,LV17.5,12,14,5,520
Pineco,LV17.5,12,15,4,520
Pineco,LV17,12,15,12,520
Pineco,LV18.5,13,0,2,520
Pineco,LV18,13,0,10,520
Pineco,LV18.5,13,1,1,520
Pineco,LV18,13,1,9,520
Pineco,LV18.5,13,2,0,520
Pineco,LV17.5,13,3,15,520
Pineco,LV18,13,5,4,520
Pineco,LV18,13,6,3,520
Pineco,LV17.5,13,6,11,520
Pineco,LV18,13,7,2,520
Pineco,LV17.5,13,7,10,520
Pineco,LV18,13,8,1,520
Pineco,LV17.5,13,8,9,520
Pineco,LV18,13,9,0,520
Pineco,LV17.5,13,9,8,520
Pineco,LV17.5,13,10,7,520
Pineco,LV17,13,11,14,520
Pineco,LV17,13,12,13,520
Pineco,LV17,13,13,12,520
Pineco,LV17,13,14,11,520
Pineco,LV17,13,15,10,520
Pineco,LV18.5,14,0,0,520
Pineco,LV17.5,14,1,15,520
Pineco,LV18,14,2,5,520
Pineco,LV18,14,3,4,520
Pineco,LV18,14,4,3,520
Pineco,LV17.5,14,4,11,520
Pineco,LV18,14,5,2,520
Pineco,LV17.5,14,5,10,520
Pineco,LV18,14,6,1,520
Pineco,LV17.5,14,6,9,520
Pineco,LV18,14,7,0,520
Pineco,LV17,14,8,15,520
Pineco,LV17,14,9,14,520
Pineco,LV17,14,10,13,520
Pineco,LV17.5,14,13,1,520
Pineco,LV17.5,14,14,0,520
Pineco,LV18,15,0,5,520
Pineco,LV18,15,1,4,520
Pineco,LV17.5,15,1,12,520
Pineco,LV18,15,2,3,520
Pineco,LV17.5,15,2,11,520
Pineco,LV18,15,3,2,520
Pineco,LV17.5,15,3,10,520
Pineco,LV18,15,4,1,520
Pineco,LV17.5,15,4,9,520
Pineco,LV17,15,6,15,520
Pineco,LV17,15,7,14,520
Pineco,LV17.5,15,8,4,520
Pineco,LV17.5,15,9,3,520
Pineco,LV17.5,15,10,2,520
Pineco,LV17.5,15,11,1,520
Pineco,LV17.5,15,12,0,520
Pineco,LV17,15,12,8,520
Pineco,LV17,15,13,7,520
Pineco,LV17,15,14,6,520
Pineco,LV16.5,15,14,15,520
Pineco,LV17,15,15,5,520
Pineco,LV16.5,15,15,14,520
