Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Pinsir,LV7,0,0,14,520
Pinsir,LV7,0,1,13,520
Pinsir,LV7,0,2,12,520
Pinsir,LV7,0,3,11,520
Pinsir,LV7,0,4,10,520
Pinsir,LV7,0,5,9,520
Pinsir,LV7,0,6,8,520
Pinsir,LV7,0,7,7,520
Pinsir,LV7,0,8,6,520
Pinsir,LV7,0,12,3,520
Pinsir,LV7,0,13,2,520
Pinsir,LV7,0,14,1,520
Pinsir,LV7,0,15,0,520
Pinsir,LV7,1,0,12,520
Pinsir,LV7,1,1,11,520
Pinsir,LV7,1,2,10,520
Pinsir,LV7,1,7,6,520
Pinsir,LV7,1,8,5,520
Pinsir,LV7,1,9,4,520
Pinsir,LV7,1,10,3,520
Pinsir,LV7,1,11,2,520
Pinsir,LV7,1,14,0,520
Pinsir,LV7,2,0,11,520
Pinsir,LV7,2,1,10,520
Pinsir,LV7,2,2,9,520
Pinsir,LV7,2,3,8,520
Pinsir,LV7,2,4,7,520
Pinsir,LV7,2,5,6,520
Pinsir,LV7,2,6,5,520
Pinsir,LV7,2,10,2,520
Pinsir,LV7,2,11,1,520
Pinsir,LV7,2,12,0,520
Pinsir,LV7,3,5,5,520
Pinsir,LV7,3,6,4,520
Pinsir,LV7,3,7,3,520
Pinsir,LV7,3,8,2,520
Pinsir,LV7,3,9,1,520
Pinsir,LV7,4,0,8,520
Pinsir,LV7,4,1,7,520
Pinsir,LV7,4,2,6,520
Pinsir,LV7,4,3,5,520
Pinsir,LV7,4,4,4,520
Pinsir,LV7,4,8,1,520
Pinsir,LV7,4,9,0,520
Pinsir,LV7,5,3,4,520
Pinsir,LV7,5,4,3,520
Pinsir,LV7,5,5,2,520
Pinsir,LV7,5,6,1,520
Pinsir,LV7,5,7,0,520
Pinsir,LV7,6,0,5,520
Pinsir,LV7,6,1,4,520
Pinsir,LV7,6,2,3,520
Pinsir,LV7,6,6,0,520
Pinsir,LV7,7,0,4,520
Pinsir,LV7,7,1,3,520
Pinsir,LV7,7,2,2,520
Pinsir,LV7,7,3,1,520
Pinsir,LV7,7,4,0,520
Pinsir,LV7,8,3,0,520
Pinsir,LV7,9,0,1,520
Pinsir,LV7,9,1,0,520
Pinsir,LV6.5,9,15,15,520
Pinsir,LV7,10,0,0,520
Pinsir,LV6.5,11,12,15,520
Pinsir,LV6.5,11,13,14,520
Pinsir,LV6.5,11,14,13,520
Pinsir,LV6.5,11,15,12,520
Pinsir,LV6.5,12,10,15,520
Pinsir,LV6.5,12,14,12,520
Pinsir,LV6.5,12,15,11,520
Pinsir,LV6.5,13,9,15,520
Pinsir,LV6.5,13,10,14,520
Pinsir,LV6.5,13,11,13,520
Pinsir,LV6.5,13,12,12,520
Pinsir,LV6.5,13,13,11,520
Pinsir,LV6.5,13,14,10,520
Pinsir,LV6.5,14,7,15,520
Pinsir,LV6.5,14,8,14,520
Pinsir,LV6.5,14,12,11,520
Pinsir,LV6.5,14,13,10,520
Pinsir,LV6.5,14,14,9,520
Pinsir,LV6.5,14,15,8,520
Pinsir,LV6.5,15,6,15,520
Pinsir,LV6.5,15,7,14,520
Pinsir,LV6.5,15,8,13,520
Pinsir,LV6.5,15,9,12,520
Pinsir,LV6.5,15,10,11,520
Pinsir,LV6.5,15,11,10,520
Pinsir,LV6.5,15,12,9,520
Pinsir,LV6.5,15,15,7,520
