Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Plusle,LV12,0,0,9,520
Plusle,LV12,0,1,8,520
Plusle,LV12,0,4,4,520
Plusle,LV12,0,5,3,520
Plusle,LV12,0,6,2,520
Plusle,LV12,0,7,1,520
Plusle,LV11.5,0,8,13,520
Plusle,LV11.5,0,9,12,520
Plusle,LV11.5,0,10,11,520
Plusle,LV11.5,0,11,10,520
Plusle,LV11.5,0,14,6,520
Plusle,LV11.5,0,15,5,520
Plusle,LV12,1,0,7,520
Plusle,LV12,1,1,6,520
Plusle,LV12,1,2,5,520
Plusle,LV12,1,5,1,520
Plusle,LV11.5,1,5,15,520
Plusle,LV12,1,6,0,520
Plusle,LV11.5,1,6,14,520
Plusle,LV11.5,1,8,11,520
Plusle,LV11.5,1,9,10,520
Plusle,LV11.5,1,10,9,520
Plusle,LV11.5,1,11,8,520
Plusle,LV11.5,1,15,3,520
Plusle,LV12,2,0,5,520
Plusle,LV12,2,1,4,520
Plusle,LV12,2,2,3,520
Plusle,LV11.5,2,4,14,520
Plusle,LV11.5,2,5,13,520
Plusle,LV11.5,2,6,12,520
Plusle,LV11.5,2,9,8,520
Plusle,LV11.5,2,10,7,520
Plusle,LV11.5,2,11,6,520
Plusle,LV12,3,1,2,520
Plusle,LV12,3,2,1,520
Plusle,LV11.5,3,2,15,520
Plusle,LV12,3,3,0,520
Plusle,LV11.5,3,4,12,520
Plusle,LV11.5,3,5,11,520
Plusle,LV11.5,3,6,10,520
Plusle,LV11.5,3,9,6,520
Plusle,LV11.5,3,10,5,520
Plusle,LV11.5,3,11,4,520
Plusle,LV11.5,3,12,3,520
Plusle,LV11,3,14,15,520
Plusle,LV11,3,15,14,520
Plusle,LV11.5,4,1,14,520
Plusle,LV11.5,4,2,13,520
Plusle,LV11.5,4,5,9,520
Plusle,LV11.5,4,6,8,520
Plusle,LV11.5,4,7,7,520
Plusle,LV11.5,4,10,3,520
Plusle,LV11.5,4,11,2,520
Plusle,LV11.5,4,12,1,520
Plusle,LV11.5,4,13,0,520
Plusle,LV11,4,13,14,520
Plusle,LV11,4,14,13,520
Plusle,LV11,4,15,12,520
Plusle,LV12,5,0,0,520
Plusle,LV11.5,5,1,12,520
Plusle,LV11.5,5,2,11,520
Plusle,LV11.5,5,5,7,520
Plusle,LV11.5,5,6,6,520
Plusle,LV11.5,5,7,5,520
Plusle,LV11.5,5,11,0,520
Plusle,LV11,5,11,15,520
Plusle,LV11,5,13,12,520
Plusle,LV11,5,14,11,520
Plusle,LV11,5,15,10,520
Plusle,LV11.5,6,1,10,520
Plusle,LV11.5,6,2,9,520
Plusle,LV11.5,6,3,8,520
Plusle,LV11.5,6,6,4,520
Plusle,LV11.5,6,7,3,520
Plusle,LV11.5,6,8,2,520
Plusle,LV11,6,9,15,520
Plusle,LV11,6,10,14,520
Plusle,LV11,6,11,13,520
Plusle,LV11,6,14,9,520
Plusle,LV11,6,15,8,520
Plusle,LV11.5,7,2,7,520
Plusle,LV11.5,7,3,6,520
Plusle,LV11.5,7,7,1,520
Plusle,LV11.5,7,8,0,520
Plusle,LV11,7,9,13,520
Plusle,LV11,7,10,12,520
Plusle,LV11,7,11,11,520
Plusle,LV11,7,15,6,520
Plusle,LV11.5,8,0,8,520
Plusle,LV11.5,8,2,5,520
Plusle,LV11.5,8,3,4,520
Plusle,LV11.5,8,4,3,520
Plusle,LV11,8,6,15,520
Plusle,LV11,8,7,14,520
Plusle,LV11,8,9,11,520
Plusle,LV11,8,10,10,520
Plusle,LV11,8,11,9,520
Plusle,LV11,8,12,8,520
Plusle,LV11.5,9,0,6,520
Plusle,LV11.5,9,3,2,520
Plusle,LV11.5,9,4,1,520
Plusle,LV11.5,9,5,0,520
Plusle,LV11,9,5,14,520
Plusle,LV11,9,6,13,520
Plusle,LV11,9,7,12,520
Plusle,LV11,9,10,8,520
Plusle,LV11,9,11,7,520
Plusle,LV11,9,12,6,520
Plusle,LV11,9,13,5,520
Plusle,LV11.5,10,0,4,520
Plusle,LV11.5,10,1,3,520
Plusle,LV11,10,3,15,520
Plusle,LV11,10,6,11,520
Plusle,LV11,10,7,10,520
Plusle,LV11,10,8,9,520
Plusle,LV11,10,11,5,520
Plusle,LV11,10,12,4,520
Plusle,LV11,10,13,3,520
Plusle,LV11,10,14,2,520
Plusle,LV11,10,15,1,520
Plusle,LV11.5,11,1,1,520
Plusle,LV11.5,11,2,0,520
Plusle,LV11,11,2,14,520
Plusle,LV11,11,3,13,520
Plusle,LV11,11,4,12,520
Plusle,LV11,11,6,9,520
Plusle,LV11,11,7,8,520
Plusle,LV11,11,8,7,520
Plusle,LV11,11,9,6,520
Plusle,LV11,11,13,1,520
Plusle,LV11,11,14,0,520
Plusle,LV10.5,11,14,15,520
Plusle,LV10.5,11,15,14,520
