Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Poipole,LV13.5,0,0,0,520
Poipole,LV13,0,0,13,520
Poipole,LV13,0,2,10,520
Poipole,LV13,0,3,9,520
Poipole,LV13,0,4,8,520
Poipole,LV13,0,6,5,520
Poipole,LV13,0,7,4,520
Poipole,LV13,0,8,3,520
Poipole,LV12.5,0,9,15,520
Poipole,LV12.5,0,10,14,520
Poipole,LV12.5,0,11,13,520
Poipole,LV12.5,0,13,10,520
Poipole,LV12.5,0,14,9,520
Poipole,LV12.5,0,15,8,520
Poipole,LV13,1,1,9,520
Poipole,LV13,1,2,8,520
Poipole,LV13,1,4,5,520
Poipole,LV13,1,5,4,520
Poipole,LV13,1,6,3,520
Poipole,LV12.5,1,8,14,520
Poipole,LV12.5,1,9,13,520
Poipole,LV12.5,1,11,10,520
Poipole,LV12.5,1,12,9,520
Poipole,LV12.5,1,13,8,520
Poipole,LV12.5,1,14,7,520
Poipole,LV13,2,0,8,520
Poipole,LV13,2,1,7,520
Poipole,LV13,2,3,4,520
Poipole,LV13,2,4,3,520
Poipole,LV13,2,5,2,520
Poipole,LV12.5,2,6,14,520
Poipole,LV12.5,2,7,13,520
Poipole,LV12.5,2,10,9,520
Poipole,LV12.5,2,11,8,520
Poipole,LV12.5,2,12,7,520
Poipole,LV12.5,2,15,3,520
Poipole,LV13,3,0,6,520
Poipole,LV13,3,2,3,520
Poipole,LV13,3,3,2,520
Poipole,LV13,3,4,1,520
Poipole,LV12.5,3,5,13,520
Poipole,LV12.5,3,6,12,520
Poipole,LV12.5,3,8,9,520
Poipole,LV12.5,3,9,8,520
Poipole,LV12.5,3,10,7,520
Poipole,LV12.5,3,13,3,520
Poipole,LV12.5,3,14,2,520
Poipole,LV12.5,3,15,1,520
Poipole,LV12,3,15,15,520
Poipole,LV13,4,1,2,520
Poipole,LV13,4,2,1,520
Poipole,LV12.5,4,3,13,520
Poipole,LV12.5,4,4,12,520
Poipole,LV12.5,4,7,8,520
Poipole,LV12.5,4,8,7,520
Poipole,LV12.5,4,11,3,520
Poipole,LV12.5,4,12,2,520
Poipole,LV12.5,4,13,1,520
Poipole,LV12,4,13,15,520
Poipole,LV12.5,4,14,0,520
Poipole,LV12,4,14,14,520
Poipole,LV12,4,15,13,520
Poipole,LV13,5,0,1,520
Poipole,LV12.5,5,0,15,520
Poipole,LV13,5,1,0,520
Poipole,LV12.5,5,2,12,520
Poipole,LV12.5,5,3,11,520
Poipole,LV12.5,5,5,8,520
Poipole,LV12.5,5,6,7,520
Poipole,LV12.5,5,7,6,520
Poipole,LV12.5,5,10,2,520
Poipole,LV12.5,5,11,1,520
Poipole,LV12,5,11,15,520
Poipole,LV12.5,5,12,0,520
Poipole,LV12,5,12,14,520
Poipole,LV12,5,13,13,520
Poipole,LV12.5,6,1,11,520
Poipole,LV12.5,6,2,10,520
Poipole,LV12.5,6,4,7,520
Poipole,LV12.5,6,5,6,520
Poipole,LV12.5,6,6,5,520
Poipole,LV12.5,6,8,2,520
Poipole,LV12.5,6,9,1,520
Poipole,LV12.5,6,10,0,520
Poipole,LV12,6,10,14,520
Poipole,LV12,6,11,13,520
Poipole,LV12,6,14,9,520
Poipole,LV12,6,15,8,520
Poipole,LV12.5,7,0,10,520
Poipole,LV12.5,7,1,9,520
Poipole,LV12.5,7,3,6,520
Poipole,LV12.5,7,4,5,520
Poipole,LV12.5,7,5,4,520
Poipole,LV12.5,7,7,1,520
Poipole,LV12.5,7,8,0,520
Poipole,LV12,7,8,14,520
Poipole,LV12,7,9,13,520
Poipole,LV12,7,10,12,520
Poipole,LV12,7,12,9,520
Poipole,LV12,7,13,8,520
Poipole,LV12,7,14,7,520
Poipole,LV12,7,15,6,520
Poipole,LV12.5,8,0,8,520
Poipole,LV12.5,8,2,5,520
Poipole,LV12.5,8,3,4,520
Poipole,LV12.5,8,4,3,520
Poipole,LV12.5,8,6,0,520
Poipole,LV12,8,7,13,520
Poipole,LV12,8,8,12,520
Poipole,LV12,8,9,11,520
Poipole,LV12,8,11,8,520
Poipole,LV12,8,12,7,520
Poipole,LV12,8,13,6,520
Poipole,LV12.5,9,1,4,520
Poipole,LV12.5,9,2,3,520
Poipole,LV12.5,9,3,2,520
Poipole,LV12,9,4,15,520
Poipole,LV12,9,6,12,520
Poipole,LV12,9,7,11,520
Poipole,LV12,9,10,7,520
Poipole,LV12,9,11,6,520
Poipole,LV12,9,12,5,520
Poipole,LV12,9,15,1,520
Poipole,LV12.5,10,1,2,520
Poipole,LV12.5,10,2,1,520
Poipole,LV12,10,2,15,520
Poipole,LV12,10,3,14,520
Poipole,LV12,10,5,11,520
Poipole,LV12,10,6,10,520
Poipole,LV12,10,9,6,520
Poipole,LV12,10,10,5,520
Poipole,LV12,10,11,4,520
Poipole,LV12,10,14,0,520
Poipole,LV11.5,10,14,15,520
Poipole,LV11.5,10,15,14,520
Poipole,LV12.5,11,0,1,520
Poipole,LV12.5,11,1,0,520
Poipole,LV12,11,1,14,520
Poipole,LV12,11,2,13,520
Poipole,LV12,11,4,10,520
Poipole,LV12,11,5,9,520
Poipole,LV12,11,8,5,520
Poipole,LV12,11,9,4,520
Poipole,LV12,11,10,3,520
Poipole,LV11.5,11,12,15,520
Poipole,LV11.5,11,13,14,520
Poipole,LV11.5,11,14,13,520
Poipole,LV12,12,0,13,520
Poipole,LV12,12,1,12,520
Poipole,LV12,12,3,9,520
Poipole,LV12,12,4,8,520
Poipole,LV12,12,7,4,520
Poipole,LV12,12,8,3,520
Poipole,LV12,12,9,2,520
Poipole,LV11.5,12,11,14,520
Poipole,LV11.5,12,12,13,520
Poipole,LV11.5,12,13,12,520
Poipole,LV11.5,12,15,9,520
Poipole,LV12,13,0,11,520
Poipole,LV12,13,2,8,520
Poipole,LV12,13,3,7,520
Poipole,LV12,13,4,6,520
Poipole,LV12,13,6,3,520
Poipole,LV12,13,7,2,520
Poipole,LV12,13,8,1,520
Poipole,LV11.5,13,10,13,520
Poipole,LV11.5,13,11,12,520
Poipole,LV11.5,13,14,8,520
Poipole,LV11.5,13,15,7,520
Poipole,LV12,14,1,7,520
Poipole,LV12,14,2,6,520
Poipole,LV12,14,3,5,520
Poipole,LV12,14,5,2,520
Poipole,LV12,14,6,1,520
Poipole,LV12,14,7,0,520
Poipole,LV11.5,14,7,15,520
Poipole,LV11.5,14,9,12,520
Poipole,LV11.5,14,10,11,520
Poipole,LV11.5,14,13,7,520
Poipole,LV11.5,14,14,6,520
Poipole,LV11.5,14,15,5,520
Poipole,LV12,15,1,5,520
Poipole,LV12,15,2,4,520
Poipole,LV12,15,5,0,520
Poipole,LV11.5,15,5,15,520
Poipole,LV11.5,15,6,14,520
Poipole,LV11.5,15,8,11,520
Poipole,LV11.5,15,9,10,520
Poipole,LV11.5,15,12,6,520
Poipole,LV11.5,15,13,5,520
Poipole,LV11.5,15,14,4,520
Poipole,LV11.5,15,15,3,520
