Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Poliwhirl,LV15.5,0,1,6,520
Poliwhirl,LV15.5,0,3,3,520
Poliwhirl,LV15.5,0,4,2,520
Poliwhirl,LV15,0,4,13,520
Poliwhirl,LV15,0,5,12,520
Poliwhirl,LV15,0,7,9,520
Poliwhirl,LV15,0,8,8,520
Poliwhirl,LV15,0,10,5,520
Poliwhirl,LV15,0,11,4,520
Poliwhirl,LV15,0,12,3,520
Poliwhirl,LV14.5,0,12,14,520
Poliwhirl,LV14.5,0,13,13,520
Poliwhirl,LV15,0,14,0,520
Poliwhirl,LV14.5,0,14,12,520
Poliwhirl,LV15.5,1,0,5,520
Poliwhirl,LV15,1,1,15,520
Poliwhirl,LV15.5,1,2,2,520
Poliwhirl,LV15,1,2,13,520
Poliwhirl,LV15.5,1,3,1,520
Poliwhirl,LV15,1,3,12,520
Poliwhirl,LV15,1,5,9,520
Poliwhirl,LV15,1,6,8,520
Poliwhirl,LV15,1,8,5,520
Poliwhirl,LV15,1,9,4,520
Poliwhirl,LV14.5,1,10,14,520
Poliwhirl,LV14.5,1,11,13,520
Poliwhirl,LV15,1,12,0,520
Poliwhirl,LV14.5,1,14,9,520
Poliwhirl,LV14.5,1,15,8,520
Poliwhirl,LV15.5,2,0,2,520
Poliwhirl,LV15.5,2,1,1,520
Poliwhirl,LV15,2,1,12,520
Poliwhirl,LV15,2,3,9,520
Poliwhirl,LV15,2,4,8,520
Poliwhirl,LV15,2,6,5,520
Poliwhirl,LV15,2,7,4,520
Poliwhirl,LV14.5,2,8,14,520
Poliwhirl,LV14.5,2,9,13,520
Poliwhirl,LV15,2,10,0,520
Poliwhirl,LV14.5,2,11,10,520
Poliwhirl,LV14.5,2,12,9,520
Poliwhirl,LV14.5,2,13,8,520
Poliwhirl,LV14.5,2,15,5,520
Poliwhirl,LV15.5,3,0,0,520
Poliwhirl,LV15,3,0,11,520
Poliwhirl,LV15,3,2,8,520
Poliwhirl,LV15,3,4,5,520
Poliwhirl,LV15,3,5,4,520
Poliwhirl,LV14.5,3,6,14,520
Poliwhirl,LV14.5,3,7,13,520
Poliwhirl,LV15,3,8,0,520
Poliwhirl,LV14.5,3,9,10,520
Poliwhirl,LV14.5,3,10,9,520
Poliwhirl,LV14.5,3,11,8,520
Poliwhirl,LV14.5,3,13,5,520
Poliwhirl,LV14.5,3,14,4,520
Poliwhirl,LV14.5,3,15,3,520
Poliwhirl,LV14,3,15,15,520
Poliwhirl,LV15,4,0,8,520
Poliwhirl,LV15,4,1,7,520
Poliwhirl,LV15,4,3,4,520
Poliwhirl,LV15,4,4,3,520
Poliwhirl,LV14.5,4,5,13,520
Poliwhirl,LV15,4,6,0,520
Poliwhirl,LV14.5,4,7,10,520
Poliwhirl,LV14.5,4,8,9,520
Poliwhirl,LV14.5,4,9,8,520
Poliwhirl,LV14.5,4,11,5,520
Poliwhirl,LV14.5,4,12,4,520
Poliwhirl,LV14,4,13,15,520
Poliwhirl,LV14.5,4,15,0,520
Poliwhirl,LV14,4,15,12,520
Poliwhirl,LV15,5,1,4,520
Poliwhirl,LV15,5,2,3,520
Poliwhirl,LV14.5,5,3,13,520
Poliwhirl,LV14.5,5,4,12,520
Poliwhirl,LV14.5,5,6,9,520
Poliwhirl,LV14.5,5,7,8,520
Poliwhirl,LV14.5,5,9,5,520
Poliwhirl,LV14.5,5,10,4,520
Poliwhirl,LV14,5,11,15,520
Poliwhirl,LV14.5,5,13,0,520
Poliwhirl,LV14,5,13,12,520
Poliwhirl,LV14,5,14,11,520
Poliwhirl,LV15,6,0,3,520
Poliwhirl,LV14.5,6,0,15,520
Poliwhirl,LV15,6,1,2,520
Poliwhirl,LV14.5,6,2,12,520
Poliwhirl,LV14.5,6,4,9,520
Poliwhirl,LV14.5,6,5,8,520
Poliwhirl,LV14.5,6,7,5,520
Poliwhirl,LV14.5,6,8,4,520
Poliwhirl,LV14.5,6,9,3,520
Poliwhirl,LV14,6,9,15,520
Poliwhirl,LV14.5,6,11,0,520
Poliwhirl,LV14,6,11,12,520
Poliwhirl,LV14,6,12,11,520
Poliwhirl,LV14,6,14,8,520
Poliwhirl,LV14,6,15,7,520
Poliwhirl,LV15,7,0,1,520
Poliwhirl,LV14.5,7,0,12,520
Poliwhirl,LV14.5,7,1,11,520
Poliwhirl,LV14.5,7,3,8,520
Poliwhirl,LV14.5,7,4,7,520
Poliwhirl,LV14.5,7,6,4,520
Poliwhirl,LV14.5,7,7,3,520
Poliwhirl,LV14,7,7,15,520
Poliwhirl,LV14.5,7,9,0,520
Poliwhirl,LV14,7,9,12,520
Poliwhirl,LV14,7,10,11,520
Poliwhirl,LV14,7,12,8,520
Poliwhirl,LV14,7,13,7,520
Poliwhirl,LV14,7,14,6,520
Poliwhirl,LV14.5,8,0,10,520
Poliwhirl,LV14.5,8,1,8,520
Poliwhirl,LV14.5,8,2,7,520
Poliwhirl,LV14.5,8,4,4,520
Poliwhirl,LV14.5,8,5,3,520
Poliwhirl,LV14,8,5,15,520
Poliwhirl,LV14,8,7,12,520
Poliwhirl,LV14,8,8,11,520
Poliwhirl,LV14,8,11,7,520
Poliwhirl,LV14,8,12,6,520
Poliwhirl,LV14,8,15,2,520
Poliwhirl,LV14.5,9,0,7,520
Poliwhirl,LV14.5,9,1,6,520
Poliwhirl,LV14.5,9,3,3,520
Poliwhirl,LV14,9,3,15,520
Poliwhirl,LV14.5,9,4,2,520
Poliwhirl,LV14,9,4,14,520
Poliwhirl,LV14,9,6,11,520
Poliwhirl,LV14,9,7,10,520
Poliwhirl,LV14,9,9,7,520
Poliwhirl,LV14,9,10,6,520
Poliwhirl,LV14,9,13,2,520
Poliwhirl,LV14,9,14,1,520
Poliwhirl,LV13.5,9,14,13,520
Poliwhirl,LV14,9,15,0,520
Poliwhirl,LV13.5,9,15,12,520
Poliwhirl,LV14.5,10,0,5,520
Poliwhirl,LV14.5,10,2,2,520
Poliwhirl,LV14,10,2,14,520
Poliwhirl,LV14.5,10,3,1,520
Poliwhirl,LV14,10,3,13,520
Poliwhirl,LV14,10,5,10,520
Poliwhirl,LV14,10,7,7,520
Poliwhirl,LV14,10,8,6,520
Poliwhirl,LV14,10,9,5,520
Poliwhirl,LV14,10,11,2,520
Poliwhirl,LV13.5,10,11,15,520
Poliwhirl,LV14,10,12,1,520
Poliwhirl,LV14,10,13,0,520
Poliwhirl,LV13.5,10,13,12,520
Poliwhirl,LV13.5,10,14,11,520
Poliwhirl,LV14.5,11,1,1,520
Poliwhirl,LV14,11,1,13,520
Poliwhirl,LV14.5,11,2,0,520
Poliwhirl,LV14,11,3,10,520
Poliwhirl,LV14,11,4,9,520
Poliwhirl,LV14,11,6,6,520
Poliwhirl,LV14,11,7,5,520
Poliwhirl,LV13.5,11,9,15,520
Poliwhirl,LV14,11,10,1,520
Poliwhirl,LV14,11,11,0,520
Poliwhirl,LV13.5,11,11,12,520
Poliwhirl,LV13.5,11,12,11,520
Poliwhirl,LV13.5,11,15,7,520
Poliwhirl,LV14.5,12,0,0,520
Poliwhirl,LV14,12,0,12,520
Poliwhirl,LV14,12,2,9,520
Poliwhirl,LV14,12,3,8,520
Poliwhirl,LV14,12,5,5,520
Poliwhirl,LV14,12,6,4,520
Poliwhirl,LV13.5,12,7,15,520
Poliwhirl,LV14,12,8,1,520
Poliwhirl,LV13.5,12,8,14,520
Poliwhirl,LV14,12,9,0,520
Poliwhirl,LV13.5,12,10,11,520
Poliwhirl,LV13.5,12,11,10,520
Poliwhirl,LV13.5,12,13,7,520
Poliwhirl,LV13.5,12,14,6,520
Poliwhirl,LV13.5,12,15,5,520
Poliwhirl,LV14,13,1,8,520
Poliwhirl,LV14,13,2,7,520
Poliwhirl,LV14,13,4,4,520
Poliwhirl,LV14,13,5,3,520
Poliwhirl,LV13.5,13,5,15,520
Poliwhirl,LV13.5,13,6,14,520
Poliwhirl,LV14,13,7,0,520
Poliwhirl,LV13.5,13,8,11,520
Poliwhirl,LV13.5,13,9,10,520
Poliwhirl,LV13.5,13,11,7,520
Poliwhirl,LV13.5,13,12,6,520
Poliwhirl,LV13.5,13,13,5,520
Poliwhirl,LV13,13,15,15,520
Poliwhirl,LV14,14,0,7,520
Poliwhirl,LV14,14,1,6,520
Poliwhirl,LV14,14,3,3,520
Poliwhirl,LV14,14,4,2,520
Poliwhirl,LV13.5,14,4,14,520
Poliwhirl,LV13.5,14,5,13,520
Poliwhirl,LV13.5,14,7,10,520
Poliwhirl,LV13.5,14,8,9,520
Poliwhirl,LV13.5,14,10,6,520
Poliwhirl,LV13.5,14,11,5,520
Poliwhirl,LV13.5,14,12,4,520
Poliwhirl,LV13.5,14,14,1,520
Poliwhirl,LV13,14,14,14,520
Poliwhirl,LV13.5,14,15,0,520
Poliwhirl,LV13,14,15,13,520
Poliwhirl,LV14,15,0,5,520
Poliwhirl,LV14,15,2,2,520
Poliwhirl,LV14,15,3,1,520
Poliwhirl,LV13.5,15,3,13,520
Poliwhirl,LV13.5,15,4,12,520
Poliwhirl,LV13.5,15,6,9,520
Poliwhirl,LV13.5,15,7,8,520
Poliwhirl,LV13.5,15,9,5,520
Poliwhirl,LV13.5,15,10,4,520
Poliwhirl,LV13,15,12,14,520
Poliwhirl,LV13.5,15,13,0,520
Poliwhirl,LV13,15,13,13,520
Poliwhirl,LV13,15,14,12,520
