Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Polteageist,LV7,0,0,2,520
Polteageist,LV7,0,1,1,520
Polteageist,LV7,0,2,0,520
Polteageist,LV6.5,1,14,15,520
Polteageist,LV6.5,1,15,14,520
Polteageist,LV6.5,2,12,15,520
Polteageist,LV6.5,2,15,13,520
Polteageist,LV6.5,3,11,15,520
Polteageist,LV6.5,3,12,14,520
Polteageist,LV6.5,3,13,13,520
Polteageist,LV6.5,3,14,12,520
Polteageist,LV6.5,4,9,15,520
Polteageist,LV6.5,4,10,14,520
Polteageist,LV6.5,4,13,12,520
Polteageist,LV6.5,4,14,11,520
Polteageist,LV6.5,4,15,10,520
Polteageist,LV6.5,5,8,15,520
Polteageist,LV6.5,5,9,14,520
Polteageist,LV6.5,5,10,13,520
Polteageist,LV6.5,5,11,12,520
Polteageist,LV6.5,5,12,11,520
Polteageist,LV6.5,5,15,9,520
Polteageist,LV6.5,6,6,15,520
Polteageist,LV6.5,6,7,14,520
Polteageist,LV6.5,6,11,11,520
Polteageist,LV6.5,6,12,10,520
Polteageist,LV6.5,6,13,9,520
Polteageist,LV6.5,7,6,14,520
Polteageist,LV6.5,7,7,13,520
Polteageist,LV6.5,7,8,12,520
Polteageist,LV6.5,7,9,11,520
Polteageist,LV6.5,7,12,9,520
Polteageist,LV6.5,7,13,8,520
Polteageist,LV6.5,7,14,7,520
Polteageist,LV6.5,7,15,6,520
Polteageist,LV6.5,8,3,15,520
Polteageist,LV6.5,8,4,14,520
Polteageist,LV6.5,8,5,13,520
Polteageist,LV6.5,8,8,11,520
Polteageist,LV6.5,8,9,10,520
Polteageist,LV6.5,8,10,9,520
Polteageist,LV6.5,8,11,8,520
Polteageist,LV6.5,8,14,6,520
Polteageist,LV6.5,8,15,5,520
Polteageist,LV6.5,9,3,14,520
Polteageist,LV6.5,9,4,13,520
Polteageist,LV6.5,9,5,12,520
Polteageist,LV6.5,9,6,11,520
Polteageist,LV6.5,9,7,10,520
Polteageist,LV6.5,9,10,8,520
Polteageist,LV6.5,9,11,7,520
Polteageist,LV6.5,9,12,6,520
Polteageist,LV6.5,9,15,4,520
Polteageist,LV6.5,10,0,15,520
Polteageist,LV6.5,10,1,14,520
Polteageist,LV6.5,10,2,13,520
Polteageist,LV6.5,10,5,11,520
Polteageist,LV6.5,10,6,10,520
Polteageist,LV6.5,10,7,9,520
Polteageist,LV6.5,10,8,8,520
Polteageist,LV6.5,10,11,6,520
Polteageist,LV6.5,10,12,5,520
Polteageist,LV6.5,10,13,4,520
Polteageist,LV6.5,11,0,14,520
Polteageist,LV6.5,11,1,13,520
Polteageist,LV6.5,11,2,12,520
Polteageist,LV6.5,11,3,11,520
Polteageist,LV6.5,11,4,10,520
Polteageist,LV6.5,11,7,8,520
Polteageist,LV6.5,11,8,7,520
Polteageist,LV6.5,11,9,6,520
Polteageist,LV6.5,11,10,5,520
Polteageist,LV6.5,11,13,3,520
Polteageist,LV6.5,11,14,2,520
Polteageist,LV6.5,12,2,11,520
Polteageist,LV6.5,12,3,10,520
Polteageist,LV6.5,12,4,9,520
Polteageist,LV6.5,12,5,8,520
Polteageist,LV6.5,12,9,5,520
Polteageist,LV6.5,12,10,4,520
Polteageist,LV6.5,12,11,3,520
Polteageist,LV6.5,12,14,1,520
Polteageist,LV6.5,12,15,0,520
Polteageist,LV6.5,13,0,11,520
Polteageist,LV6.5,13,4,8,520
Polteageist,LV6.5,13,5,7,520
Polteageist,LV6.5,13,6,6,520
Polteageist,LV6.5,13,7,5,520
Polteageist,LV6.5,13,10,3,520
Polteageist,LV6.5,13,11,2,520
Polteageist,LV6.5,13,12,1,520
Polteageist,LV6.5,13,14,0,520
Polteageist,LV6.5,14,0,10,520
Polteageist,LV6.5,14,1,9,520
Polteageist,LV6.5,14,2,8,520
Polteageist,LV6.5,14,6,5,520
Polteageist,LV6.5,14,7,4,520
Polteageist,LV6.5,14,8,3,520
Polteageist,LV6.5,14,11,1,520
Polteageist,LV6.5,14,12,0,520
Polteageist,LV6.5,15,1,8,520
Polteageist,LV6.5,15,2,7,520
Polteageist,LV6.5,15,3,6,520
Polteageist,LV6.5,15,4,5,520
Polteageist,LV6.5,15,7,3,520
Polteageist,LV6.5,15,8,2,520
Polteageist,LV6.5,15,9,1,520
