Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Ponyta Galarian Form,LV13,0,0,0,520
Ponyta Galarian Form,LV12.5,0,1,10,520
Ponyta Galarian Form,LV12.5,0,2,9,520
Ponyta Galarian Form,LV12.5,0,3,8,520
Ponyta Galarian Form,LV12.5,0,4,7,520
Ponyta Galarian Form,LV12,0,9,13,520
Ponyta Galarian Form,LV12,0,10,12,520
Ponyta Galarian Form,LV12,0,11,11,520
Ponyta Galarian Form,LV12,0,12,10,520
Ponyta Galarian Form,LV12,0,13,9,520
Ponyta Galarian Form,LV12,0,14,8,520
Ponyta Galarian Form,LV12,0,15,7,520
Ponyta Galarian Form,LV12.5,1,3,6,520
Ponyta Galarian Form,LV12.5,1,4,5,520
Ponyta Galarian Form,LV12.5,1,5,4,520
Ponyta Galarian Form,LV12.5,1,6,3,520
Ponyta Galarian Form,LV12,1,6,15,520
Ponyta Galarian Form,LV12.5,1,7,2,520
Ponyta Galarian Form,LV12,1,7,14,520
Ponyta Galarian Form,LV12.5,1,8,1,520
Ponyta Galarian Form,LV12.5,1,9,0,520
Ponyta Galarian Form,LV12,1,13,7,520
Ponyta Galarian Form,LV12,1,14,6,520
Ponyta Galarian Form,LV12,1,15,5,520
Ponyta Galarian Form,LV12.5,2,0,8,520
Ponyta Galarian Form,LV12.5,2,1,7,520
Ponyta Galarian Form,LV12,2,5,14,520
Ponyta Galarian Form,LV12,2,6,13,520
Ponyta Galarian Form,LV12,2,7,12,520
Ponyta Galarian Form,LV12,2,8,11,520
Ponyta Galarian Form,LV12,2,9,10,520
Ponyta Galarian Form,LV12.5,3,0,6,520
Ponyta Galarian Form,LV12.5,3,1,5,520
Ponyta Galarian Form,LV12.5,3,2,4,520
Ponyta Galarian Form,LV12.5,3,3,3,520
Ponyta Galarian Form,LV12,3,3,15,520
Ponyta Galarian Form,LV12.5,3,4,2,520
Ponyta Galarian Form,LV12.5,3,5,1,520
Ponyta Galarian Form,LV12.5,3,6,0,520
Ponyta Galarian Form,LV12,3,7,10,520
Ponyta Galarian Form,LV12,3,8,9,520
Ponyta Galarian Form,LV12,3,9,8,520
Ponyta Galarian Form,LV12,3,10,7,520
Ponyta Galarian Form,LV12,3,11,6,520
Ponyta Galarian Form,LV12,3,12,5,520
Ponyta Galarian Form,LV12,3,13,4,520
Ponyta Galarian Form,LV12,3,14,3,520
Ponyta Galarian Form,LV12,3,15,2,520
Ponyta Galarian Form,LV12,4,2,14,520
Ponyta Galarian Form,LV12,4,3,13,520
Ponyta Galarian Form,LV12.5,4,4,0,520
Ponyta Galarian Form,LV12,4,4,12,520
Ponyta Galarian Form,LV12,4,5,11,520
Ponyta Galarian Form,LV12.5,5,0,3,520
Ponyta Galarian Form,LV12,5,0,15,520
Ponyta Galarian Form,LV12.5,5,1,2,520
Ponyta Galarian Form,LV12.5,5,2,1,520
Ponyta Galarian Form,LV12,5,4,10,520
Ponyta Galarian Form,LV12,5,5,9,520
Ponyta Galarian Form,LV12,5,6,8,520
Ponyta Galarian Form,LV12,5,7,7,520
Ponyta Galarian Form,LV12,5,8,6,520
Ponyta Galarian Form,LV12,5,9,5,520
Ponyta Galarian Form,LV12,5,10,4,520
Ponyta Galarian Form,LV12,5,11,3,520
Ponyta Galarian Form,LV11.5,5,11,15,520
Ponyta Galarian Form,LV12,5,12,2,520
Ponyta Galarian Form,LV11.5,5,12,14,520
Ponyta Galarian Form,LV12,5,13,1,520
Ponyta Galarian Form,LV11.5,5,13,13,520
Ponyta Galarian Form,LV12,5,14,0,520
Ponyta Galarian Form,LV11.5,5,14,12,520
Ponyta Galarian Form,LV11.5,5,15,11,520
Ponyta Galarian Form,LV12,6,0,13,520
Ponyta Galarian Form,LV12,6,1,12,520
Ponyta Galarian Form,LV12,6,2,11,520
Ponyta Galarian Form,LV12,6,8,4,520
Ponyta Galarian Form,LV12,6,9,3,520
Ponyta Galarian Form,LV12,6,10,2,520
Ponyta Galarian Form,LV12,6,11,1,520
Ponyta Galarian Form,LV12,6,12,0,520
Ponyta Galarian Form,LV11.5,6,13,11,520
Ponyta Galarian Form,LV11.5,6,14,10,520
Ponyta Galarian Form,LV11.5,6,15,9,520
Ponyta Galarian Form,LV12.5,7,0,0,520
Ponyta Galarian Form,LV12,7,1,10,520
Ponyta Galarian Form,LV12,7,2,9,520
Ponyta Galarian Form,LV12,7,3,8,520
Ponyta Galarian Form,LV12,7,4,7,520
Ponyta Galarian Form,LV12,7,5,6,520
Ponyta Galarian Form,LV12,7,6,5,520
Ponyta Galarian Form,LV11.5,7,8,15,520
Ponyta Galarian Form,LV11.5,7,9,14,520
Ponyta Galarian Form,LV11.5,7,10,13,520
Ponyta Galarian Form,LV11.5,7,11,12,520
Ponyta Galarian Form,LV12,8,0,10,520
Ponyta Galarian Form,LV12,8,5,4,520
Ponyta Galarian Form,LV12,8,6,3,520
Ponyta Galarian Form,LV12,8,7,2,520
Ponyta Galarian Form,LV12,8,8,1,520
Ponyta Galarian Form,LV12,8,9,0,520
Ponyta Galarian Form,LV11.5,8,9,12,520
Ponyta Galarian Form,LV11.5,8,10,11,520
Ponyta Galarian Form,LV11.5,8,11,10,520
Ponyta Galarian Form,LV11.5,8,12,9,520
Ponyta Galarian Form,LV11.5,8,13,8,520
Ponyta Galarian Form,LV11.5,8,14,7,520
Ponyta Galarian Form,LV11.5,8,15,6,520
Ponyta Galarian Form,LV12,9,0,8,520
Ponyta Galarian Form,LV12,9,1,7,520
Ponyta Galarian Form,LV12,9,2,6,520
Ponyta Galarian Form,LV12,9,3,5,520
Ponyta Galarian Form,LV11.5,9,5,15,520
Ponyta Galarian Form,LV11.5,9,6,14,520
Ponyta Galarian Form,LV11.5,9,7,13,520
Ponyta Galarian Form,LV12,10,3,3,520
Ponyta Galarian Form,LV12,10,4,2,520
Ponyta Galarian Form,LV12,10,5,1,520
Ponyta Galarian Form,LV12,10,6,0,520
Ponyta Galarian Form,LV11.5,10,6,12,520
Ponyta Galarian Form,LV11.5,10,7,11,520
Ponyta Galarian Form,LV11.5,10,8,10,520
Ponyta Galarian Form,LV11.5,10,9,9,520
Ponyta Galarian Form,LV11.5,10,10,8,520
Ponyta Galarian Form,LV11.5,10,11,7,520
Ponyta Galarian Form,LV11.5,10,12,6,520
Ponyta Galarian Form,LV11.5,10,13,5,520
Ponyta Galarian Form,LV11.5,10,14,4,520
Ponyta Galarian Form,LV11.5,10,15,3,520
Ponyta Galarian Form,LV12,11,0,5,520
Ponyta Galarian Form,LV12,11,1,4,520
Ponyta Galarian Form,LV12,11,2,3,520
Ponyta Galarian Form,LV11.5,11,2,15,520
Ponyta Galarian Form,LV11.5,11,3,14,520
Ponyta Galarian Form,LV11.5,11,4,13,520
Ponyta Galarian Form,LV11.5,11,10,6,520
Ponyta Galarian Form,LV11.5,11,11,5,520
Ponyta Galarian Form,LV11.5,11,12,4,520
Ponyta Galarian Form,LV11.5,11,13,3,520
Ponyta Galarian Form,LV11.5,11,14,2,520
Ponyta Galarian Form,LV11,11,14,15,520
Ponyta Galarian Form,LV11.5,11,15,1,520
Ponyta Galarian Form,LV11,11,15,14,520
Ponyta Galarian Form,LV12,12,2,1,520
Ponyta Galarian Form,LV12,12,3,0,520
Ponyta Galarian Form,LV11.5,12,4,11,520
Ponyta Galarian Form,LV11.5,12,5,10,520
Ponyta Galarian Form,LV11.5,12,6,9,520
Ponyta Galarian Form,LV11.5,12,7,8,520
Ponyta Galarian Form,LV11.5,12,8,7,520
Ponyta Galarian Form,LV11.5,12,9,6,520
Ponyta Galarian Form,LV12,13,0,2,520
Ponyta Galarian Form,LV11.5,13,0,14,520
Ponyta Galarian Form,LV12,13,1,1,520
Ponyta Galarian Form,LV11.5,13,1,13,520
Ponyta Galarian Form,LV11.5,13,2,12,520
Ponyta Galarian Form,LV11.5,13,8,5,520
Ponyta Galarian Form,LV11.5,13,9,4,520
Ponyta Galarian Form,LV11.5,13,10,3,520
Ponyta Galarian Form,LV11.5,13,11,2,520
Ponyta Galarian Form,LV11,13,11,15,520
Ponyta Galarian Form,LV11.5,13,12,1,520
Ponyta Galarian Form,LV11,13,12,14,520
Ponyta Galarian Form,LV11.5,13,13,0,520
Ponyta Galarian Form,LV11,13,13,13,520
Ponyta Galarian Form,LV11,13,14,12,520
Ponyta Galarian Form,LV11,13,15,11,520
Ponyta Galarian Form,LV11.5,14,2,10,520
Ponyta Galarian Form,LV11.5,14,3,9,520
Ponyta Galarian Form,LV11.5,14,4,8,520
Ponyta Galarian Form,LV11.5,14,5,7,520
Ponyta Galarian Form,LV11.5,14,6,6,520
Ponyta Galarian Form,LV11.5,14,7,5,520
Ponyta Galarian Form,LV11,14,13,11,520
Ponyta Galarian Form,LV11,14,14,10,520
Ponyta Galarian Form,LV11,14,15,9,520
Ponyta Galarian Form,LV11.5,15,0,11,520
Ponyta Galarian Form,LV11.5,15,1,10,520
Ponyta Galarian Form,LV11.5,15,6,4,520
Ponyta Galarian Form,LV11.5,15,7,3,520
Ponyta Galarian Form,LV11.5,15,8,2,520
Ponyta Galarian Form,LV11,15,8,15,520
Ponyta Galarian Form,LV11.5,15,9,1,520
Ponyta Galarian Form,LV11,15,9,14,520
Ponyta Galarian Form,LV11.5,15,10,0,520
Ponyta Galarian Form,LV11,15,10,13,520
Ponyta Galarian Form,LV11,15,11,12,520
Ponyta Galarian Form,LV11,15,12,11,520
