Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Porygon2,LV7.5,0,8,15,520
Porygon2,LV7.5,0,9,14,520
Porygon2,LV7.5,0,10,13,520
Porygon2,LV7.5,0,11,12,520
Porygon2,LV7.5,0,14,8,520
Porygon2,LV7.5,0,15,7,520
Porygon2,LV7.5,1,6,15,520
Porygon2,LV7.5,1,7,14,520
Porygon2,LV7.5,1,8,13,520
Porygon2,LV7.5,1,9,12,520
Porygon2,LV7.5,1,10,11,520
Porygon2,LV7.5,1,13,7,520
Porygon2,LV7.5,1,14,6,520
Porygon2,LV7.5,1,15,5,520
Porygon2,LV7.5,2,4,15,520
Porygon2,LV7.5,2,5,14,520
Porygon2,LV7.5,2,6,13,520
Porygon2,LV7.5,2,7,12,520
Porygon2,LV7.5,2,8,11,520
Porygon2,LV7.5,2,9,10,520
Porygon2,LV7.5,2,12,6,520
Porygon2,LV7.5,2,13,5,520
Porygon2,LV7.5,2,14,4,520
Porygon2,LV7.5,2,15,3,520
Porygon2,LV7.5,3,3,14,520
Porygon2,LV7.5,3,4,13,520
Porygon2,LV7.5,3,5,12,520
Porygon2,LV7.5,3,6,11,520
Porygon2,LV7.5,3,7,10,520
Porygon2,LV7.5,3,8,9,520
Porygon2,LV7.5,3,12,4,520
Porygon2,LV7.5,3,13,3,520
Porygon2,LV7.5,3,14,2,520
Porygon2,LV7.5,3,15,1,520
Porygon2,LV7.5,4,2,13,520
Porygon2,LV7.5,4,3,12,520
Porygon2,LV7.5,4,4,11,520
Porygon2,LV7.5,4,5,10,520
Porygon2,LV7.5,4,6,9,520
Porygon2,LV7.5,4,7,8,520
Porygon2,LV7.5,4,8,7,520
Porygon2,LV7.5,4,12,2,520
Porygon2,LV7.5,4,13,1,520
Porygon2,LV7.5,4,14,0,520
Porygon2,LV7.5,5,0,14,520
Porygon2,LV7.5,5,2,11,520
Porygon2,LV7.5,5,3,10,520
Porygon2,LV7.5,5,4,9,520
Porygon2,LV7.5,5,5,8,520
Porygon2,LV7.5,5,6,7,520
Porygon2,LV7.5,5,7,6,520
Porygon2,LV7.5,6,1,10,520
Porygon2,LV7.5,6,2,9,520
Porygon2,LV7.5,6,3,8,520
Porygon2,LV7.5,6,4,7,520
Porygon2,LV7.5,6,5,6,520
Porygon2,LV7.5,6,6,5,520
Porygon2,LV7.5,6,7,4,520
Porygon2,LV7.5,6,8,3,520
Porygon2,LV7.5,7,1,8,520
Porygon2,LV7.5,7,2,7,520
Porygon2,LV7.5,7,3,6,520
Porygon2,LV7.5,7,4,5,520
Porygon2,LV7.5,7,5,4,520
Porygon2,LV7.5,7,6,3,520
Porygon2,LV7.5,7,7,2,520
Porygon2,LV7.5,7,8,1,520
Porygon2,LV7.5,7,9,0,520
Porygon2,LV7.5,8,1,6,520
Porygon2,LV7.5,8,2,5,520
Porygon2,LV7.5,8,3,4,520
Porygon2,LV7.5,8,4,3,520
Porygon2,LV7.5,8,5,2,520
Porygon2,LV7.5,8,6,1,520
Porygon2,LV7.5,8,7,0,520
Porygon2,LV7.5,9,2,3,520
Porygon2,LV7.5,9,3,2,520
Porygon2,LV7.5,9,4,1,520
Porygon2,LV7.5,9,5,0,520
Porygon2,LV7.5,10,2,1,520
Porygon2,LV7.5,10,3,0,520
Porygon2,LV7.5,11,0,2,520
Porygon2,LV7.5,12,0,0,520
Porygon2,LV7,12,14,15,520
Porygon2,LV7,12,15,14,520
Porygon2,LV7,13,12,15,520
Porygon2,LV7,13,13,14,520
Porygon2,LV7,13,14,13,520
Porygon2,LV7,13,15,12,520
Porygon2,LV7,14,10,15,520
Porygon2,LV7,14,11,14,520
Porygon2,LV7,14,12,13,520
Porygon2,LV7,14,13,12,520
Porygon2,LV7,14,14,11,520
Porygon2,LV7,14,15,10,520
Porygon2,LV7,15,10,13,520
Porygon2,LV7,15,11,12,520
Porygon2,LV7,15,12,11,520
Porygon2,LV7,15,13,10,520
Porygon2,LV7,15,14,9,520
Porygon2,LV7,15,15,8,520
