Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Probopass,LV10,0,1,14,520
Probopass,LV10,0,3,13,520
Probopass,LV10,0,4,12,520
Probopass,LV10,0,6,11,520
Probopass,LV10,0,8,10,520
Probopass,LV10,0,9,9,520
Probopass,LV10,0,10,9,520
Probopass,LV10,0,11,8,520
Probopass,LV10,0,13,7,520
Probopass,LV10,0,15,6,520
Probopass,LV10,1,0,12,520
Probopass,LV10,1,2,11,520
Probopass,LV10,1,4,10,520
Probopass,LV10,1,5,9,520
Probopass,LV10,1,7,8,520
Probopass,LV10,1,9,7,520
Probopass,LV10,1,10,6,520
Probopass,LV10,1,11,6,520
Probopass,LV10,1,12,5,520
Probopass,LV10,1,14,4,520
Probopass,LV10,2,0,10,520
Probopass,LV10,2,1,9,520
Probopass,LV10,2,3,8,520
Probopass,LV10,2,5,7,520
Probopass,LV10,2,6,6,520
Probopass,LV10,2,8,5,520
Probopass,LV10,2,10,4,520
Probopass,LV10,2,12,3,520
Probopass,LV10,2,13,2,520
Probopass,LV10,2,14,2,520
Probopass,LV10,2,15,1,520
Probopass,LV10,3,1,7,520
Probopass,LV10,3,2,6,520
Probopass,LV10,3,4,5,520
Probopass,LV10,3,6,4,520
Probopass,LV10,3,8,3,520
Probopass,LV10,3,9,2,520
Probopass,LV10,3,11,1,520
Probopass,LV10,3,13,0,520
Probopass,LV10,4,0,5,520
Probopass,LV10,4,2,4,520
Probopass,LV10,4,3,3,520
Probopass,LV10,4,4,3,520
Probopass,LV10,4,5,2,520
Probopass,LV10,4,7,1,520
Probopass,LV10,4,9,0,520
Probopass,LV9.5,4,13,15,520
Probopass,LV9.5,4,14,15,520
Probopass,LV9.5,4,15,14,520
Probopass,LV10,5,0,3,520
Probopass,LV10,5,1,2,520
Probopass,LV10,5,3,1,520
Probopass,LV10,5,5,0,520
Probopass,LV9.5,5,9,15,520
Probopass,LV9.5,5,11,14,520
Probopass,LV9.5,5,13,13,520
Probopass,LV9.5,5,14,12,520
Probopass,LV9.5,5,15,12,520
Probopass,LV10,6,1,0,520
Probopass,LV9.5,6,5,15,520
Probopass,LV9.5,6,7,14,520
Probopass,LV9.5,6,9,13,520
Probopass,LV9.5,6,10,12,520
Probopass,LV9.5,6,12,11,520
Probopass,LV9.5,6,14,10,520
Probopass,LV9.5,7,1,15,520
Probopass,LV9.5,7,3,14,520
Probopass,LV9.5,7,5,13,520
Probopass,LV9.5,7,6,12,520
Probopass,LV9.5,7,8,11,520
Probopass,LV9.5,7,10,10,520
Probopass,LV9.5,7,12,9,520
Probopass,LV9.5,7,13,8,520
Probopass,LV9.5,7,15,7,520
Probopass,LV9.5,8,1,13,520
Probopass,LV9.5,8,2,12,520
Probopass,LV9.5,8,3,12,520
Probopass,LV9.5,8,4,11,520
Probopass,LV9.5,8,6,10,520
Probopass,LV9.5,8,8,9,520
Probopass,LV9.5,8,9,8,520
Probopass,LV9.5,8,11,7,520
Probopass,LV9.5,8,13,6,520
Probopass,LV9.5,8,15,5,520
Probopass,LV9.5,9,0,11,520
Probopass,LV9.5,9,2,10,520
Probopass,LV9.5,9,4,9,520
Probopass,LV9.5,9,5,8,520
Probopass,LV9.5,9,7,7,520
Probopass,LV9.5,9,9,6,520
Probopass,LV9.5,9,11,5,520
Probopass,LV9.5,9,12,4,520
Probopass,LV9.5,9,14,3,520
Probopass,LV9.5,10,0,9,520
Probopass,LV9.5,10,1,8,520
Probopass,LV9.5,10,2,8,520
Probopass,LV9.5,10,3,7,520
Probopass,LV9.5,10,5,6,520
Probopass,LV9.5,10,7,5,520
Probopass,LV9.5,10,8,4,520
Probopass,LV9.5,10,9,4,520
Probopass,LV9.5,10,10,3,520
Probopass,LV9.5,10,12,2,520
Probopass,LV9.5,10,14,1,520
Probopass,LV9.5,11,1,6,520
Probopass,LV9.5,11,3,5,520
Probopass,LV9.5,11,5,4,520
Probopass,LV9.5,11,6,3,520
Probopass,LV9.5,11,8,2,520
Probopass,LV9.5,11,10,1,520
Probopass,LV9.5,11,12,0,520
Probopass,LV9.5,12,1,4,520
Probopass,LV9.5,12,3,3,520
Probopass,LV9.5,12,4,2,520
Probopass,LV9.5,12,6,1,520
Probopass,LV9.5,12,8,0,520
Probopass,LV9,12,14,15,520
Probopass,LV9.5,13,1,2,520
Probopass,LV9.5,13,2,1,520
Probopass,LV9.5,13,4,0,520
Probopass,LV9,13,10,15,520
Probopass,LV9,13,12,14,520
Probopass,LV9,13,14,13,520
Probopass,LV9.5,14,0,0,520
Probopass,LV9,14,7,15,520
Probopass,LV9,14,8,14,520
Probopass,LV9,14,10,13,520
Probopass,LV9,14,12,12,520
Probopass,LV9,14,13,11,520
Probopass,LV9,14,15,10,520
Probopass,LV9,15,3,15,520
Probopass,LV9,15,4,14,520
Probopass,LV9,15,5,14,520
Probopass,LV9,15,6,13,520
Probopass,LV9,15,8,12,520
Probopass,LV9,15,10,11,520
Probopass,LV9,15,11,10,520
Probopass,LV9,15,13,9,520
Probopass,LV9,15,15,8,520
