Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Pumpkaboo Average Size,LV18.5,0,0,3,520
Pumpkaboo Average Size,LV18,0,0,11,520
Pumpkaboo Average Size,LV18.5,0,1,2,520
Pumpkaboo Average Size,LV18.5,0,2,1,520
Pumpkaboo Average Size,LV18.5,0,3,0,520
Pumpkaboo Average Size,LV18,0,4,6,520
Pumpkaboo Average Size,LV18,0,5,5,520
Pumpkaboo Average Size,LV17.5,0,5,13,520
Pumpkaboo Average Size,LV18,0,6,4,520
Pumpkaboo Average Size,LV17.5,0,6,12,520
Pumpkaboo Average Size,LV18,0,7,3,520
Pumpkaboo Average Size,LV17.5,0,7,11,520
Pumpkaboo Average Size,LV18,0,8,2,520
Pumpkaboo Average Size,LV17.5,0,8,10,520
Pumpkaboo Average Size,LV18,0,9,1,520
Pumpkaboo Average Size,LV17.5,0,9,9,520
Pumpkaboo Average Size,LV18,0,10,0,520
Pumpkaboo Average Size,LV17,0,11,15,520
Pumpkaboo Average Size,LV17,0,12,14,520
Pumpkaboo Average Size,LV17,0,13,13,520
Pumpkaboo Average Size,LV17,0,14,12,520
Pumpkaboo Average Size,LV18.5,1,0,1,520
Pumpkaboo Average Size,LV18,1,1,7,520
Pumpkaboo Average Size,LV18,1,2,6,520
Pumpkaboo Average Size,LV18,1,3,5,520
Pumpkaboo Average Size,LV17.5,1,3,13,520
Pumpkaboo Average Size,LV18,1,4,4,520
Pumpkaboo Average Size,LV17.5,1,4,12,520
Pumpkaboo Average Size,LV18,1,5,3,520
Pumpkaboo Average Size,LV17.5,1,5,11,520
Pumpkaboo Average Size,LV18,1,6,2,520
Pumpkaboo Average Size,LV17,1,9,15,520
Pumpkaboo Average Size,LV17.5,1,12,3,520
Pumpkaboo Average Size,LV17.5,1,13,2,520
Pumpkaboo Average Size,LV17.5,1,14,1,520
Pumpkaboo Average Size,LV17.5,1,15,0,520
Pumpkaboo Average Size,LV18,2,0,6,520
Pumpkaboo Average Size,LV17.5,2,0,14,520
Pumpkaboo Average Size,LV18,2,1,5,520
Pumpkaboo Average Size,LV17.5,2,1,13,520
Pumpkaboo Average Size,LV18,2,2,4,520
Pumpkaboo Average Size,LV17.5,2,2,12,520
Pumpkaboo Average Size,LV18,2,3,3,520
Pumpkaboo Average Size,LV17.5,2,3,11,520
Pumpkaboo Average Size,LV17.5,2,7,6,520
Pumpkaboo Average Size,LV17.5,2,8,5,520
Pumpkaboo Average Size,LV17.5,2,9,4,520
Pumpkaboo Average Size,LV17.5,2,10,3,520
Pumpkaboo Average Size,LV17.5,2,11,2,520
Pumpkaboo Average Size,LV17,2,11,10,520
Pumpkaboo Average Size,LV17.5,2,12,1,520
Pumpkaboo Average Size,LV17,2,12,9,520
Pumpkaboo Average Size,LV17.5,2,13,0,520
Pumpkaboo Average Size,LV17,2,13,8,520
Pumpkaboo Average Size,LV17,2,14,7,520
Pumpkaboo Average Size,LV17,2,15,6,520
Pumpkaboo Average Size,LV18,3,0,4,520
Pumpkaboo Average Size,LV17.5,3,0,12,520
Pumpkaboo Average Size,LV17.5,3,4,7,520
Pumpkaboo Average Size,LV17.5,3,5,6,520
Pumpkaboo Average Size,LV17.5,3,6,5,520
Pumpkaboo Average Size,LV17.5,3,7,4,520
Pumpkaboo Average Size,LV17,3,7,12,520
Pumpkaboo Average Size,LV17.5,3,8,3,520
Pumpkaboo Average Size,LV17,3,8,11,520
Pumpkaboo Average Size,LV17.5,3,9,2,520
Pumpkaboo Average Size,LV17,3,9,10,520
Pumpkaboo Average Size,LV17.5,3,10,1,520
Pumpkaboo Average Size,LV17,3,10,9,520
Pumpkaboo Average Size,LV17.5,3,11,0,520
Pumpkaboo Average Size,LV17,3,11,8,520
Pumpkaboo Average Size,LV17,3,12,7,520
Pumpkaboo Average Size,LV17,3,13,6,520
Pumpkaboo Average Size,LV17,3,14,5,520
Pumpkaboo Average Size,LV16.5,3,15,12,520
Pumpkaboo Average Size,LV17.5,4,2,7,520
Pumpkaboo Average Size,LV17.5,4,3,6,520
Pumpkaboo Average Size,LV17.5,4,4,5,520
Pumpkaboo Average Size,LV17.5,4,5,4,520
Pumpkaboo Average Size,LV17,4,5,12,520
Pumpkaboo Average Size,LV17.5,4,6,3,520
Pumpkaboo Average Size,LV17,4,6,11,520
Pumpkaboo Average Size,LV17.5,4,7,2,520
Pumpkaboo Average Size,LV17,4,7,10,520
Pumpkaboo Average Size,LV17,4,8,9,520
Pumpkaboo Average Size,LV16.5,4,11,14,520
Pumpkaboo Average Size,LV16.5,4,12,13,520
Pumpkaboo Average Size,LV16.5,4,13,12,520
Pumpkaboo Average Size,LV16.5,4,14,11,520
Pumpkaboo Average Size,LV16.5,4,15,10,520
Pumpkaboo Average Size,LV17.5,5,0,7,520
Pumpkaboo Average Size,LV17.5,5,1,6,520
Pumpkaboo Average Size,LV17.5,5,2,5,520
Pumpkaboo Average Size,LV17.5,5,3,4,520
Pumpkaboo Average Size,LV17,5,3,12,520
Pumpkaboo Average Size,LV17.5,5,4,3,520
Pumpkaboo Average Size,LV17,5,4,11,520
Pumpkaboo Average Size,LV17,5,5,10,520
Pumpkaboo Average Size,LV17,5,6,9,520
Pumpkaboo Average Size,LV16.5,5,8,15,520
Pumpkaboo Average Size,LV16.5,5,9,14,520
