Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Qwilfish,LV10.5,0,0,2,520
Qwilfish,LV10.5,0,1,1,520
Qwilfish,LV10.5,0,2,0,520
Qwilfish,LV10,0,3,15,520
Qwilfish,LV10,0,4,14,520
Qwilfish,LV10,0,7,10,520
Qwilfish,LV10,0,8,9,520
Qwilfish,LV10,0,9,8,520
Qwilfish,LV10,0,10,7,520
Qwilfish,LV10,0,13,3,520
Qwilfish,LV10,0,14,2,520
Qwilfish,LV10,0,15,1,520
Qwilfish,LV10.5,1,0,0,520
Qwilfish,LV10,1,3,13,520
Qwilfish,LV10,1,4,12,520
Qwilfish,LV10,1,5,11,520
Qwilfish,LV10,1,7,8,520
Qwilfish,LV10,1,8,7,520
Qwilfish,LV10,1,9,6,520
Qwilfish,LV10,1,10,5,520
Qwilfish,LV10,1,11,4,520
Qwilfish,LV10,2,0,15,520
Qwilfish,LV10,2,1,14,520
Qwilfish,LV10,2,3,11,520
Qwilfish,LV10,2,4,10,520
Qwilfish,LV10,2,5,9,520
Qwilfish,LV10,2,9,4,520
Qwilfish,LV10,2,10,3,520
Qwilfish,LV10,2,11,2,520
Qwilfish,LV10,2,12,1,520
Qwilfish,LV10,2,13,0,520
Qwilfish,LV10,3,0,13,520
Qwilfish,LV10,3,1,12,520
Qwilfish,LV10,3,2,11,520
Qwilfish,LV10,3,4,8,520
Qwilfish,LV10,3,5,7,520
Qwilfish,LV10,3,6,6,520
Qwilfish,LV10,3,7,5,520
Qwilfish,LV10,3,10,1,520
Qwilfish,LV10,3,11,0,520
Qwilfish,LV9.5,3,14,15,520
Qwilfish,LV9.5,3,15,14,520
Qwilfish,LV10,4,0,11,520
Qwilfish,LV10,4,1,10,520
Qwilfish,LV10,4,2,9,520
Qwilfish,LV10,4,5,5,520
Qwilfish,LV10,4,6,4,520
Qwilfish,LV10,4,7,3,520
Qwilfish,LV10,4,8,2,520
Qwilfish,LV9.5,4,15,12,520
Qwilfish,LV10,5,1,8,520
Qwilfish,LV10,5,2,7,520
Qwilfish,LV10,5,3,6,520
Qwilfish,LV10,5,6,2,520
Qwilfish,LV10,5,7,1,520
Qwilfish,LV10,5,8,0,520
Qwilfish,LV9.5,5,11,15,520
Qwilfish,LV9.5,5,12,14,520
Qwilfish,LV9.5,5,13,13,520
