Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Raboot,LV11.5,0,0,15,520
Raboot,LV11.5,0,2,12,520
Raboot,LV11.5,0,3,11,520
Raboot,LV11.5,0,5,8,520
Raboot,LV11.5,0,6,7,520
Raboot,LV11.5,0,8,4,520
Raboot,LV11.5,0,9,3,520
Raboot,LV11.5,0,10,2,520
Raboot,LV11,0,13,13,520
Raboot,LV11,0,14,12,520
Raboot,LV11,0,15,11,520
Raboot,LV11.5,1,0,13,520
Raboot,LV11.5,1,2,10,520
Raboot,LV11.5,1,3,9,520
Raboot,LV11.5,1,5,6,520
Raboot,LV11.5,1,6,5,520
Raboot,LV11.5,1,9,1,520
Raboot,LV11.5,1,10,0,520
Raboot,LV11,1,10,15,520
Raboot,LV11,1,11,14,520
Raboot,LV11,1,13,11,520
Raboot,LV11,1,14,10,520
Raboot,LV11.5,2,0,11,520
Raboot,LV11.5,2,2,8,520
Raboot,LV11.5,2,3,7,520
Raboot,LV11.5,2,5,4,520
Raboot,LV11.5,2,6,3,520
Raboot,LV11,2,9,14,520
Raboot,LV11,2,10,13,520
Raboot,LV11,2,11,12,520
Raboot,LV11,2,13,9,520
Raboot,LV11,2,14,8,520
Raboot,LV11,2,15,7,520
Raboot,LV11.5,3,0,9,520
Raboot,LV11.5,3,2,6,520
Raboot,LV11.5,3,3,5,520
Raboot,LV11.5,3,5,2,520
Raboot,LV11.5,3,6,1,520
Raboot,LV11.5,3,7,0,520
Raboot,LV11,3,7,15,520
Raboot,LV11,3,9,12,520
Raboot,LV11,3,10,11,520
Raboot,LV11,3,13,7,520
Raboot,LV11,3,14,6,520
Raboot,LV11,3,15,5,520
Raboot,LV11.5,4,0,7,520
Raboot,LV11.5,4,2,4,520
Raboot,LV11.5,4,3,3,520
Raboot,LV11,4,6,14,520
Raboot,LV11,4,7,13,520
Raboot,LV11,4,9,10,520
Raboot,LV11,4,10,9,520
Raboot,LV11,4,11,8,520
Raboot,LV11,4,13,5,520
Raboot,LV11,4,14,4,520
Raboot,LV11,4,15,3,520
Raboot,LV11.5,5,0,5,520
Raboot,LV11.5,5,3,1,520
Raboot,LV11.5,5,4,0,520
Raboot,LV11,5,4,15,520
Raboot,LV11,5,6,12,520
Raboot,LV11,5,7,11,520
Raboot,LV11,5,9,8,520
Raboot,LV11,5,10,7,520
Raboot,LV11,5,11,6,520
Raboot,LV11,5,13,3,520
Raboot,LV11,5,14,2,520
Raboot,LV11,5,15,1,520
Raboot,LV11.5,6,0,3,520
Raboot,LV11.5,6,1,2,520
Raboot,LV11,6,3,14,520
Raboot,LV11,6,4,13,520
Raboot,LV11,6,6,10,520
Raboot,LV11,6,7,9,520
Raboot,LV11,6,9,6,520
Raboot,LV11,6,10,5,520
Raboot,LV11,6,11,4,520
Raboot,LV11,6,14,0,520
Raboot,LV10.5,6,15,15,520
Raboot,LV11.5,7,0,1,520
Raboot,LV11.5,7,1,0,520
Raboot,LV11,7,1,15,520
Raboot,LV11,7,3,12,520
Raboot,LV11,7,4,11,520
Raboot,LV11,7,6,8,520
Raboot,LV11,7,7,7,520
Raboot,LV11,7,10,3,520
Raboot,LV11,7,11,2,520
Raboot,LV11,7,12,1,520
Raboot,LV10.5,7,14,14,520
Raboot,LV10.5,7,15,13,520
Raboot,LV11,8,1,13,520
Raboot,LV11,8,3,10,520
Raboot,LV11,8,4,9,520
Raboot,LV11,8,6,6,520
Raboot,LV11,8,7,5,520
Raboot,LV11,8,8,4,520
Raboot,LV11,8,10,1,520
Raboot,LV11,8,11,0,520
Raboot,LV10.5,8,12,15,520
Raboot,LV10.5,8,14,12,520
Raboot,LV10.5,8,15,11,520
Raboot,LV11,9,1,11,520
Raboot,LV11,9,2,10,520
Raboot,LV11,9,4,7,520
Raboot,LV11,9,5,6,520
Raboot,LV11,9,7,3,520
Raboot,LV11,9,8,2,520
Raboot,LV10.5,9,10,15,520
Raboot,LV10.5,9,11,14,520
Raboot,LV10.5,9,12,13,520
Raboot,LV10.5,9,14,10,520
Raboot,LV10.5,9,15,9,520
Raboot,LV11,10,1,9,520
Raboot,LV11,10,2,8,520
Raboot,LV11,10,4,5,520
Raboot,LV11,10,5,4,520
Raboot,LV11,10,8,0,520
Raboot,LV10.5,10,10,13,520
Raboot,LV10.5,10,11,12,520
Raboot,LV10.5,10,12,11,520
Raboot,LV10.5,10,14,8,520
Raboot,LV10.5,10,15,7,520
Raboot,LV11,11,1,7,520
Raboot,LV11,11,2,6,520
Raboot,LV11,11,4,3,520
Raboot,LV11,11,5,2,520
Raboot,LV11,11,6,1,520
Raboot,LV10.5,11,7,15,520
Raboot,LV10.5,11,8,14,520
Raboot,LV10.5,11,9,13,520
Raboot,LV10.5,11,11,10,520
Raboot,LV10.5,11,12,9,520
Raboot,LV10.5,11,15,5,520
Raboot,LV11,12,0,7,520
Raboot,LV11,12,2,4,520
Raboot,LV11,12,3,3,520
Raboot,LV11,12,5,0,520
Raboot,LV10.5,12,6,15,520
Raboot,LV10.5,12,8,12,520
Raboot,LV10.5,12,9,11,520
Raboot,LV10.5,12,11,8,520
Raboot,LV10.5,12,12,7,520
Raboot,LV10.5,12,13,6,520
Raboot,LV10.5,12,15,3,520
Raboot,LV11,13,0,5,520
Raboot,LV11,13,2,2,520
Raboot,LV11,13,3,1,520
Raboot,LV10.5,13,5,14,520
Raboot,LV10.5,13,6,13,520
Raboot,LV10.5,13,8,10,520
Raboot,LV10.5,13,9,9,520
Raboot,LV10.5,13,12,5,520
Raboot,LV10.5,13,13,4,520
Raboot,LV11,14,0,3,520
Raboot,LV11,14,1,2,520
Raboot,LV10.5,14,3,15,520
Raboot,LV10.5,14,5,12,520
Raboot,LV10.5,14,6,11,520
Raboot,LV10.5,14,8,8,520
Raboot,LV10.5,14,9,7,520
Raboot,LV10.5,14,10,6,520
Raboot,LV10.5,14,12,3,520
Raboot,LV10.5,14,13,2,520
Raboot,LV10.5,14,14,1,520
Raboot,LV10.5,14,15,0,520
Raboot,LV11,15,0,1,520
Raboot,LV11,15,1,0,520
Raboot,LV10.5,15,3,13,520
Raboot,LV10.5,15,4,12,520
Raboot,LV10.5,15,6,9,520
Raboot,LV10.5,15,7,8,520
Raboot,LV10.5,15,9,5,520
Raboot,LV10.5,15,10,4,520
Raboot,LV10.5,15,11,3,520
Raboot,LV10.5,15,13,0,520
