Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Raichu,LV9.5,0,2,11,520
Raichu,LV9.5,0,3,10,520
Raichu,LV9.5,0,4,9,520
Raichu,LV9.5,0,5,8,520
Raichu,LV9.5,0,6,7,520
Raichu,LV9.5,0,7,6,520
Raichu,LV9.5,0,8,5,520
Raichu,LV9.5,0,9,4,520
Raichu,LV9.5,0,10,3,520
Raichu,LV9.5,0,11,2,520
Raichu,LV9.5,0,12,1,520
Raichu,LV9.5,0,13,0,520
Raichu,LV9.5,1,0,12,520
Raichu,LV9,1,15,15,520
Raichu,LV9.5,2,0,10,520
Raichu,LV9.5,2,1,9,520
Raichu,LV9.5,2,2,8,520
Raichu,LV9.5,2,3,7,520
Raichu,LV9.5,2,4,6,520
Raichu,LV9.5,2,5,5,520
Raichu,LV9.5,2,6,4,520
Raichu,LV9.5,2,7,3,520
Raichu,LV9.5,2,8,2,520
Raichu,LV9.5,2,9,1,520
Raichu,LV9.5,2,10,0,520
Raichu,LV9.5,3,1,7,520
Raichu,LV9.5,3,2,6,520
Raichu,LV9.5,3,3,5,520
Raichu,LV9.5,3,4,4,520
Raichu,LV9.5,3,5,3,520
Raichu,LV9.5,3,6,2,520
Raichu,LV9.5,3,7,1,520
Raichu,LV9.5,3,8,0,520
Raichu,LV9,3,12,15,520
Raichu,LV9,3,13,14,520
Raichu,LV9,3,14,13,520
Raichu,LV9.5,4,0,7,520
Raichu,LV9,4,10,15,520
Raichu,LV9,4,11,14,520
Raichu,LV9,4,12,13,520
Raichu,LV9,4,13,12,520
Raichu,LV9,4,14,11,520
Raichu,LV9,4,15,10,520
Raichu,LV9.5,5,0,5,520
Raichu,LV9.5,5,1,4,520
Raichu,LV9.5,5,2,3,520
Raichu,LV9.5,5,3,2,520
Raichu,LV9.5,5,4,1,520
Raichu,LV9.5,5,5,0,520
Raichu,LV9,5,13,10,520
Raichu,LV9,5,14,9,520
Raichu,LV9,6,7,15,520
Raichu,LV9,6,8,14,520
Raichu,LV9,6,9,13,520
Raichu,LV9,6,10,12,520
Raichu,LV9.5,7,0,2,520
Raichu,LV9.5,7,1,1,520
Raichu,LV9.5,7,2,0,520
Raichu,LV9,7,6,14,520
Raichu,LV9,7,7,13,520
Raichu,LV9,7,8,12,520
Raichu,LV9,7,9,11,520
Raichu,LV9,7,10,10,520
Raichu,LV9,7,11,9,520
Raichu,LV9,7,12,8,520
Raichu,LV9,7,13,7,520
Raichu,LV9,7,14,6,520
Raichu,LV9,7,15,5,520
Raichu,LV9,8,4,15,520
Raichu,LV9,9,2,15,520
Raichu,LV9,9,3,14,520
Raichu,LV9,9,4,13,520
Raichu,LV9,9,5,12,520
Raichu,LV9,9,6,11,520
Raichu,LV9,9,7,10,520
Raichu,LV9,9,8,9,520
Raichu,LV9,9,9,8,520
Raichu,LV9,9,10,7,520
Raichu,LV9,9,11,6,520
Raichu,LV9,9,12,5,520
Raichu,LV9,9,13,4,520
Raichu,LV9,9,14,3,520
Raichu,LV9,9,15,2,520
Raichu,LV9,10,1,15,520
Raichu,LV9,10,6,9,520
Raichu,LV9,10,7,8,520
Raichu,LV9,10,8,7,520
Raichu,LV9,10,9,6,520
Raichu,LV9,10,10,5,520
Raichu,LV9,10,11,4,520
Raichu,LV9,10,12,3,520
Raichu,LV9,10,13,2,520
Raichu,LV9,11,0,14,520
Raichu,LV9,11,1,13,520
Raichu,LV9,11,2,12,520
Raichu,LV9,11,3,11,520
Raichu,LV9,11,4,10,520
Raichu,LV9,11,5,9,520
Raichu,LV9,11,13,1,520
Raichu,LV9,11,14,0,520
Raichu,LV9,12,2,10,520
Raichu,LV9,12,3,9,520
Raichu,LV9,12,4,8,520
Raichu,LV9,12,5,7,520
Raichu,LV9,12,6,6,520
Raichu,LV9,12,7,5,520
Raichu,LV9,12,8,4,520
Raichu,LV9,12,9,3,520
Raichu,LV9,12,10,2,520
Raichu,LV9,12,11,1,520
Raichu,LV9,12,12,0,520
Raichu,LV9,13,0,11,520
Raichu,LV9,13,1,10,520
Raichu,LV9,13,2,9,520
Raichu,LV9,14,0,9,520
Raichu,LV9,14,1,8,520
Raichu,LV9,14,2,7,520
Raichu,LV9,14,3,6,520
Raichu,LV9,14,4,5,520
Raichu,LV9,14,5,4,520
Raichu,LV9,14,6,3,520
Raichu,LV9,14,7,2,520
Raichu,LV9,14,8,1,520
Raichu,LV9,14,9,0,520
Raichu,LV8.5,14,14,15,520
Raichu,LV8.5,14,15,14,520
Raichu,LV9,15,0,8,520
Raichu,LV8.5,15,12,15,520
Raichu,LV8.5,15,13,14,520
Raichu,LV8.5,15,14,13,520
Raichu,LV8.5,15,15,12,520
