Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Raikou,LV6,0,3,15,520
Raikou,LV6,0,6,11,520
Raikou,LV6,0,7,10,520
Raikou,LV6,0,8,9,520
Raikou,LV6,0,9,8,520
Raikou,LV6,0,10,7,520
Raikou,LV6,0,11,6,520
Raikou,LV6,0,12,5,520
Raikou,LV6,0,13,4,520
Raikou,LV6,0,14,3,520
Raikou,LV6,0,15,2,520
Raikou,LV6,1,1,15,520
Raikou,LV6,1,2,14,520
Raikou,LV6,1,3,13,520
Raikou,LV6,1,4,12,520
Raikou,LV6,1,5,11,520
Raikou,LV6,1,8,7,520
Raikou,LV6,1,9,6,520
Raikou,LV6,1,10,5,520
Raikou,LV6,1,11,4,520
Raikou,LV6,1,12,3,520
Raikou,LV6,1,13,2,520
Raikou,LV6,1,14,1,520
Raikou,LV6,1,15,0,520
Raikou,LV6,2,0,14,520
Raikou,LV6,2,1,13,520
Raikou,LV6,2,2,12,520
Raikou,LV6,2,3,11,520
Raikou,LV6,2,4,10,520
Raikou,LV6,2,5,9,520
Raikou,LV6,2,6,8,520
Raikou,LV6,2,7,7,520
Raikou,LV6,2,8,6,520
Raikou,LV6,2,9,5,520
Raikou,LV6,3,2,10,520
Raikou,LV6,3,3,9,520
Raikou,LV6,3,4,8,520
Raikou,LV6,3,5,7,520
Raikou,LV6,3,6,6,520
Raikou,LV6,3,7,5,520
Raikou,LV6,3,8,4,520
Raikou,LV6,3,9,3,520
Raikou,LV6,3,10,2,520
Raikou,LV6,3,11,1,520
Raikou,LV6,3,12,0,520
Raikou,LV6,4,0,11,520
Raikou,LV6,4,1,10,520
Raikou,LV6,4,4,6,520
Raikou,LV6,4,5,5,520
Raikou,LV6,4,6,4,520
Raikou,LV6,4,7,3,520
Raikou,LV6,4,8,2,520
Raikou,LV6,4,9,1,520
Raikou,LV6,4,10,0,520
Raikou,LV6,5,0,9,520
Raikou,LV6,5,1,8,520
Raikou,LV6,5,2,7,520
Raikou,LV6,5,3,6,520
Raikou,LV6,5,4,5,520
Raikou,LV6,6,0,7,520
Raikou,LV6,6,1,6,520
Raikou,LV6,6,2,5,520
Raikou,LV6,6,3,4,520
Raikou,LV6,6,4,3,520
Raikou,LV6,6,5,2,520
Raikou,LV6,6,6,1,520
Raikou,LV6,6,7,0,520
Raikou,LV6,7,2,3,520
Raikou,LV6,7,3,2,520
Raikou,LV6,7,4,1,520
Raikou,LV6,7,5,0,520
Raikou,LV6,8,0,4,520
Raikou,LV6,8,1,3,520
Raikou,LV6,8,2,2,520
Raikou,LV6,8,3,1,520
Raikou,LV6,9,0,2,520
Raikou,LV6,9,1,1,520
Raikou,LV6,9,2,0,520
