Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Revavroom,LV7,0,2,14,520
Revavroom,LV7,0,3,13,520
Revavroom,LV7,0,4,12,520
Revavroom,LV7,0,5,11,520
Revavroom,LV7,0,6,10,520
Revavroom,LV7,0,8,7,520
Revavroom,LV7,0,9,6,520
Revavroom,LV7,0,10,5,520
Revavroom,LV7,0,11,4,520
Revavroom,LV7,0,12,3,520
Revavroom,LV7,0,13,2,520
Revavroom,LV7,0,14,1,520
Revavroom,LV7,0,15,0,520
Revavroom,LV7,1,0,15,520
Revavroom,LV7,1,1,14,520
Revavroom,LV7,1,3,11,520
Revavroom,LV7,1,4,10,520
Revavroom,LV7,1,5,9,520
Revavroom,LV7,1,6,8,520
Revavroom,LV7,1,7,7,520
Revavroom,LV7,1,8,6,520
Revavroom,LV7,1,12,1,520
Revavroom,LV7,1,13,0,520
Revavroom,LV7,2,0,13,520
Revavroom,LV7,2,1,12,520
Revavroom,LV7,2,2,11,520
Revavroom,LV7,2,3,10,520
Revavroom,LV7,2,5,7,520
Revavroom,LV7,2,6,6,520
Revavroom,LV7,2,7,5,520
Revavroom,LV7,2,8,4,520
Revavroom,LV7,2,9,3,520
Revavroom,LV7,2,10,2,520
Revavroom,LV7,2,11,1,520
Revavroom,LV7,2,12,0,520
Revavroom,LV7,3,1,10,520
Revavroom,LV7,3,2,9,520
Revavroom,LV7,3,3,8,520
Revavroom,LV7,3,4,7,520
Revavroom,LV7,3,5,6,520
Revavroom,LV7,3,8,2,520
Revavroom,LV7,3,9,1,520
Revavroom,LV7,3,10,0,520
Revavroom,LV7,4,0,10,520
Revavroom,LV7,4,3,6,520
Revavroom,LV7,4,4,5,520
Revavroom,LV7,4,5,4,520
Revavroom,LV7,4,6,3,520
Revavroom,LV7,4,7,2,520
Revavroom,LV7,4,8,1,520
Revavroom,LV7,5,0,8,520
Revavroom,LV7,5,1,7,520
Revavroom,LV7,5,2,6,520
Revavroom,LV7,5,5,2,520
Revavroom,LV7,5,6,1,520
Revavroom,LV7,5,7,0,520
Revavroom,LV7,6,0,6,520
Revavroom,LV7,6,1,5,520
Revavroom,LV7,6,2,4,520
Revavroom,LV7,6,3,3,520
Revavroom,LV7,6,4,2,520
Revavroom,LV7,6,5,1,520
Revavroom,LV7,7,0,5,520
Revavroom,LV7,7,3,1,520
Revavroom,LV7,7,4,0,520
Revavroom,LV7,8,0,3,520
Revavroom,LV7,8,1,2,520
Revavroom,LV7,8,2,1,520
Revavroom,LV7,8,3,0,520
Revavroom,LV7,9,1,0,520
Revavroom,LV7,10,0,0,520
Revavroom,LV6.5,10,15,15,520
Revavroom,LV6.5,11,13,15,520
Revavroom,LV6.5,11,14,14,520
Revavroom,LV6.5,11,15,13,520
Revavroom,LV6.5,12,12,15,520
Revavroom,LV6.5,12,15,11,520
Revavroom,LV6.5,13,10,15,520
Revavroom,LV6.5,13,11,14,520
Revavroom,LV6.5,13,12,13,520
Revavroom,LV6.5,13,13,12,520
Revavroom,LV6.5,13,14,11,520
Revavroom,LV6.5,13,15,10,520
Revavroom,LV6.5,14,9,15,520
Revavroom,LV6.5,14,12,11,520
Revavroom,LV6.5,14,13,10,520
Revavroom,LV6.5,14,14,9,520
Revavroom,LV6.5,14,15,8,520
Revavroom,LV6.5,15,7,15,520
Revavroom,LV6.5,15,8,14,520
Revavroom,LV6.5,15,9,13,520
Revavroom,LV6.5,15,10,12,520
Revavroom,LV6.5,15,11,11,520
Revavroom,LV6.5,15,12,10,520
