Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Rhydon,LV6.5,0,4,15,520
Rhydon,LV6.5,0,5,14,520
Rhydon,LV6.5,0,6,12,520
Rhydon,LV6.5,0,7,11,520
Rhydon,LV6.5,0,8,10,520
Rhydon,LV6.5,0,9,8,520
Rhydon,LV6.5,0,10,7,520
Rhydon,LV6.5,0,11,6,520
Rhydon,LV6.5,0,12,4,520
Rhydon,LV6.5,0,13,3,520
Rhydon,LV6.5,0,14,2,520
Rhydon,LV6.5,0,15,0,520
Rhydon,LV6.5,1,3,14,520
Rhydon,LV6.5,1,4,13,520
Rhydon,LV6.5,1,6,10,520
Rhydon,LV6.5,1,7,9,520
Rhydon,LV6.5,1,8,7,520
Rhydon,LV6.5,1,9,6,520
Rhydon,LV6.5,1,10,5,520
Rhydon,LV6.5,1,11,3,520
Rhydon,LV6.5,1,12,2,520
Rhydon,LV6.5,1,13,1,520
Rhydon,LV6.5,1,14,0,520
Rhydon,LV6.5,2,1,15,520
Rhydon,LV6.5,2,3,12,520
Rhydon,LV6.5,2,4,11,520
Rhydon,LV6.5,2,5,9,520
Rhydon,LV6.5,2,6,8,520
Rhydon,LV6.5,2,7,7,520
Rhydon,LV6.5,2,8,5,520
Rhydon,LV6.5,2,9,4,520
Rhydon,LV6.5,2,10,3,520
Rhydon,LV6.5,2,11,1,520
Rhydon,LV6.5,2,12,0,520
Rhydon,LV6.5,3,0,14,520
Rhydon,LV6.5,3,1,13,520
Rhydon,LV6.5,3,2,11,520
Rhydon,LV6.5,3,3,10,520
Rhydon,LV6.5,3,5,7,520
Rhydon,LV6.5,3,6,6,520
Rhydon,LV6.5,3,7,4,520
Rhydon,LV6.5,3,8,3,520
Rhydon,LV6.5,3,9,2,520
Rhydon,LV6.5,4,0,12,520
Rhydon,LV6.5,4,1,11,520
Rhydon,LV6.5,4,2,9,520
Rhydon,LV6.5,4,3,8,520
Rhydon,LV6.5,4,4,6,520
Rhydon,LV6.5,4,5,5,520
Rhydon,LV6.5,4,6,4,520
Rhydon,LV6.5,4,7,2,520
Rhydon,LV6.5,4,8,1,520
Rhydon,LV6.5,4,9,0,520
Rhydon,LV6.5,5,0,10,520
Rhydon,LV6.5,5,1,8,520
Rhydon,LV6.5,5,2,7,520
Rhydon,LV6.5,5,3,6,520
Rhydon,LV6.5,5,4,4,520
Rhydon,LV6.5,5,5,3,520
Rhydon,LV6.5,5,6,2,520
Rhydon,LV6.5,5,7,0,520
Rhydon,LV6.5,6,0,8,520
Rhydon,LV6.5,6,1,6,520
Rhydon,LV6.5,6,2,5,520
Rhydon,LV6.5,6,3,4,520
Rhydon,LV6.5,6,4,2,520
Rhydon,LV6.5,6,5,1,520
Rhydon,LV6.5,7,0,6,520
Rhydon,LV6.5,7,1,4,520
Rhydon,LV6.5,7,2,3,520
Rhydon,LV6.5,7,4,0,520
Rhydon,LV6.5,8,1,2,520
Rhydon,LV6.5,8,2,1,520
Rhydon,LV6.5,9,1,0,520
Rhydon,LV6,13,15,15,520
Rhydon,LV6,14,14,14,520
Rhydon,LV6,14,15,13,520
Rhydon,LV6,15,12,15,520
Rhydon,LV6,15,13,14,520
Rhydon,LV6,15,14,12,520
Rhydon,LV6,15,15,11,520
