Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Rhyperior,LV5.5,0,10,15,520
Rhyperior,LV5.5,0,11,13,520
Rhyperior,LV5.5,0,12,12,520
Rhyperior,LV5.5,0,13,11,520
Rhyperior,LV5.5,0,14,10,520
Rhyperior,LV5.5,0,15,8,520
Rhyperior,LV5.5,1,8,15,520
Rhyperior,LV5.5,1,9,14,520
Rhyperior,LV5.5,1,10,13,520
Rhyperior,LV5.5,1,11,11,520
Rhyperior,LV5.5,1,12,10,520
Rhyperior,LV5.5,1,13,9,520
Rhyperior,LV5.5,1,14,7,520
Rhyperior,LV5.5,1,15,6,520
Rhyperior,LV5.5,2,7,14,520
Rhyperior,LV5.5,2,8,13,520
Rhyperior,LV5.5,2,9,12,520
Rhyperior,LV5.5,2,10,10,520
Rhyperior,LV5.5,2,11,9,520
Rhyperior,LV5.5,2,12,8,520
Rhyperior,LV5.5,2,13,7,520
Rhyperior,LV5.5,2,14,5,520
Rhyperior,LV5.5,2,15,4,520
Rhyperior,LV5.5,3,5,15,520
Rhyperior,LV5.5,3,6,14,520
Rhyperior,LV5.5,3,7,12,520
Rhyperior,LV5.5,3,8,11,520
Rhyperior,LV5.5,3,9,10,520
Rhyperior,LV5.5,3,10,8,520
Rhyperior,LV5.5,3,11,7,520
Rhyperior,LV5.5,3,12,6,520
Rhyperior,LV5.5,3,13,4,520
Rhyperior,LV5.5,3,14,3,520
Rhyperior,LV5.5,3,15,2,520
Rhyperior,LV5.5,4,4,14,520
Rhyperior,LV5.5,4,5,13,520
Rhyperior,LV5.5,4,6,11,520
Rhyperior,LV5.5,4,7,10,520
Rhyperior,LV5.5,4,8,9,520
Rhyperior,LV5.5,4,9,7,520
Rhyperior,LV5.5,4,10,6,520
Rhyperior,LV5.5,4,11,5,520
Rhyperior,LV5.5,4,12,4,520
Rhyperior,LV5.5,4,13,2,520
Rhyperior,LV5.5,4,14,1,520
Rhyperior,LV5.5,4,15,0,520
Rhyperior,LV5.5,5,2,15,520
Rhyperior,LV5.5,5,3,13,520
Rhyperior,LV5.5,5,4,12,520
Rhyperior,LV5.5,5,5,11,520
Rhyperior,LV5.5,5,6,9,520
Rhyperior,LV5.5,5,7,8,520
Rhyperior,LV5.5,5,8,7,520
Rhyperior,LV5.5,5,9,5,520
Rhyperior,LV5.5,5,10,4,520
Rhyperior,LV5.5,5,11,3,520
Rhyperior,LV5.5,5,12,2,520
Rhyperior,LV5.5,5,13,0,520
Rhyperior,LV5.5,6,0,15,520
Rhyperior,LV5.5,6,1,14,520
Rhyperior,LV5.5,6,2,13,520
Rhyperior,LV5.5,6,3,11,520
Rhyperior,LV5.5,6,4,10,520
Rhyperior,LV5.5,6,5,9,520
Rhyperior,LV5.5,6,6,7,520
Rhyperior,LV5.5,6,7,6,520
Rhyperior,LV5.5,6,8,5,520
Rhyperior,LV5.5,6,9,3,520
Rhyperior,LV5.5,6,10,2,520
Rhyperior,LV5.5,6,11,1,520
Rhyperior,LV5.5,6,12,0,520
Rhyperior,LV5.5,7,0,13,520
Rhyperior,LV5.5,7,1,12,520
Rhyperior,LV5.5,7,2,10,520
Rhyperior,LV5.5,7,3,9,520
Rhyperior,LV5.5,7,4,8,520
Rhyperior,LV5.5,7,5,6,520
Rhyperior,LV5.5,7,6,5,520
Rhyperior,LV5.5,7,7,4,520
Rhyperior,LV5.5,7,8,3,520
Rhyperior,LV5.5,7,9,1,520
Rhyperior,LV5.5,7,10,0,520
Rhyperior,LV5.5,8,0,11,520
Rhyperior,LV5.5,8,1,10,520
Rhyperior,LV5.5,8,2,8,520
Rhyperior,LV5.5,8,3,7,520
Rhyperior,LV5.5,8,4,6,520
Rhyperior,LV5.5,8,5,4,520
Rhyperior,LV5.5,8,6,3,520
Rhyperior,LV5.5,8,7,2,520
Rhyperior,LV5.5,9,0,9,520
Rhyperior,LV5.5,9,1,8,520
Rhyperior,LV5.5,9,2,6,520
Rhyperior,LV5.5,9,3,5,520
Rhyperior,LV5.5,9,4,4,520
Rhyperior,LV5.5,9,5,2,520
Rhyperior,LV5.5,9,6,1,520
Rhyperior,LV5.5,9,7,0,520
Rhyperior,LV5.5,10,0,7,520
Rhyperior,LV5.5,10,1,6,520
Rhyperior,LV5.5,10,2,4,520
Rhyperior,LV5.5,10,3,3,520
Rhyperior,LV5.5,10,4,2,520
Rhyperior,LV5.5,10,5,0,520
Rhyperior,LV5.5,11,0,5,520
Rhyperior,LV5.5,11,1,4,520
Rhyperior,LV5.5,11,2,2,520
Rhyperior,LV5.5,11,3,1,520
Rhyperior,LV5.5,11,4,0,520
Rhyperior,LV5.5,12,0,3,520
Rhyperior,LV5.5,12,1,2,520
Rhyperior,LV5.5,12,2,0,520
Rhyperior,LV5.5,13,0,1,520
Rhyperior,LV5.5,13,1,0,520
