Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Ribombee,LV9.5,0,3,7,520
Ribombee,LV9.5,0,4,6,520
Ribombee,LV9.5,0,5,5,520
Ribombee,LV9.5,0,6,4,520
Ribombee,LV9.5,0,7,3,520
Ribombee,LV9.5,0,8,2,520
Ribombee,LV9.5,0,9,1,520
Ribombee,LV9.5,0,10,0,520
Ribombee,LV9.5,1,0,9,520
Ribombee,LV9.5,1,1,8,520
Ribombee,LV9.5,1,2,7,520
Ribombee,LV9,1,12,15,520
Ribombee,LV9,1,13,14,520
Ribombee,LV9,1,14,13,520
Ribombee,LV9,1,15,12,520
Ribombee,LV9.5,2,0,7,520
Ribombee,LV9.5,2,1,6,520
Ribombee,LV9.5,2,2,5,520
Ribombee,LV9.5,2,3,4,520
Ribombee,LV9.5,2,4,3,520
Ribombee,LV9.5,2,5,2,520
Ribombee,LV9.5,2,6,1,520
Ribombee,LV9.5,2,7,0,520
Ribombee,LV9,2,11,14,520
Ribombee,LV9,2,12,13,520
Ribombee,LV9,2,13,12,520
Ribombee,LV9,2,14,11,520
Ribombee,LV9,2,15,10,520
Ribombee,LV9,3,9,15,520
Ribombee,LV9.5,4,0,4,520
Ribombee,LV9.5,4,1,3,520
Ribombee,LV9.5,4,2,2,520
Ribombee,LV9.5,4,3,1,520
Ribombee,LV9.5,4,4,0,520
Ribombee,LV9,4,7,15,520
Ribombee,LV9,4,8,14,520
Ribombee,LV9,4,9,13,520
Ribombee,LV9,4,10,12,520
Ribombee,LV9,4,11,11,520
Ribombee,LV9,4,12,10,520
Ribombee,LV9,4,13,9,520
Ribombee,LV9,4,14,8,520
Ribombee,LV9,4,15,7,520
Ribombee,LV9,5,6,15,520
Ribombee,LV9,5,11,9,520
Ribombee,LV9,5,12,8,520
Ribombee,LV9,5,13,7,520
Ribombee,LV9,5,14,6,520
Ribombee,LV9,5,15,5,520
Ribombee,LV9.5,6,0,1,520
Ribombee,LV9.5,6,1,0,520
Ribombee,LV9,6,4,15,520
Ribombee,LV9,6,5,14,520
Ribombee,LV9,6,6,13,520
Ribombee,LV9,6,7,12,520
Ribombee,LV9,6,8,11,520
Ribombee,LV9,6,9,10,520
Ribombee,LV9,6,10,9,520
Ribombee,LV9,7,3,15,520
Ribombee,LV9,7,7,10,520
Ribombee,LV9,7,8,9,520
Ribombee,LV9,7,9,8,520
Ribombee,LV9,7,10,7,520
Ribombee,LV9,7,11,6,520
Ribombee,LV9,7,12,5,520
Ribombee,LV9,7,13,4,520
Ribombee,LV9,7,14,3,520
Ribombee,LV9,7,15,2,520
Ribombee,LV9,8,2,14,520
Ribombee,LV9,8,3,13,520
Ribombee,LV9,8,4,12,520
Ribombee,LV9,8,5,11,520
Ribombee,LV9,8,6,10,520
Ribombee,LV9,8,7,9,520
Ribombee,LV9,9,0,15,520
Ribombee,LV9,9,1,14,520
Ribombee,LV9,9,5,9,520
Ribombee,LV9,9,6,8,520
Ribombee,LV9,9,7,7,520
Ribombee,LV9,9,8,6,520
Ribombee,LV9,9,9,5,520
Ribombee,LV9,9,10,4,520
Ribombee,LV9,9,11,3,520
Ribombee,LV9,9,12,2,520
Ribombee,LV9,9,13,1,520
Ribombee,LV9,9,14,0,520
Ribombee,LV9,10,0,13,520
Ribombee,LV9,10,1,12,520
Ribombee,LV9,10,2,11,520
Ribombee,LV9,10,3,10,520
Ribombee,LV9,10,4,9,520
Ribombee,LV9,10,5,8,520
Ribombee,LV9,11,3,8,520
Ribombee,LV9,11,4,7,520
Ribombee,LV9,11,5,6,520
Ribombee,LV9,11,6,5,520
Ribombee,LV9,11,7,4,520
Ribombee,LV9,11,8,3,520
Ribombee,LV9,11,9,2,520
Ribombee,LV9,11,10,1,520
Ribombee,LV9,11,11,0,520
Ribombee,LV9,12,0,10,520
Ribombee,LV9,12,1,9,520
Ribombee,LV9,12,2,8,520
Ribombee,LV9,12,3,7,520
Ribombee,LV8.5,12,14,15,520
Ribombee,LV8.5,12,15,14,520
Ribombee,LV9,13,2,6,520
Ribombee,LV9,13,3,5,520
Ribombee,LV9,13,4,4,520
Ribombee,LV9,13,5,3,520
Ribombee,LV9,13,6,2,520
Ribombee,LV9,13,7,1,520
Ribombee,LV9,13,8,0,520
Ribombee,LV9,14,0,7,520
Ribombee,LV9,14,1,6,520
Ribombee,LV9,14,2,5,520
Ribombee,LV9,14,3,4,520
Ribombee,LV8.5,14,11,15,520
Ribombee,LV8.5,14,12,14,520
Ribombee,LV8.5,14,13,13,520
Ribombee,LV8.5,14,14,12,520
Ribombee,LV8.5,14,15,11,520
Ribombee,LV9,15,2,3,520
Ribombee,LV9,15,3,2,520
Ribombee,LV9,15,4,1,520
Ribombee,LV9,15,5,0,520
