Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Rillaboom,LV6,2,15,15,520
Rillaboom,LV6,3,13,15,520
Rillaboom,LV6,3,14,14,520
Rillaboom,LV6,3,15,13,520
Rillaboom,LV6,4,12,15,520
Rillaboom,LV6,4,14,12,520
Rillaboom,LV6,4,15,11,520
Rillaboom,LV6,5,11,14,520
Rillaboom,LV6,5,12,13,520
Rillaboom,LV6,5,14,10,520
Rillaboom,LV6,5,15,9,520
Rillaboom,LV6,6,9,15,520
Rillaboom,LV6,6,10,14,520
Rillaboom,LV6,6,11,12,520
Rillaboom,LV6,6,12,11,520
Rillaboom,LV6,6,13,10,520
Rillaboom,LV6,6,14,8,520
Rillaboom,LV6,6,15,7,520
Rillaboom,LV6,7,8,14,520
Rillaboom,LV6,7,9,13,520
Rillaboom,LV6,7,10,12,520
Rillaboom,LV6,7,11,10,520
Rillaboom,LV6,7,12,9,520
Rillaboom,LV6,7,13,8,520
Rillaboom,LV6,7,14,6,520
Rillaboom,LV6,7,15,5,520
Rillaboom,LV6,8,6,15,520
Rillaboom,LV6,8,7,14,520
Rillaboom,LV6,8,8,12,520
Rillaboom,LV6,8,9,11,520
Rillaboom,LV6,8,10,10,520
Rillaboom,LV6,8,11,8,520
Rillaboom,LV6,8,12,7,520
Rillaboom,LV6,8,13,6,520
Rillaboom,LV6,8,15,3,520
Rillaboom,LV6,9,5,15,520
Rillaboom,LV6,9,6,13,520
Rillaboom,LV6,9,7,12,520
Rillaboom,LV6,9,9,9,520
Rillaboom,LV6,9,10,8,520
Rillaboom,LV6,9,12,5,520
Rillaboom,LV6,9,13,4,520
Rillaboom,LV6,9,14,3,520
Rillaboom,LV6,10,3,15,520
Rillaboom,LV6,10,4,14,520
Rillaboom,LV6,10,5,13,520
Rillaboom,LV6,10,6,11,520
Rillaboom,LV6,10,7,10,520
Rillaboom,LV6,10,8,9,520
Rillaboom,LV6,10,9,7,520
Rillaboom,LV6,10,10,6,520
Rillaboom,LV6,10,11,5,520
Rillaboom,LV6,10,12,3,520
Rillaboom,LV6,10,13,2,520
Rillaboom,LV6,10,14,1,520
Rillaboom,LV6,10,15,0,520
Rillaboom,LV6,11,2,15,520
Rillaboom,LV6,11,4,12,520
Rillaboom,LV6,11,5,11,520
Rillaboom,LV6,11,6,9,520
Rillaboom,LV6,11,7,8,520
Rillaboom,LV6,11,8,7,520
Rillaboom,LV6,11,9,5,520
Rillaboom,LV6,11,10,4,520
Rillaboom,LV6,11,11,3,520
Rillaboom,LV6,11,12,2,520
Rillaboom,LV6,11,13,0,520
Rillaboom,LV6,12,1,14,520
Rillaboom,LV6,12,2,13,520
Rillaboom,LV6,12,3,12,520
Rillaboom,LV6,12,4,10,520
Rillaboom,LV6,12,5,9,520
Rillaboom,LV6,12,7,6,520
Rillaboom,LV6,12,8,5,520
Rillaboom,LV6,12,9,4,520
Rillaboom,LV6,12,10,2,520
Rillaboom,LV6,12,11,1,520
Rillaboom,LV6,12,12,0,520
Rillaboom,LV6,13,0,14,520
Rillaboom,LV6,13,2,11,520
Rillaboom,LV6,13,3,10,520
Rillaboom,LV6,13,4,8,520
Rillaboom,LV6,13,5,7,520
Rillaboom,LV6,13,6,6,520
Rillaboom,LV6,13,7,4,520
Rillaboom,LV6,13,8,3,520
Rillaboom,LV6,13,9,2,520
Rillaboom,LV6,14,0,12,520
Rillaboom,LV6,14,1,11,520
Rillaboom,LV6,14,2,9,520
Rillaboom,LV6,14,3,8,520
Rillaboom,LV6,14,5,5,520
Rillaboom,LV6,14,6,4,520
Rillaboom,LV6,14,8,1,520
Rillaboom,LV6,14,9,0,520
Rillaboom,LV6,15,0,10,520
Rillaboom,LV6,15,1,9,520
Rillaboom,LV6,15,2,7,520
Rillaboom,LV6,15,3,6,520
Rillaboom,LV6,15,4,5,520
Rillaboom,LV6,15,5,3,520
Rillaboom,LV6,15,6,2,520
Rillaboom,LV6,15,7,1,520
