Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Roggenrola,LV18.5,0,1,7,520
Roggenrola,LV18,0,2,14,520
Roggenrola,LV18.5,0,3,4,520
Roggenrola,LV18,0,3,13,520
Roggenrola,LV18.5,0,4,3,520
Roggenrola,LV18,0,5,10,520
Roggenrola,LV18,0,7,7,520
Roggenrola,LV18,0,8,6,520
Roggenrola,LV17.5,0,8,15,520
Roggenrola,LV18,0,9,5,520
Roggenrola,LV17.5,0,10,12,520
Roggenrola,LV18,0,11,2,520
Roggenrola,LV17.5,0,11,11,520
Roggenrola,LV18,0,12,1,520
Roggenrola,LV18,0,13,0,520
Roggenrola,LV17.5,0,13,8,520
Roggenrola,LV17.5,0,14,7,520
Roggenrola,LV17.5,0,15,6,520
Roggenrola,LV17,0,15,15,520
Roggenrola,LV18.5,1,0,6,520
Roggenrola,LV18,1,1,13,520
Roggenrola,LV18.5,1,2,3,520
Roggenrola,LV18.5,1,3,2,520
Roggenrola,LV18,1,3,10,520
Roggenrola,LV18,1,4,9,520
Roggenrola,LV18,1,6,6,520
Roggenrola,LV17.5,1,6,15,520
Roggenrola,LV18,1,7,5,520
Roggenrola,LV17.5,1,8,12,520
Roggenrola,LV18,1,9,2,520
Roggenrola,LV17.5,1,9,11,520
Roggenrola,LV18,1,10,1,520
Roggenrola,LV18,1,11,0,520
Roggenrola,LV17.5,1,11,8,520
Roggenrola,LV17.5,1,12,7,520
Roggenrola,LV17.5,1,13,6,520
Roggenrola,LV17,1,13,15,520
Roggenrola,LV17,1,15,12,520
Roggenrola,LV18,2,0,12,520
Roggenrola,LV18.5,2,1,2,520
Roggenrola,LV18,2,2,9,520
Roggenrola,LV18,2,4,6,520
Roggenrola,LV17.5,2,4,15,520
Roggenrola,LV18,2,5,5,520
Roggenrola,LV17.5,2,6,12,520
Roggenrola,LV17.5,2,7,11,520
Roggenrola,LV18,2,8,1,520
Roggenrola,LV18,2,9,0,520
Roggenrola,LV17.5,2,10,7,520
Roggenrola,LV17.5,2,11,6,520
Roggenrola,LV17,2,11,15,520
Roggenrola,LV17.5,2,13,3,520
Roggenrola,LV17,2,13,12,520
Roggenrola,LV17.5,2,14,2,520
Roggenrola,LV17,2,14,11,520
Roggenrola,LV17.5,2,15,1,520
Roggenrola,LV18.5,3,0,1,520
Roggenrola,LV18,3,0,9,520
Roggenrola,LV18,3,1,8,520
Roggenrola,LV17.5,3,2,15,520
Roggenrola,LV18,3,3,5,520
Roggenrola,LV17.5,3,3,14,520
Roggenrola,LV18,3,4,4,520
Roggenrola,LV17.5,3,5,11,520
Roggenrola,LV18,3,6,1,520
Roggenrola,LV17.5,3,6,10,520
Roggenrola,LV18,3,7,0,520
Roggenrola,LV17.5,3,8,7,520
Roggenrola,LV17.5,3,9,6,520
Roggenrola,LV17,3,9,15,520
Roggenrola,LV17,3,11,12,520
Roggenrola,LV17.5,3,12,2,520
Roggenrola,LV17,3,12,11,520
Roggenrola,LV17.5,3,13,1,520
Roggenrola,LV17,3,15,7,520
Roggenrola,LV18,4,0,7,520
Roggenrola,LV17.5,4,1,14,520
Roggenrola,LV18,4,2,4,520
Roggenrola,LV17.5,4,2,13,520
Roggenrola,LV18,4,3,3,520
Roggenrola,LV17.5,4,4,10,520
Roggenrola,LV18,4,5,0,520
Roggenrola,LV17.5,4,6,7,520
Roggenrola,LV17.5,4,7,6,520
Roggenrola,LV17,4,7,15,520
Roggenrola,LV17.5,4,10,2,520
Roggenrola,LV17,4,10,11,520
Roggenrola,LV17.5,4,11,1,520
Roggenrola,LV17.5,4,12,0,520
Roggenrola,LV17,4,13,7,520
Roggenrola,LV17,4,14,6,520
Roggenrola,LV16.5,4,14,15,520
Roggenrola,LV17,4,15,5,520
Roggenrola,LV16.5,4,15,14,520
Roggenrola,LV17.5,5,0,13,520
Roggenrola,LV18,5,1,3,520
Roggenrola,LV17.5,5,2,10,520
Roggenrola,LV17.5,5,3,9,520
Roggenrola,LV17.5,5,5,6,520
Roggenrola,LV17,5,5,15,520
Roggenrola,LV17.5,5,6,5,520
Roggenrola,LV17,5,6,14,520
Roggenrola,LV17,5,8,11,520
Roggenrola,LV17.5,5,9,1,520
Roggenrola,LV17,5,9,10,520
Roggenrola,LV17.5,5,10,0,520
Roggenrola,LV17,5,11,7,520
Roggenrola,LV17,5,12,6,520
Roggenrola,LV17,5,13,5,520
Roggenrola,LV16.5,5,13,14,520
Roggenrola,LV16.5,5,14,13,520
Roggenrola,LV18,6,0,2,520
Roggenrola,LV17.5,6,1,9,520
Roggenrola,LV17.5,6,2,8,520
Roggenrola,LV17.5,6,4,5,520
Roggenrola,LV17,6,4,14,520
Roggenrola,LV17.5,6,5,4,520
Roggenrola,LV17,6,5,13,520
Roggenrola,LV17.5,6,7,1,520
Roggenrola,LV17,6,7,10,520
Roggenrola,LV17.5,6,8,0,520
Roggenrola,LV17,6,10,6,520
Roggenrola,LV17,6,11,5,520
Roggenrola,LV16.5,6,11,14,520
Roggenrola,LV16.5,6,12,13,520
Roggenrola,LV17,6,14,1,520
Roggenrola,LV16.5,6,14,10,520
Roggenrola,LV17,6,15,0,520
Roggenrola,LV16.5,6,15,9,520
Roggenrola,LV17.5,7,0,8,520
Roggenrola,LV17.5,7,1,7,520
Roggenrola,LV17.5,7,3,4,520
Roggenrola,LV17,7,3,13,520
Roggenrola,LV17.5,7,4,3,520
Roggenrola,LV17,7,5,10,520
Roggenrola,LV17.5,7,6,0,520
Roggenrola,LV17,7,6,9,520
Roggenrola,LV17,7,8,6,520
Roggenrola,LV17,7,9,5,520
Roggenrola,LV16.5,7,9,14,520
Roggenrola,LV17,7,10,4,520
Roggenrola,LV16.5,7,10,13,520
Roggenrola,LV17,7,12,1,520
Roggenrola,LV17,7,13,0,520
Roggenrola,LV16.5,7,13,9,520
Roggenrola,LV16.5,7,14,8,520
Roggenrola,LV17.5,8,0,6,520
Roggenrola,LV17,8,0,15,520
Roggenrola,LV17.5,8,2,3,520
Roggenrola,LV17,8,2,12,520
Roggenrola,LV17.5,8,3,2,520
Roggenrola,LV17,8,4,9,520
Roggenrola,LV17,8,5,8,520
Roggenrola,LV17,8,7,5,520
Roggenrola,LV17,8,8,4,520
Roggenrola,LV16.5,8,8,13,520
Roggenrola,LV16.5,8,9,12,520
Roggenrola,LV17,8,11,0,520
Roggenrola,LV16.5,8,11,9,520
Roggenrola,LV16.5,8,12,8,520
Roggenrola,LV16,8,14,15,520
Roggenrola,LV16.5,8,15,4,520
Roggenrola,LV16,8,15,14,520
Roggenrola,LV17.5,9,1,2,520
Roggenrola,LV17,9,1,11,520
Roggenrola,LV17.5,9,2,1,520
Roggenrola,LV17,9,3,8,520
Roggenrola,LV17,9,4,7,520
Roggenrola,LV16.5,9,5,15,520
Roggenrola,LV17,9,6,4,520
Roggenrola,LV17,9,7,3,520
Roggenrola,LV16.5,9,7,12,520
Roggenrola,LV16.5,9,10,8,520
Roggenrola,LV16.5,9,11,7,520
Roggenrola,LV16,9,12,15,520
Roggenrola,LV16,9,13,14,520
Roggenrola,LV16.5,9,14,3,520
Roggenrola,LV16.5,9,15,2,520
Roggenrola,LV16,9,15,11,520
Roggenrola,LV17.5,10,0,1,520
Roggenrola,LV17,10,0,10,520
Roggenrola,LV17.5,10,1,0,520
Roggenrola,LV17,10,2,7,520
Roggenrola,LV17,10,3,6,520
Roggenrola,LV16.5,10,3,15,520
Roggenrola,LV16.5,10,4,14,520
Roggenrola,LV17,10,5,3,520
Roggenrola,LV17,10,6,2,520
Roggenrola,LV16.5,10,6,11,520
Roggenrola,LV16.5,10,9,7,520
Roggenrola,LV16.5,10,10,6,520
Roggenrola,LV16,10,11,14,520
Roggenrola,LV16.5,10,12,3,520
Roggenrola,LV16,10,12,13,520
Roggenrola,LV16.5,10,13,2,520
Roggenrola,LV16.5,10,14,1,520
Roggenrola,LV16,10,14,10,520
Roggenrola,LV16,10,15,9,520
Roggenrola,LV17,11,1,6,520
Roggenrola,LV17,11,2,5,520
Roggenrola,LV16.5,11,2,14,520
Roggenrola,LV16.5,11,3,13,520
Roggenrola,LV17,11,4,2,520
Roggenrola,LV17,11,5,1,520
Roggenrola,LV16.5,11,5,10,520
Roggenrola,LV16.5,11,7,7,520
Roggenrola,LV16.5,11,8,6,520
Roggenrola,LV16,11,9,14,520
Roggenrola,LV16,11,10,13,520
Roggenrola,LV16.5,11,11,2,520
Roggenrola,LV16.5,11,12,1,520
Roggenrola,LV16.5,11,13,0,520
Roggenrola,LV16,11,13,9,520
