Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Rookidee,LV45,0,0,2,520
Rookidee,LV44,0,0,5,520
Rookidee,LV43,0,0,8,520
Rookidee,LV41.5,0,0,13,520
Rookidee,LV44.5,0,1,2,520
Rookidee,LV43.5,0,1,5,520
Rookidee,LV42.5,0,1,8,520
Rookidee,LV41.5,0,1,11,520
Rookidee,LV40.5,0,1,14,520
Rookidee,LV44.5,0,2,0,520
Rookidee,LV43.5,0,2,3,520
Rookidee,LV42.5,0,2,6,520
Rookidee,LV41.5,0,2,9,520
Rookidee,LV40,0,2,14,520
Rookidee,LV44,0,3,0,520
Rookidee,LV43,0,3,3,520
Rookidee,LV42,0,3,6,520
Rookidee,LV41,0,3,9,520
Rookidee,LV40,0,3,12,520
Rookidee,LV39.5,0,3,14,520
Rookidee,LV43,0,4,1,520
Rookidee,LV42,0,4,4,520
Rookidee,LV41,0,4,7,520
Rookidee,LV39.5,0,4,12,520
Rookidee,LV39,0,4,14,520
Rookidee,LV42.5,0,5,1,520
Rookidee,LV41.5,0,5,4,520
Rookidee,LV40.5,0,5,7,520
Rookidee,LV39,0,5,12,520
Rookidee,LV38.5,0,5,14,520
Rookidee,LV42,0,6,1,520
Rookidee,LV41,0,6,4,520
Rookidee,LV40,0,6,7,520
Rookidee,LV38,0,6,14,520
Rookidee,LV41,0,7,2,520
Rookidee,LV40,0,7,5,520
Rookidee,LV39.5,0,7,7,520
Rookidee,LV40.5,0,8,2,520
Rookidee,LV39,0,8,7,520
Rookidee,LV38.5,0,8,9,520
Rookidee,LV40,0,9,2,520
Rookidee,LV38.5,0,9,7,520
Rookidee,LV38,0,9,9,520
Rookidee,LV37.5,0,9,11,520
Rookidee,LV37,0,9,13,520
Rookidee,LV39.5,0,10,2,520
Rookidee,LV39,0,10,4,520
Rookidee,LV37,0,10,11,520
Rookidee,LV36.5,0,10,13,520
Rookidee,LV36,0,10,15,520
Rookidee,LV38.5,0,11,4,520
Rookidee,LV38,0,11,6,520
Rookidee,LV39,0,12,1,520
Rookidee,LV37.5,0,12,6,520
Rookidee,LV37,0,12,8,520
Rookidee,LV36.5,0,12,10,520
Rookidee,LV38.5,0,13,1,520
Rookidee,LV38,0,13,3,520
Rookidee,LV36.5,0,13,8,520
Rookidee,LV36,0,13,10,520
Rookidee,LV35.5,0,13,12,520
Rookidee,LV35,0,13,14,520
Rookidee,LV37.5,0,14,3,520
Rookidee,LV37,0,14,5,520
Rookidee,LV38,0,15,0,520
Rookidee,LV36.5,0,15,5,520
Rookidee,LV36,0,15,7,520
Rookidee,LV35.5,0,15,9,520
Rookidee,LV35,0,15,11,520
Rookidee,LV34.5,0,15,13,520
Rookidee,LV34,0,15,15,520
Rookidee,LV44.5,1,0,1,520
Rookidee,LV43.5,1,0,4,520
Rookidee,LV42.5,1,0,7,520
Rookidee,LV41.5,1,0,10,520
Rookidee,LV40.5,1,0,13,520
Rookidee,LV40,1,0,15,520
Rookidee,LV43.5,1,1,2,520
Rookidee,LV42.5,1,1,5,520
Rookidee,LV41.5,1,1,8,520
Rookidee,LV40,1,1,13,520
Rookidee,LV39.5,1,1,15,520
Rookidee,LV43,1,2,2,520
Rookidee,LV42,1,2,5,520
Rookidee,LV41,1,2,8,520
Rookidee,LV40,1,2,11,520
Rookidee,LV39.5,1,2,13,520
Rookidee,LV39,1,2,15,520
Rookidee,LV43,1,3,0,520
Rookidee,LV42,1,3,3,520
Rookidee,LV41,1,3,6,520
Rookidee,LV39.5,1,3,11,520
Rookidee,LV39,1,3,13,520
Rookidee,LV38.5,1,3,15,520
Rookidee,LV42.5,1,4,0,520
Rookidee,LV41.5,1,4,3,520
Rookidee,LV40.5,1,4,6,520
Rookidee,LV39,1,4,11,520
Rookidee,LV38.5,1,4,13,520
Rookidee,LV38,1,4,15,520
Rookidee,LV42,1,5,0,520
Rookidee,LV40,1,5,6,520
Rookidee,LV38.5,1,5,11,520
Rookidee,LV38,1,5,13,520
Rookidee,LV37.5,1,5,15,520
Rookidee,LV41,1,6,1,520
Rookidee,LV40,1,6,4,520
Rookidee,LV39.5,1,6,6,520
Rookidee,LV37.5,1,6,13,520
