Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Rotom Wash Rotom,LV8,0,0,13,520
Rotom Wash Rotom,LV8,0,1,12,520
Rotom Wash Rotom,LV8,0,3,11,520
Rotom Wash Rotom,LV8,0,4,10,520
Rotom Wash Rotom,LV8,0,6,9,520
Rotom Wash Rotom,LV8,0,9,7,520
Rotom Wash Rotom,LV8,0,11,6,520
Rotom Wash Rotom,LV8,0,12,5,520
Rotom Wash Rotom,LV8,0,14,4,520
Rotom Wash Rotom,LV8,1,1,11,520
Rotom Wash Rotom,LV8,1,2,10,520
Rotom Wash Rotom,LV8,1,4,9,520
Rotom Wash Rotom,LV8,1,5,8,520
Rotom Wash Rotom,LV8,1,7,7,520
Rotom Wash Rotom,LV8,1,8,6,520
Rotom Wash Rotom,LV8,1,10,5,520
Rotom Wash Rotom,LV8,1,12,4,520
Rotom Wash Rotom,LV8,1,13,3,520
Rotom Wash Rotom,LV8,1,15,2,520
Rotom Wash Rotom,LV8,2,0,10,520
Rotom Wash Rotom,LV8,2,3,8,520
Rotom Wash Rotom,LV8,2,5,7,520
Rotom Wash Rotom,LV8,2,6,6,520
Rotom Wash Rotom,LV8,2,8,5,520
Rotom Wash Rotom,LV8,2,9,4,520
Rotom Wash Rotom,LV8,2,11,3,520
Rotom Wash Rotom,LV8,2,13,2,520
Rotom Wash Rotom,LV8,2,14,1,520
Rotom Wash Rotom,LV8,3,1,8,520
Rotom Wash Rotom,LV8,3,4,6,520
Rotom Wash Rotom,LV8,3,6,5,520
Rotom Wash Rotom,LV8,3,7,4,520
Rotom Wash Rotom,LV8,3,9,3,520
Rotom Wash Rotom,LV8,3,10,2,520
Rotom Wash Rotom,LV8,3,12,1,520
Rotom Wash Rotom,LV8,3,14,0,520
Rotom Wash Rotom,LV8,4,0,7,520
Rotom Wash Rotom,LV8,4,2,6,520
Rotom Wash Rotom,LV8,4,5,4,520
Rotom Wash Rotom,LV8,4,7,3,520
Rotom Wash Rotom,LV8,4,8,2,520
Rotom Wash Rotom,LV8,4,10,1,520
Rotom Wash Rotom,LV8,4,12,0,520
Rotom Wash Rotom,LV8,5,0,6,520
Rotom Wash Rotom,LV8,5,1,5,520
Rotom Wash Rotom,LV8,5,3,4,520
Rotom Wash Rotom,LV8,5,6,2,520
Rotom Wash Rotom,LV8,5,8,1,520
Rotom Wash Rotom,LV8,5,9,0,520
Rotom Wash Rotom,LV8,6,1,4,520
Rotom Wash Rotom,LV8,6,2,3,520
Rotom Wash Rotom,LV8,6,4,2,520
Rotom Wash Rotom,LV8,6,7,0,520
Rotom Wash Rotom,LV7.5,6,15,15,520
Rotom Wash Rotom,LV8,7,0,3,520
Rotom Wash Rotom,LV8,7,2,2,520
Rotom Wash Rotom,LV8,7,3,1,520
Rotom Wash Rotom,LV8,7,5,0,520
Rotom Wash Rotom,LV7.5,7,13,15,520
Rotom Wash Rotom,LV8,8,0,2,520
Rotom Wash Rotom,LV8,8,1,1,520
Rotom Wash Rotom,LV8,8,3,0,520
Rotom Wash Rotom,LV7.5,8,11,15,520
Rotom Wash Rotom,LV7.5,8,12,14,520
Rotom Wash Rotom,LV7.5,8,14,13,520
Rotom Wash Rotom,LV7.5,8,15,12,520
Rotom Wash Rotom,LV8,9,1,0,520
Rotom Wash Rotom,LV7.5,9,9,15,520
Rotom Wash Rotom,LV7.5,9,10,14,520
Rotom Wash Rotom,LV7.5,9,12,13,520
Rotom Wash Rotom,LV7.5,9,13,12,520
Rotom Wash Rotom,LV7.5,9,15,11,520
Rotom Wash Rotom,LV7.5,10,8,14,520
Rotom Wash Rotom,LV7.5,10,11,12,520
Rotom Wash Rotom,LV7.5,10,13,11,520
Rotom Wash Rotom,LV7.5,10,14,10,520
Rotom Wash Rotom,LV7.5,11,4,15,520
Rotom Wash Rotom,LV7.5,11,6,14,520
Rotom Wash Rotom,LV7.5,11,7,13,520
Rotom Wash Rotom,LV7.5,11,9,12,520
Rotom Wash Rotom,LV7.5,11,12,10,520
Rotom Wash Rotom,LV7.5,11,14,9,520
Rotom Wash Rotom,LV7.5,11,15,8,520
Rotom Wash Rotom,LV7.5,12,2,15,520
Rotom Wash Rotom,LV7.5,12,4,14,520
Rotom Wash Rotom,LV7.5,12,5,13,520
Rotom Wash Rotom,LV7.5,12,7,12,520
Rotom Wash Rotom,LV7.5,12,8,11,520
Rotom Wash Rotom,LV7.5,12,10,10,520
Rotom Wash Rotom,LV7.5,12,11,9,520
Rotom Wash Rotom,LV7.5,12,13,8,520
Rotom Wash Rotom,LV7.5,12,15,7,520
Rotom Wash Rotom,LV7.5,13,0,15,520
Rotom Wash Rotom,LV7.5,13,2,14,520
Rotom Wash Rotom,LV7.5,13,3,13,520
Rotom Wash Rotom,LV7.5,13,5,12,520
Rotom Wash Rotom,LV7.5,13,6,11,520
Rotom Wash Rotom,LV7.5,13,8,10,520
Rotom Wash Rotom,LV7.5,13,9,9,520
Rotom Wash Rotom,LV7.5,13,11,8,520
Rotom Wash Rotom,LV7.5,13,14,6,520
Rotom Wash Rotom,LV7.5,14,0,14,520
Rotom Wash Rotom,LV7.5,14,1,13,520
Rotom Wash Rotom,LV7.5,14,3,12,520
