Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Rotom,LV10.5,0,1,4,520
Rotom,LV10.5,0,2,3,520
Rotom,LV10.5,0,3,2,520
Rotom,LV10.5,0,4,1,520
Rotom,LV10,0,8,12,520
Rotom,LV10,0,9,11,520
Rotom,LV10,0,10,10,520
Rotom,LV10,0,11,9,520
Rotom,LV10,0,12,8,520
Rotom,LV10,0,15,6,520
Rotom,LV10.5,1,0,3,520
Rotom,LV10.5,1,4,0,520
Rotom,LV10,1,4,14,520
Rotom,LV10,1,5,13,520
Rotom,LV10,1,6,12,520
Rotom,LV10,1,7,11,520
Rotom,LV10,1,8,10,520
Rotom,LV10,1,13,6,520
Rotom,LV10,1,14,5,520
Rotom,LV10,1,15,4,520
Rotom,LV10.5,2,1,1,520
Rotom,LV10,2,1,15,520
Rotom,LV10.5,2,2,0,520
Rotom,LV10,2,2,14,520
Rotom,LV10,2,3,13,520
Rotom,LV10,2,4,12,520
Rotom,LV10,2,5,11,520
Rotom,LV10,2,9,8,520
Rotom,LV10,2,10,7,520
Rotom,LV10,2,11,6,520
Rotom,LV10,2,12,5,520
Rotom,LV10,2,15,3,520
Rotom,LV10.5,3,0,0,520
Rotom,LV10,3,6,9,520
Rotom,LV10,3,7,8,520
Rotom,LV10,3,8,7,520
Rotom,LV10,3,9,6,520
Rotom,LV10,3,13,3,520
Rotom,LV10,3,14,2,520
Rotom,LV10,3,15,1,520
Rotom,LV10,4,1,12,520
Rotom,LV10,4,2,11,520
Rotom,LV10,4,3,10,520
Rotom,LV10,4,4,9,520
Rotom,LV10,4,5,8,520
Rotom,LV10,4,6,7,520
Rotom,LV10,4,10,4,520
Rotom,LV10,4,11,3,520
Rotom,LV10,4,12,2,520
Rotom,LV10,4,15,0,520
Rotom,LV10,5,0,11,520
Rotom,LV10,5,1,10,520
Rotom,LV10,5,6,6,520
Rotom,LV10,5,7,5,520
Rotom,LV10,5,8,4,520
Rotom,LV10,5,9,3,520
Rotom,LV10,5,13,0,520
Rotom,LV9.5,5,14,15,520
Rotom,LV9.5,5,15,14,520
Rotom,LV10,6,2,8,520
Rotom,LV10,6,3,7,520
Rotom,LV10,6,4,6,520
Rotom,LV10,6,5,5,520
Rotom,LV10,6,6,4,520
Rotom,LV10,6,10,1,520
Rotom,LV10,6,11,0,520
Rotom,LV9.5,6,12,15,520
Rotom,LV9.5,6,13,14,520
Rotom,LV9.5,6,14,13,520
Rotom,LV10,7,0,8,520
Rotom,LV10,7,1,7,520
Rotom,LV10,7,2,6,520
Rotom,LV10,7,6,3,520
Rotom,LV10,7,7,2,520
Rotom,LV10,7,8,1,520
Rotom,LV9.5,7,10,15,520
Rotom,LV9.5,7,11,14,520
Rotom,LV9.5,7,15,11,520
Rotom,LV10,8,2,5,520
Rotom,LV10,8,3,4,520
Rotom,LV10,8,4,3,520
Rotom,LV10,8,5,2,520
Rotom,LV9.5,8,12,12,520
Rotom,LV9.5,8,13,11,520
Rotom,LV9.5,8,14,10,520
Rotom,LV9.5,8,15,9,520
Rotom,LV10,9,0,5,520
Rotom,LV10,9,1,4,520
Rotom,LV10,9,5,1,520
Rotom,LV10,9,6,0,520
Rotom,LV9.5,9,8,14,520
Rotom,LV9.5,9,9,13,520
Rotom,LV9.5,9,10,12,520
Rotom,LV9.5,9,11,11,520
Rotom,LV9.5,9,12,10,520
Rotom,LV10,10,1,3,520
Rotom,LV10,10,2,2,520
Rotom,LV10,10,3,1,520
Rotom,LV10,10,4,0,520
Rotom,LV9.5,10,5,15,520
Rotom,LV9.5,10,6,14,520
Rotom,LV9.5,10,7,13,520
Rotom,LV9.5,10,8,12,520
Rotom,LV9.5,10,12,9,520
Rotom,LV9.5,10,13,8,520
Rotom,LV9.5,10,14,7,520
Rotom,LV9.5,10,15,6,520
Rotom,LV10,11,0,2,520
Rotom,LV9.5,11,3,15,520
Rotom,LV9.5,11,9,10,520
Rotom,LV9.5,11,10,9,520
Rotom,LV9.5,11,11,8,520
Rotom,LV9.5,11,12,7,520
Rotom,LV9.5,11,15,5,520
Rotom,LV10,12,0,1,520
Rotom,LV10,12,1,0,520
Rotom,LV9.5,12,3,14,520
Rotom,LV9.5,12,4,13,520
Rotom,LV9.5,12,5,12,520
Rotom,LV9.5,12,6,11,520
Rotom,LV9.5,12,7,10,520
Rotom,LV9.5,12,8,9,520
Rotom,LV9.5,12,12,6,520
Rotom,LV9.5,12,13,5,520
Rotom,LV9.5,12,14,4,520
Rotom,LV9.5,13,0,15,520
Rotom,LV9.5,13,1,14,520
Rotom,LV9.5,13,2,13,520
Rotom,LV9.5,13,3,12,520
Rotom,LV9.5,13,8,8,520
Rotom,LV9.5,13,9,7,520
Rotom,LV9.5,13,10,6,520
Rotom,LV9.5,13,11,5,520
Rotom,LV9.5,13,15,2,520
Rotom,LV9.5,14,3,11,520
Rotom,LV9.5,14,4,10,520
Rotom,LV9.5,14,5,9,520
Rotom,LV9.5,14,6,8,520
Rotom,LV9.5,14,7,7,520
Rotom,LV9.5,14,11,4,520
Rotom,LV9.5,14,12,3,520
Rotom,LV9.5,14,13,2,520
Rotom,LV9.5,15,0,12,520
Rotom,LV9.5,15,1,11,520
Rotom,LV9.5,15,2,10,520
Rotom,LV9.5,15,3,9,520
Rotom,LV9.5,15,8,5,520
Rotom,LV9.5,15,9,4,520
Rotom,LV9.5,15,10,3,520
Rotom,LV9.5,15,13,1,520
Rotom,LV9.5,15,14,0,520
