Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sableye Mega Sableye,LV11,0,1,5,520
Sableye Mega Sableye,LV11,0,3,4,520
Sableye Mega Sableye,LV11,0,4,3,520
Sableye Mega Sableye,LV11,0,6,2,520
Sableye Mega Sableye,LV11,0,7,1,520
Sableye Mega Sableye,LV10.5,0,8,14,520
Sableye Mega Sableye,LV11,0,9,0,520
Sableye Mega Sableye,LV10.5,0,11,12,520
Sableye Mega Sableye,LV10.5,0,14,10,520
Sableye Mega Sableye,LV11,1,0,4,520
Sableye Mega Sableye,LV11,1,1,3,520
Sableye Mega Sableye,LV11,1,3,2,520
Sableye Mega Sableye,LV11,1,4,1,520
Sableye Mega Sableye,LV10.5,1,4,15,520
Sableye Mega Sableye,LV10.5,1,5,14,520
Sableye Mega Sableye,LV11,1,6,0,520
Sableye Mega Sableye,LV10.5,1,8,12,520
Sableye Mega Sableye,LV10.5,1,11,10,520
Sableye Mega Sableye,LV10.5,1,13,9,520
Sableye Mega Sableye,LV10.5,1,14,8,520
Sableye Mega Sableye,LV11,2,0,2,520
Sableye Mega Sableye,LV10.5,2,1,15,520
Sableye Mega Sableye,LV10.5,2,2,14,520
Sableye Mega Sableye,LV11,2,3,0,520
Sableye Mega Sableye,LV10.5,2,4,13,520
Sableye Mega Sableye,LV10.5,2,5,12,520
Sableye Mega Sableye,LV10.5,2,7,11,520
Sableye Mega Sableye,LV10.5,2,8,10,520
Sableye Mega Sableye,LV10.5,2,10,9,520
Sableye Mega Sableye,LV10.5,2,11,8,520
Sableye Mega Sableye,LV10.5,2,13,7,520
Sableye Mega Sableye,LV10.5,2,14,6,520
Sableye Mega Sableye,LV11,3,0,0,520
Sableye Mega Sableye,LV10.5,3,1,13,520
Sableye Mega Sableye,LV10.5,3,2,12,520
Sableye Mega Sableye,LV10.5,3,4,11,520
Sableye Mega Sableye,LV10.5,3,5,10,520
Sableye Mega Sableye,LV10.5,3,7,9,520
Sableye Mega Sableye,LV10.5,3,8,8,520
Sableye Mega Sableye,LV10.5,3,10,7,520
Sableye Mega Sableye,LV10.5,3,11,6,520
Sableye Mega Sableye,LV10.5,3,13,5,520
Sableye Mega Sableye,LV10.5,3,15,4,520
Sableye Mega Sableye,LV10.5,4,1,11,520
Sableye Mega Sableye,LV10.5,4,2,10,520
Sableye Mega Sableye,LV10.5,4,4,9,520
Sableye Mega Sableye,LV10.5,4,5,8,520
Sableye Mega Sableye,LV10.5,4,7,7,520
Sableye Mega Sableye,LV10.5,4,10,5,520
Sableye Mega Sableye,LV10.5,4,12,4,520
Sableye Mega Sableye,LV10.5,4,13,3,520
Sableye Mega Sableye,LV10.5,4,15,2,520
Sableye Mega Sableye,LV10.5,5,1,9,520
Sableye Mega Sableye,LV10.5,5,4,7,520
Sableye Mega Sableye,LV10.5,5,6,6,520
Sableye Mega Sableye,LV10.5,5,7,5,520
Sableye Mega Sableye,LV10.5,5,9,4,520
Sableye Mega Sableye,LV10.5,5,10,3,520
Sableye Mega Sableye,LV10.5,5,12,2,520
Sableye Mega Sableye,LV10.5,5,14,1,520
Sableye Mega Sableye,LV10,5,14,15,520
Sableye Mega Sableye,LV10.5,5,15,0,520
Sableye Mega Sableye,LV10,5,15,14,520
Sableye Mega Sableye,LV10.5,6,0,8,520
Sableye Mega Sableye,LV10.5,6,1,7,520
Sableye Mega Sableye,LV10.5,6,3,6,520
Sableye Mega Sableye,LV10.5,6,4,5,520
Sableye Mega Sableye,LV10.5,6,6,4,520
Sableye Mega Sableye,LV10.5,6,9,2,520
Sableye Mega Sableye,LV10.5,6,11,1,520
Sableye Mega Sableye,LV10,6,11,15,520
Sableye Mega Sableye,LV10.5,6,12,0,520
Sableye Mega Sableye,LV10,6,12,14,520
Sableye Mega Sableye,LV10,6,14,13,520
Sableye Mega Sableye,LV10.5,7,0,6,520
Sableye Mega Sableye,LV10.5,7,3,4,520
Sableye Mega Sableye,LV10.5,7,5,3,520
Sableye Mega Sableye,LV10.5,7,6,2,520
Sableye Mega Sableye,LV10.5,7,8,1,520
Sableye Mega Sableye,LV10,7,8,15,520
Sableye Mega Sableye,LV10,7,11,13,520
Sableye Mega Sableye,LV10,7,13,12,520
Sableye Mega Sableye,LV10,7,14,11,520
Sableye Mega Sableye,LV10.5,8,0,4,520
Sableye Mega Sableye,LV10.5,8,2,3,520
Sableye Mega Sableye,LV10.5,8,5,1,520
Sableye Mega Sableye,LV10,8,5,15,520
Sableye Mega Sableye,LV10.5,8,7,0,520
Sableye Mega Sableye,LV10,8,7,14,520
