Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sableye,LV15,0,0,3,520
Sableye,LV15,0,1,2,520
Sableye,LV15,0,2,1,520
Sableye,LV15,0,3,0,520
Sableye,LV15,1,0,1,520
Sableye,LV15,1,1,0,520
Sableye,LV13.5,2,14,15,520
Sableye,LV13.5,2,15,14,520
Sableye,LV13.5,3,12,15,520
Sableye,LV13.5,3,13,14,520
Sableye,LV13.5,3,14,13,520
Sableye,LV13.5,3,15,12,520
Sableye,LV14,4,0,15,520
Sableye,LV13.5,4,10,15,520
Sableye,LV13.5,4,11,14,520
Sableye,LV13.5,4,12,13,520
Sableye,LV13.5,4,13,12,520
Sableye,LV13.5,4,14,11,520
Sableye,LV13.5,4,15,10,520
Sableye,LV13.5,5,8,15,520
Sableye,LV13.5,5,9,14,520
Sableye,LV13.5,5,10,13,520
Sableye,LV13.5,5,11,12,520
Sableye,LV13.5,5,12,11,520
Sableye,LV13.5,5,13,10,520
Sableye,LV13.5,5,14,9,520
Sableye,LV13.5,5,15,8,520
Sableye,LV13.5,6,6,15,520
Sableye,LV13.5,6,7,14,520
Sableye,LV13.5,6,8,13,520
Sableye,LV13.5,6,9,12,520
Sableye,LV13.5,6,10,11,520
Sableye,LV13.5,6,11,10,520
Sableye,LV13.5,6,12,9,520
Sableye,LV13.5,6,13,8,520
Sableye,LV13.5,6,14,7,520
Sableye,LV13.5,6,15,6,520
Sableye,LV13.5,7,4,15,520
Sableye,LV13.5,7,5,14,520
Sableye,LV13.5,7,6,13,520
Sableye,LV13.5,7,7,12,520
Sableye,LV13.5,7,8,11,520
Sableye,LV13.5,7,9,10,520
Sableye,LV13.5,7,10,9,520
Sableye,LV13.5,7,11,8,520
Sableye,LV13.5,7,12,7,520
Sableye,LV13.5,7,13,6,520
Sableye,LV13.5,7,14,5,520
Sableye,LV13.5,7,15,4,520
Sableye,LV13,7,15,15,520
Sableye,LV14,8,0,7,520
Sableye,LV13.5,8,3,14,520
Sableye,LV13.5,8,4,13,520
Sableye,LV13.5,8,5,12,520
Sableye,LV13.5,8,6,11,520
Sableye,LV13.5,8,7,10,520
Sableye,LV13.5,8,8,9,520
Sableye,LV13.5,8,9,8,520
Sableye,LV13.5,8,10,7,520
Sableye,LV13.5,8,11,6,520
Sableye,LV13.5,8,12,5,520
Sableye,LV13.5,8,13,4,520
Sableye,LV13,8,13,15,520
Sableye,LV13.5,8,14,3,520
Sableye,LV13,8,14,14,520
Sableye,LV13.5,8,15,2,520
Sableye,LV13,8,15,13,520
Sableye,LV14,9,0,5,520
Sableye,LV14,9,1,4,520
Sableye,LV14,9,2,3,520
Sableye,LV14,9,3,2,520
Sableye,LV13.5,9,3,12,520
Sableye,LV14,9,4,1,520
Sableye,LV13.5,9,4,11,520
Sableye,LV14,9,5,0,520
Sableye,LV13.5,9,5,10,520
Sableye,LV13.5,9,6,9,520
Sableye,LV13.5,9,7,8,520
Sableye,LV13.5,9,8,7,520
Sableye,LV13.5,9,9,6,520
Sableye,LV13.5,9,10,5,520
Sableye,LV13.5,9,11,4,520
Sableye,LV13,9,11,15,520
Sableye,LV13.5,9,12,3,520
Sableye,LV13,9,12,14,520
Sableye,LV13.5,9,13,2,520
Sableye,LV13,9,13,13,520
Sableye,LV13,9,14,12,520
Sableye,LV13,9,15,11,520
Sableye,LV14,10,0,3,520
Sableye,LV14,10,1,2,520
Sableye,LV14,10,2,1,520
Sableye,LV14,10,3,0,520
Sableye,LV13.5,10,3,10,520
Sableye,LV13.5,10,4,9,520
Sableye,LV13.5,10,5,8,520
Sableye,LV13.5,10,6,7,520
Sableye,LV13.5,10,7,6,520
Sableye,LV13.5,10,8,5,520
Sableye,LV13.5,10,9,4,520
Sableye,LV13,10,9,15,520
Sableye,LV13.5,10,10,3,520
Sableye,LV13,10,10,14,520
Sableye,LV13.5,10,11,2,520
Sableye,LV13,10,11,13,520
Sableye,LV13,10,12,12,520
Sableye,LV13,10,13,11,520
Sableye,LV13,10,14,10,520
Sableye,LV13,10,15,9,520
Sableye,LV14,11,0,1,520
Sableye,LV14,11,1,0,520
Sableye,LV13.5,11,5,6,520
Sableye,LV13.5,11,6,5,520
Sableye,LV13.5,11,7,4,520
Sableye,LV13,11,8,14,520
Sableye,LV13,11,9,13,520
Sableye,LV13,11,10,12,520
Sableye,LV13,11,11,11,520
Sableye,LV13,11,12,10,520
Sableye,LV13,11,13,9,520
Sableye,LV13,11,14,8,520
Sableye,LV13,11,15,7,520
Sableye,LV13,12,9,11,520
Sableye,LV13,12,10,10,520
Sableye,LV13,12,11,9,520
Sableye,LV13,12,12,8,520
Sableye,LV12.5,13,15,15,520
Sableye,LV13.5,14,0,6,520
Sableye,LV13.5,14,1,5,520
Sableye,LV13.5,14,2,4,520
Sableye,LV13,14,2,15,520
Sableye,LV13.5,14,3,3,520
Sableye,LV13.5,14,4,2,520
Sableye,LV13.5,14,5,1,520
Sableye,LV13.5,14,6,0,520
Sableye,LV12.5,14,13,15,520
Sableye,LV12.5,14,14,14,520
Sableye,LV12.5,14,15,13,520
Sableye,LV13.5,15,0,4,520
Sableye,LV13,15,0,15,520
Sableye,LV13.5,15,1,3,520
Sableye,LV13,15,1,14,520
Sableye,LV13.5,15,2,2,520
Sableye,LV13,15,2,13,520
Sableye,LV13.5,15,3,1,520
Sableye,LV13,15,3,12,520
Sableye,LV13.5,15,4,0,520
Sableye,LV12.5,15,11,15,520
Sableye,LV12.5,15,12,14,520
Sableye,LV13,15,13,2,520
Sableye,LV12.5,15,13,13,520
Sableye,LV13,15,14,1,520
Sableye,LV12.5,15,14,12,520
Sableye,LV13,15,15,0,520
Sableye,LV12.5,15,15,11,520
