Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Salamence Mega Salamence,LV4,11,15,15,520
Salamence Mega Salamence,LV4,12,14,15,520
Salamence Mega Salamence,LV4,12,15,14,520
Salamence Mega Salamence,LV4,13,12,15,520
Salamence Mega Salamence,LV4,13,13,14,520
Salamence Mega Salamence,LV4,13,14,13,520
Salamence Mega Salamence,LV4,13,15,12,520
Salamence Mega Salamence,LV4,14,10,15,520
Salamence Mega Salamence,LV4,14,11,14,520
Salamence Mega Salamence,LV4,14,13,13,520
Salamence Mega Salamence,LV4,14,14,12,520
Salamence Mega Salamence,LV4,14,15,11,520
Salamence Mega Salamence,LV4,15,9,15,520
Salamence Mega Salamence,LV4,15,10,14,520
Salamence Mega Salamence,LV4,15,11,13,520
Salamence Mega Salamence,LV4,15,12,12,520
Salamence Mega Salamence,LV4,15,13,11,520
Salamence Mega Salamence,LV4,15,14,10,520
