Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Salazzle,LV8.5,0,1,7,520
Salazzle,LV8.5,0,2,6,520
Salazzle,LV8.5,0,5,2,520
Salazzle,LV8.5,0,6,1,520
Salazzle,LV8,0,13,15,520
Salazzle,LV8,0,15,12,520
Salazzle,LV8.5,1,0,7,520
Salazzle,LV8.5,1,1,6,520
Salazzle,LV8.5,1,3,3,520
Salazzle,LV8.5,1,4,2,520
Salazzle,LV8,1,13,13,520
Salazzle,LV8,1,14,12,520
Salazzle,LV8,1,15,11,520
Salazzle,LV8.5,2,1,4,520
Salazzle,LV8.5,2,2,3,520
Salazzle,LV8,2,11,14,520
Salazzle,LV8,2,12,13,520
Salazzle,LV8,2,15,9,520
Salazzle,LV8.5,3,0,4,520
Salazzle,LV8.5,3,1,3,520
Salazzle,LV8.5,3,3,0,520
Salazzle,LV8,3,9,15,520
Salazzle,LV8,3,10,14,520
Salazzle,LV8,3,13,10,520
Salazzle,LV8,3,14,9,520
Salazzle,LV8.5,4,1,1,520
Salazzle,LV8.5,4,2,0,520
Salazzle,LV8,4,8,15,520
Salazzle,LV8,4,9,14,520
Salazzle,LV8,4,11,11,520
Salazzle,LV8,4,12,10,520
Salazzle,LV8,4,14,7,520
Salazzle,LV8,4,15,6,520
Salazzle,LV8.5,5,0,1,520
Salazzle,LV8.5,5,1,0,520
Salazzle,LV8,5,7,15,520
Salazzle,LV8,5,9,12,520
Salazzle,LV8,5,10,11,520
Salazzle,LV8,5,12,8,520
Salazzle,LV8,5,13,7,520
Salazzle,LV8,5,14,6,520
Salazzle,LV8,6,7,13,520
Salazzle,LV8,6,8,12,520
Salazzle,LV8,6,10,9,520
Salazzle,LV8,6,11,8,520
Salazzle,LV8,6,12,7,520
Salazzle,LV8,6,14,4,520
Salazzle,LV8,6,15,3,520
Salazzle,LV8,7,5,14,520
Salazzle,LV8,7,6,13,520
Salazzle,LV8,7,8,10,520
Salazzle,LV8,7,9,9,520
Salazzle,LV8,7,10,8,520
Salazzle,LV8,7,12,5,520
Salazzle,LV8,7,13,4,520
Salazzle,LV8,7,14,3,520
Salazzle,LV8,8,4,14,520
Salazzle,LV8,8,5,13,520
Salazzle,LV8,8,7,10,520
Salazzle,LV8,8,8,9,520
Salazzle,LV8,8,10,6,520
Salazzle,LV8,8,11,5,520
Salazzle,LV8,8,12,4,520
Salazzle,LV8,8,15,0,520
Salazzle,LV8,9,2,15,520
Salazzle,LV8,9,3,14,520
Salazzle,LV8,9,5,11,520
Salazzle,LV8,9,6,10,520
Salazzle,LV8,9,8,7,520
Salazzle,LV8,9,9,6,520
Salazzle,LV8,9,10,5,520
Salazzle,LV8,9,13,1,520
Salazzle,LV8,9,14,0,520
Salazzle,LV8,10,1,15,520
Salazzle,LV8,10,2,14,520
Salazzle,LV8,10,4,11,520
Salazzle,LV8,10,5,10,520
Salazzle,LV8,10,7,7,520
Salazzle,LV8,10,8,6,520
Salazzle,LV8,10,10,3,520
Salazzle,LV8,10,11,2,520
Salazzle,LV8,10,12,1,520
Salazzle,LV8,10,13,0,520
Salazzle,LV8,11,0,15,520
Salazzle,LV8,11,2,12,520
Salazzle,LV8,11,3,11,520
Salazzle,LV8,11,5,8,520
Salazzle,LV8,11,6,7,520
Salazzle,LV8,11,9,3,520
Salazzle,LV8,11,10,2,520
Salazzle,LV8,12,1,12,520
Salazzle,LV8,12,2,11,520
Salazzle,LV8,12,4,8,520
Salazzle,LV8,12,5,7,520
Salazzle,LV8,12,7,4,520
Salazzle,LV8,12,8,3,520
Salazzle,LV8,12,9,2,520
Salazzle,LV8,13,0,12,520
Salazzle,LV8,13,2,9,520
Salazzle,LV8,13,3,8,520
Salazzle,LV8,13,5,5,520
Salazzle,LV8,13,6,4,520
Salazzle,LV8,13,7,3,520
Salazzle,LV8,13,9,0,520
Salazzle,LV8,14,1,9,520
Salazzle,LV8,14,2,8,520
Salazzle,LV8,14,4,5,520
Salazzle,LV8,14,5,4,520
Salazzle,LV8,14,7,1,520
Salazzle,LV8,14,8,0,520
Salazzle,LV8,15,0,9,520
Salazzle,LV8,15,1,8,520
Salazzle,LV8,15,2,6,520
Salazzle,LV8,15,3,5,520
Salazzle,LV8,15,4,4,520
Salazzle,LV8,15,6,1,520
Salazzle,LV8,15,7,0,520
Salazzle,LV7.5,15,15,14,520
