Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sandslash,LV9,0,1,1,520
Sandslash,LV9,0,2,0,520
Sandslash,LV8.5,0,10,15,520
Sandslash,LV8.5,0,11,14,520
Sandslash,LV8.5,0,12,13,520
Sandslash,LV8.5,0,13,12,520
Sandslash,LV8.5,0,14,11,520
Sandslash,LV8.5,0,15,10,520
Sandslash,LV8.5,1,8,15,520
Sandslash,LV8.5,1,9,14,520
Sandslash,LV8.5,1,10,13,520
Sandslash,LV8.5,1,11,12,520
Sandslash,LV8.5,1,12,11,520
Sandslash,LV8.5,1,13,10,520
Sandslash,LV8.5,1,14,9,520
Sandslash,LV8.5,1,15,8,520
Sandslash,LV8.5,2,6,15,520
Sandslash,LV8.5,2,7,14,520
Sandslash,LV8.5,2,8,13,520
Sandslash,LV8.5,2,9,12,520
Sandslash,LV8.5,2,10,11,520
Sandslash,LV8.5,3,4,15,520
Sandslash,LV8.5,3,5,14,520
Sandslash,LV8.5,3,6,13,520
Sandslash,LV8.5,3,7,12,520
Sandslash,LV8.5,3,8,11,520
Sandslash,LV8.5,4,2,15,520
Sandslash,LV8.5,4,3,14,520
Sandslash,LV8.5,4,4,13,520
Sandslash,LV8.5,4,5,12,520
Sandslash,LV8.5,4,6,11,520
Sandslash,LV8.5,4,7,10,520
Sandslash,LV8.5,5,0,15,520
Sandslash,LV8.5,5,1,14,520
Sandslash,LV8.5,5,2,13,520
Sandslash,LV8.5,5,3,12,520
Sandslash,LV8.5,5,4,11,520
Sandslash,LV8.5,5,5,10,520
Sandslash,LV8.5,5,6,9,520
Sandslash,LV8.5,5,15,0,520
Sandslash,LV8.5,6,0,13,520
Sandslash,LV8.5,6,1,12,520
Sandslash,LV8.5,6,2,11,520
Sandslash,LV8.5,6,3,10,520
Sandslash,LV8.5,6,4,9,520
Sandslash,LV8.5,6,5,8,520
Sandslash,LV8.5,6,6,7,520
Sandslash,LV8.5,6,13,0,520
Sandslash,LV8.5,7,0,11,520
Sandslash,LV8.5,7,1,10,520
Sandslash,LV8.5,7,2,9,520
Sandslash,LV8.5,7,3,8,520
Sandslash,LV8.5,7,4,7,520
Sandslash,LV8.5,7,5,6,520
Sandslash,LV8.5,7,6,5,520
Sandslash,LV8.5,7,7,4,520
Sandslash,LV8.5,7,10,1,520
Sandslash,LV8.5,7,11,0,520
Sandslash,LV8.5,8,0,9,520
Sandslash,LV8.5,8,1,8,520
Sandslash,LV8.5,8,2,7,520
Sandslash,LV8.5,8,3,6,520
Sandslash,LV8.5,8,4,5,520
Sandslash,LV8.5,8,5,4,520
Sandslash,LV8.5,8,6,3,520
Sandslash,LV8.5,8,7,2,520
Sandslash,LV8.5,8,8,1,520
Sandslash,LV8.5,8,9,0,520
Sandslash,LV8.5,9,0,7,520
Sandslash,LV8.5,9,1,6,520
Sandslash,LV8.5,9,2,5,520
Sandslash,LV8.5,9,3,4,520
Sandslash,LV8.5,9,4,3,520
Sandslash,LV8.5,9,5,2,520
Sandslash,LV8.5,9,6,1,520
Sandslash,LV8.5,9,7,0,520
Sandslash,LV8.5,10,0,5,520
Sandslash,LV8.5,10,1,4,520
Sandslash,LV8.5,10,2,3,520
Sandslash,LV8.5,10,3,2,520
Sandslash,LV8.5,10,4,1,520
Sandslash,LV8.5,10,5,0,520
Sandslash,LV8,10,14,15,520
Sandslash,LV8,10,15,14,520
Sandslash,LV8.5,11,0,3,520
Sandslash,LV8.5,11,1,2,520
Sandslash,LV8.5,11,2,1,520
Sandslash,LV8.5,11,3,0,520
Sandslash,LV8,11,12,15,520
Sandslash,LV8,11,13,14,520
Sandslash,LV8,11,14,13,520
Sandslash,LV8,11,15,12,520
Sandslash,LV8.5,12,0,1,520
Sandslash,LV8.5,12,1,0,520
Sandslash,LV8,12,10,15,520
Sandslash,LV8,12,11,14,520
Sandslash,LV8,12,12,13,520
Sandslash,LV8,12,13,12,520
Sandslash,LV8,12,14,11,520
Sandslash,LV8,12,15,10,520
Sandslash,LV8,13,9,14,520
Sandslash,LV8,13,10,13,520
Sandslash,LV8,13,11,12,520
Sandslash,LV8,13,12,11,520
Sandslash,LV8,13,13,10,520
Sandslash,LV8,13,14,9,520
Sandslash,LV8,13,15,8,520
Sandslash,LV8,14,9,12,520
Sandslash,LV8,14,10,11,520
Sandslash,LV8,14,11,10,520
Sandslash,LV8,14,12,9,520
Sandslash,LV8,14,13,8,520
Sandslash,LV8,14,14,7,520
Sandslash,LV8,14,15,6,520
Sandslash,LV8,15,10,9,520
Sandslash,LV8,15,11,8,520
Sandslash,LV8,15,12,7,520
Sandslash,LV8,15,13,6,520
Sandslash,LV8,15,14,5,520
Sandslash,LV8,15,15,4,520
