Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sawk,LV7.5,0,0,11,520
Sawk,LV7.5,0,1,10,520
Sawk,LV7.5,0,2,9,520
Sawk,LV7.5,0,5,5,520
Sawk,LV7.5,0,6,4,520
Sawk,LV7.5,0,7,3,520
Sawk,LV7.5,0,8,2,520
Sawk,LV7.5,1,2,7,520
Sawk,LV7.5,1,3,6,520
Sawk,LV7.5,1,4,5,520
Sawk,LV7.5,1,7,1,520
Sawk,LV7.5,1,8,0,520
Sawk,LV7.5,2,0,8,520
Sawk,LV7.5,2,1,7,520
Sawk,LV7.5,2,3,4,520
Sawk,LV7.5,2,4,3,520
Sawk,LV7.5,2,5,2,520
Sawk,LV7.5,2,6,1,520
Sawk,LV7.5,2,7,0,520
Sawk,LV7.5,3,1,5,520
Sawk,LV7.5,3,2,4,520
Sawk,LV7.5,3,3,3,520
Sawk,LV7.5,4,0,5,520
Sawk,LV7.5,4,3,1,520
Sawk,LV7.5,4,4,0,520
Sawk,LV7,4,15,15,520
Sawk,LV7.5,5,0,3,520
Sawk,LV7.5,5,1,2,520
Sawk,LV7.5,5,2,1,520
Sawk,LV7.5,5,3,0,520
Sawk,LV7,5,14,15,520
Sawk,LV7,5,15,14,520
Sawk,LV7.5,6,0,2,520
Sawk,LV7,6,14,13,520
Sawk,LV7,6,15,12,520
Sawk,LV7.5,7,0,0,520
Sawk,LV7,7,11,15,520
Sawk,LV7,7,12,14,520
Sawk,LV7,7,13,13,520
Sawk,LV7,8,10,15,520
Sawk,LV7,8,12,12,520
Sawk,LV7,8,13,11,520
Sawk,LV7,8,14,10,520
Sawk,LV7,8,15,9,520
Sawk,LV7,9,9,14,520
Sawk,LV7,9,10,13,520
Sawk,LV7,9,11,12,520
Sawk,LV7,9,12,11,520
Sawk,LV7,9,15,7,520
Sawk,LV7,10,7,15,520
Sawk,LV7,10,8,14,520
Sawk,LV7,10,11,10,520
Sawk,LV7,10,12,9,520
Sawk,LV7,10,13,8,520
Sawk,LV7,10,14,7,520
Sawk,LV7,10,15,6,520
Sawk,LV7,11,6,15,520
Sawk,LV7,11,8,12,520
Sawk,LV7,11,9,11,520
Sawk,LV7,11,10,10,520
Sawk,LV7,11,11,9,520
Sawk,LV7,11,14,5,520
Sawk,LV7,11,15,4,520
Sawk,LV7,12,5,14,520
Sawk,LV7,12,6,13,520
Sawk,LV7,12,7,12,520
Sawk,LV7,12,10,8,520
Sawk,LV7,12,11,7,520
Sawk,LV7,12,12,6,520
Sawk,LV7,12,13,5,520
Sawk,LV7,12,14,4,520
Sawk,LV7,13,3,15,520
Sawk,LV7,13,4,14,520
Sawk,LV7,13,5,13,520
Sawk,LV7,13,7,10,520
Sawk,LV7,13,8,9,520
Sawk,LV7,13,9,8,520
Sawk,LV7,13,10,7,520
Sawk,LV7,13,13,3,520
Sawk,LV7,13,14,2,520
Sawk,LV7,13,15,1,520
Sawk,LV7,14,2,15,520
Sawk,LV7,14,4,12,520
Sawk,LV7,14,5,11,520
Sawk,LV7,14,6,10,520
Sawk,LV7,14,7,9,520
Sawk,LV7,14,9,6,520
Sawk,LV7,14,10,5,520
Sawk,LV7,14,11,4,520
Sawk,LV7,14,12,3,520
Sawk,LV7,14,13,2,520
Sawk,LV7,14,14,1,520
Sawk,LV7,15,2,13,520
Sawk,LV7,15,3,12,520
Sawk,LV7,15,4,11,520
Sawk,LV7,15,6,8,520
Sawk,LV7,15,7,7,520
Sawk,LV7,15,8,6,520
Sawk,LV7,15,9,5,520
Sawk,LV7,15,10,4,520
Sawk,LV7,15,13,0,520
