Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sceptile Mega Sceptile,LV5,0,13,15,520
Sceptile Mega Sceptile,LV5,1,12,15,520
Sceptile Mega Sceptile,LV5,1,13,14,520
Sceptile Mega Sceptile,LV5,1,14,13,520
Sceptile Mega Sceptile,LV5,1,15,12,520
Sceptile Mega Sceptile,LV5,2,11,15,520
Sceptile Mega Sceptile,LV5,2,12,14,520
Sceptile Mega Sceptile,LV5,2,13,13,520
Sceptile Mega Sceptile,LV5,2,14,12,520
Sceptile Mega Sceptile,LV5,2,15,11,520
Sceptile Mega Sceptile,LV5,3,10,15,520
Sceptile Mega Sceptile,LV5,3,11,14,520
Sceptile Mega Sceptile,LV5,3,12,13,520
Sceptile Mega Sceptile,LV5,3,13,12,520
Sceptile Mega Sceptile,LV5,3,14,11,520
Sceptile Mega Sceptile,LV5,3,15,10,520
Sceptile Mega Sceptile,LV5,4,12,12,520
Sceptile Mega Sceptile,LV5,4,13,11,520
Sceptile Mega Sceptile,LV5,4,14,10,520
Sceptile Mega Sceptile,LV5,4,15,9,520
Sceptile Mega Sceptile,LV5,5,7,15,520
Sceptile Mega Sceptile,LV5,5,8,14,520
Sceptile Mega Sceptile,LV5,5,9,13,520
Sceptile Mega Sceptile,LV5,5,14,9,520
Sceptile Mega Sceptile,LV5,5,15,8,520
Sceptile Mega Sceptile,LV5,6,6,15,520
Sceptile Mega Sceptile,LV5,6,7,14,520
Sceptile Mega Sceptile,LV5,6,8,13,520
Sceptile Mega Sceptile,LV5,6,9,12,520
Sceptile Mega Sceptile,LV5,6,10,11,520
Sceptile Mega Sceptile,LV5,6,11,10,520
Sceptile Mega Sceptile,LV5,6,15,7,520
Sceptile Mega Sceptile,LV5,7,5,15,520
Sceptile Mega Sceptile,LV5,7,6,14,520
Sceptile Mega Sceptile,LV5,7,7,13,520
Sceptile Mega Sceptile,LV5,7,8,12,520
Sceptile Mega Sceptile,LV5,7,9,11,520
Sceptile Mega Sceptile,LV5,7,10,10,520
Sceptile Mega Sceptile,LV5,7,11,9,520
Sceptile Mega Sceptile,LV5,7,12,8,520
Sceptile Mega Sceptile,LV5,8,4,15,520
Sceptile Mega Sceptile,LV5,8,5,14,520
Sceptile Mega Sceptile,LV5,8,6,13,520
Sceptile Mega Sceptile,LV5,8,7,12,520
Sceptile Mega Sceptile,LV5,8,8,11,520
Sceptile Mega Sceptile,LV5,8,9,10,520
Sceptile Mega Sceptile,LV5,8,10,9,520
Sceptile Mega Sceptile,LV5,8,11,8,520
Sceptile Mega Sceptile,LV5,8,12,7,520
Sceptile Mega Sceptile,LV5,8,13,6,520
Sceptile Mega Sceptile,LV5,9,6,12,520
Sceptile Mega Sceptile,LV5,9,7,11,520
Sceptile Mega Sceptile,LV5,9,8,10,520
Sceptile Mega Sceptile,LV5,9,9,9,520
Sceptile Mega Sceptile,LV5,9,10,8,520
Sceptile Mega Sceptile,LV5,9,11,7,520
Sceptile Mega Sceptile,LV5,9,12,6,520
Sceptile Mega Sceptile,LV5,9,13,5,520
Sceptile Mega Sceptile,LV5,9,14,4,520
Sceptile Mega Sceptile,LV5,10,8,9,520
Sceptile Mega Sceptile,LV5,10,9,8,520
Sceptile Mega Sceptile,LV5,10,10,7,520
Sceptile Mega Sceptile,LV5,10,11,6,520
Sceptile Mega Sceptile,LV5,10,12,5,520
Sceptile Mega Sceptile,LV5,10,13,4,520
Sceptile Mega Sceptile,LV5,10,14,3,520
Sceptile Mega Sceptile,LV5,11,0,15,520
Sceptile Mega Sceptile,LV5,11,1,14,520
Sceptile Mega Sceptile,LV5,11,2,13,520
Sceptile Mega Sceptile,LV5,11,3,12,520
Sceptile Mega Sceptile,LV5,11,9,7,520
Sceptile Mega Sceptile,LV5,11,10,6,520
Sceptile Mega Sceptile,LV5,11,11,5,520
Sceptile Mega Sceptile,LV5,11,12,4,520
Sceptile Mega Sceptile,LV5,11,13,3,520
Sceptile Mega Sceptile,LV5,11,14,2,520
Sceptile Mega Sceptile,LV5,12,0,14,520
Sceptile Mega Sceptile,LV5,12,1,13,520
Sceptile Mega Sceptile,LV5,12,2,12,520
Sceptile Mega Sceptile,LV5,12,3,11,520
Sceptile Mega Sceptile,LV5,12,4,10,520
Sceptile Mega Sceptile,LV5,12,5,9,520
Sceptile Mega Sceptile,LV5,12,10,5,520
Sceptile Mega Sceptile,LV5,12,11,4,520
Sceptile Mega Sceptile,LV5,12,12,3,520
Sceptile Mega Sceptile,LV5,12,13,2,520
Sceptile Mega Sceptile,LV5,12,14,1,520
Sceptile Mega Sceptile,LV5,12,15,0,520
Sceptile Mega Sceptile,LV5,13,0,13,520
Sceptile Mega Sceptile,LV5,13,1,12,520
Sceptile Mega Sceptile,LV5,13,2,11,520
Sceptile Mega Sceptile,LV5,13,3,10,520
Sceptile Mega Sceptile,LV5,13,4,9,520
Sceptile Mega Sceptile,LV5,13,5,8,520
Sceptile Mega Sceptile,LV5,13,6,7,520
Sceptile Mega Sceptile,LV5,13,11,3,520
Sceptile Mega Sceptile,LV5,13,12,2,520
Sceptile Mega Sceptile,LV5,13,13,1,520
Sceptile Mega Sceptile,LV5,13,14,0,520
Sceptile Mega Sceptile,LV5,14,0,12,520
Sceptile Mega Sceptile,LV5,14,1,11,520
Sceptile Mega Sceptile,LV5,14,2,10,520
Sceptile Mega Sceptile,LV5,14,3,9,520
Sceptile Mega Sceptile,LV5,14,4,8,520
Sceptile Mega Sceptile,LV5,14,5,7,520
Sceptile Mega Sceptile,LV5,14,6,6,520
Sceptile Mega Sceptile,LV5,14,7,5,520
Sceptile Mega Sceptile,LV5,14,11,2,520
Sceptile Mega Sceptile,LV5,14,12,1,520
Sceptile Mega Sceptile,LV5,14,13,0,520
Sceptile Mega Sceptile,LV5,15,0,11,520
Sceptile Mega Sceptile,LV5,15,1,10,520
Sceptile Mega Sceptile,LV5,15,2,9,520
Sceptile Mega Sceptile,LV5,15,3,8,520
Sceptile Mega Sceptile,LV5,15,4,7,520
Sceptile Mega Sceptile,LV5,15,5,6,520
Sceptile Mega Sceptile,LV5,15,6,5,520
Sceptile Mega Sceptile,LV5,15,7,4,520
Sceptile Mega Sceptile,LV5,15,8,3,520
Sceptile Mega Sceptile,LV5,15,12,0,520
