Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Scrafty,LV9,0,3,15,520
Scrafty,LV9,0,4,14,520
Scrafty,LV9,0,5,13,520
Scrafty,LV9,0,7,12,520
Scrafty,LV9,0,8,11,520
Scrafty,LV9,0,9,10,520
Scrafty,LV9,0,11,9,520
Scrafty,LV9,0,12,8,520
Scrafty,LV9,0,13,7,520
Scrafty,LV9,0,15,6,520
Scrafty,LV9,1,0,15,520
Scrafty,LV9,1,1,14,520
Scrafty,LV9,1,4,12,520
Scrafty,LV9,1,5,11,520
Scrafty,LV9,1,6,10,520
Scrafty,LV9,1,8,9,520
Scrafty,LV9,1,9,8,520
Scrafty,LV9,1,12,6,520
Scrafty,LV9,1,13,5,520
Scrafty,LV9,1,15,4,520
Scrafty,LV9,2,0,13,520
Scrafty,LV9,2,1,12,520
Scrafty,LV9,2,2,11,520
Scrafty,LV9,2,4,10,520
Scrafty,LV9,2,5,9,520
Scrafty,LV9,2,6,8,520
Scrafty,LV9,2,8,7,520
Scrafty,LV9,2,9,6,520
Scrafty,LV9,2,10,5,520
Scrafty,LV9,2,12,4,520
Scrafty,LV9,2,13,3,520
Scrafty,LV9,2,15,2,520
Scrafty,LV9,3,0,11,520
Scrafty,LV9,3,1,10,520
Scrafty,LV9,3,2,9,520
Scrafty,LV9,3,5,7,520
Scrafty,LV9,3,6,6,520
Scrafty,LV9,3,8,5,520
Scrafty,LV9,3,9,4,520
Scrafty,LV9,3,10,3,520
Scrafty,LV9,3,12,2,520
Scrafty,LV9,3,13,1,520
Scrafty,LV9,3,15,0,520
Scrafty,LV9,4,0,9,520
Scrafty,LV9,4,1,8,520
Scrafty,LV9,4,2,7,520
Scrafty,LV9,4,5,5,520
Scrafty,LV9,4,6,4,520
Scrafty,LV9,4,8,3,520
Scrafty,LV9,4,9,2,520
Scrafty,LV9,4,10,1,520
Scrafty,LV9,4,12,0,520
Scrafty,LV9,5,1,6,520
Scrafty,LV9,5,2,5,520
Scrafty,LV9,5,5,3,520
Scrafty,LV9,5,6,2,520
Scrafty,LV9,5,8,1,520
Scrafty,LV9,5,9,0,520
Scrafty,LV9,6,1,4,520
Scrafty,LV9,6,2,3,520
Scrafty,LV9,6,5,1,520
Scrafty,LV9,6,6,0,520
Scrafty,LV8.5,6,14,15,520
Scrafty,LV9,7,1,2,520
Scrafty,LV9,7,2,1,520
Scrafty,LV9,7,4,0,520
Scrafty,LV8.5,7,11,15,520
Scrafty,LV8.5,7,13,14,520
Scrafty,LV8.5,7,14,13,520
Scrafty,LV8.5,7,15,12,520
Scrafty,LV9,8,0,1,520
Scrafty,LV9,8,1,0,520
Scrafty,LV8.5,8,9,15,520
Scrafty,LV8.5,8,10,14,520
Scrafty,LV8.5,8,11,13,520
Scrafty,LV8.5,8,13,12,520
Scrafty,LV8.5,8,14,11,520
Scrafty,LV8.5,8,15,10,520
Scrafty,LV8.5,9,6,15,520
Scrafty,LV8.5,9,7,14,520
Scrafty,LV8.5,9,10,12,520
Scrafty,LV8.5,9,11,11,520
Scrafty,LV8.5,9,13,10,520
Scrafty,LV8.5,9,14,9,520
Scrafty,LV8.5,9,15,8,520
Scrafty,LV8.5,10,3,15,520
Scrafty,LV8.5,10,5,14,520
Scrafty,LV8.5,10,6,13,520
Scrafty,LV8.5,10,7,12,520
Scrafty,LV8.5,10,10,10,520
Scrafty,LV8.5,10,11,9,520
Scrafty,LV8.5,10,13,8,520
Scrafty,LV8.5,10,14,7,520
Scrafty,LV8.5,10,15,6,520
Scrafty,LV8.5,11,1,15,520
Scrafty,LV8.5,11,2,14,520
Scrafty,LV8.5,11,3,13,520
Scrafty,LV8.5,11,5,12,520
Scrafty,LV8.5,11,6,11,520
Scrafty,LV8.5,11,7,10,520
Scrafty,LV8.5,11,10,8,520
Scrafty,LV8.5,11,11,7,520
Scrafty,LV8.5,11,13,6,520
Scrafty,LV8.5,11,14,5,520
Scrafty,LV8.5,11,15,4,520
Scrafty,LV8.5,12,1,13,520
Scrafty,LV8.5,12,2,12,520
Scrafty,LV8.5,12,3,11,520
Scrafty,LV8.5,12,5,10,520
Scrafty,LV8.5,12,6,9,520
Scrafty,LV8.5,12,7,8,520
Scrafty,LV8.5,12,9,7,520
Scrafty,LV8.5,12,10,6,520
Scrafty,LV8.5,12,11,5,520
Scrafty,LV8.5,12,13,4,520
Scrafty,LV8.5,12,14,3,520
Scrafty,LV8.5,13,1,11,520
Scrafty,LV8.5,13,2,10,520
Scrafty,LV8.5,13,3,9,520
Scrafty,LV8.5,13,5,8,520
Scrafty,LV8.5,13,6,7,520
Scrafty,LV8.5,13,7,6,520
Scrafty,LV8.5,13,9,5,520
Scrafty,LV8.5,13,10,4,520
Scrafty,LV8.5,13,13,2,520
Scrafty,LV8.5,13,14,1,520
Scrafty,LV8.5,14,1,9,520
Scrafty,LV8.5,14,2,8,520
Scrafty,LV8.5,14,3,7,520
Scrafty,LV8.5,14,5,6,520
Scrafty,LV8.5,14,6,5,520
Scrafty,LV8.5,14,9,3,520
Scrafty,LV8.5,14,10,2,520
Scrafty,LV8.5,14,12,1,520
Scrafty,LV8.5,14,13,0,520
Scrafty,LV8.5,15,1,7,520
Scrafty,LV8.5,15,2,6,520
Scrafty,LV8.5,15,5,4,520
Scrafty,LV8.5,15,6,3,520
Scrafty,LV8.5,15,8,2,520
Scrafty,LV8.5,15,9,1,520
Scrafty,LV8.5,15,10,0,520
