Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Scraggy,LV16,0,3,4,520
Scraggy,LV16,0,4,3,520
Scraggy,LV16,0,5,2,520
Scraggy,LV16,0,6,1,520
Scraggy,LV15.5,0,6,10,520
Scraggy,LV16,0,7,0,520
Scraggy,LV15.5,0,7,9,520
Scraggy,LV15.5,0,8,8,520
Scraggy,LV15.5,0,9,7,520
Scraggy,LV15.5,0,10,6,520
Scraggy,LV15.5,0,11,5,520
Scraggy,LV15,0,11,15,520
Scraggy,LV15.5,0,12,4,520
Scraggy,LV15.5,0,13,3,520
Scraggy,LV15.5,0,14,2,520
Scraggy,LV15.5,0,15,1,520
Scraggy,LV16,1,1,4,520
Scraggy,LV16,1,2,3,520
Scraggy,LV16,1,3,2,520
Scraggy,LV15.5,1,3,11,520
Scraggy,LV16,1,4,1,520
Scraggy,LV15.5,1,4,10,520
Scraggy,LV16,1,5,0,520
Scraggy,LV15.5,1,5,9,520
Scraggy,LV15.5,1,6,8,520
Scraggy,LV15.5,1,7,7,520
Scraggy,LV15.5,1,8,6,520
Scraggy,LV15.5,1,9,5,520
Scraggy,LV15.5,1,10,4,520
Scraggy,LV15.5,1,11,3,520
Scraggy,LV15.5,1,12,2,520
Scraggy,LV15.5,1,13,1,520
Scraggy,LV15.5,1,14,0,520
Scraggy,LV16,2,0,3,520
Scraggy,LV16,2,1,2,520
Scraggy,LV15.5,2,1,11,520
Scraggy,LV16,2,2,1,520
Scraggy,LV15.5,2,2,10,520
Scraggy,LV16,2,3,0,520
Scraggy,LV15.5,2,3,9,520
Scraggy,LV15.5,2,4,8,520
Scraggy,LV15.5,2,5,7,520
Scraggy,LV15.5,2,6,6,520
Scraggy,LV15.5,2,7,5,520
Scraggy,LV15.5,2,8,4,520
Scraggy,LV15.5,2,9,3,520
Scraggy,LV15.5,2,10,2,520
Scraggy,LV15,2,10,11,520
Scraggy,LV15.5,2,11,1,520
Scraggy,LV15,2,11,10,520
Scraggy,LV15.5,2,12,0,520
Scraggy,LV15,2,12,9,520
Scraggy,LV15,2,13,8,520
Scraggy,LV15,2,14,7,520
Scraggy,LV15,2,15,6,520
Scraggy,LV16,3,0,1,520
Scraggy,LV15.5,3,0,10,520
Scraggy,LV16,3,1,0,520
Scraggy,LV15.5,3,1,9,520
Scraggy,LV15.5,3,2,8,520
Scraggy,LV15.5,3,3,7,520
Scraggy,LV15.5,3,4,6,520
Scraggy,LV15.5,3,5,5,520
Scraggy,LV15.5,3,6,4,520
Scraggy,LV15.5,3,7,3,520
Scraggy,LV15,3,7,12,520
Scraggy,LV15.5,3,8,2,520
Scraggy,LV15,3,8,11,520
Scraggy,LV15.5,3,9,1,520
Scraggy,LV15,3,9,10,520
Scraggy,LV15.5,3,10,0,520
Scraggy,LV15,3,10,9,520
Scraggy,LV15,3,11,8,520
Scraggy,LV15,3,12,7,520
Scraggy,LV15,3,13,6,520
Scraggy,LV15,3,14,5,520
Scraggy,LV14.5,3,14,15,520
Scraggy,LV15,3,15,4,520
Scraggy,LV14.5,3,15,14,520
Scraggy,LV15.5,4,0,8,520
Scraggy,LV15.5,4,1,7,520
Scraggy,LV15.5,4,2,6,520
Scraggy,LV15.5,4,3,5,520
Scraggy,LV15.5,4,4,4,520
Scraggy,LV15,4,5,12,520
Scraggy,LV15,4,6,11,520
Scraggy,LV15,4,7,10,520
Scraggy,LV15,4,8,9,520
Scraggy,LV15,4,9,8,520
Scraggy,LV15,4,10,7,520
Scraggy,LV15,4,11,6,520
Scraggy,LV15,4,12,5,520
Scraggy,LV14.5,4,12,15,520
Scraggy,LV15,4,13,4,520
Scraggy,LV14.5,4,13,14,520
Scraggy,LV15,4,14,3,520
Scraggy,LV14.5,4,14,13,520
Scraggy,LV15,4,15,2,520
Scraggy,LV14.5,4,15,12,520
Scraggy,LV15.5,5,0,6,520
Scraggy,LV15.5,5,1,5,520
Scraggy,LV15.5,5,2,4,520
Scraggy,LV15.5,5,3,3,520
Scraggy,LV15,5,3,12,520
Scraggy,LV15,5,4,11,520
Scraggy,LV15,5,5,10,520
Scraggy,LV15,5,6,9,520
Scraggy,LV15,5,7,8,520
Scraggy,LV15,5,8,7,520
Scraggy,LV15,5,9,6,520
Scraggy,LV15,5,10,5,520
Scraggy,LV14.5,5,10,15,520
Scraggy,LV15,5,11,4,520
Scraggy,LV14.5,5,11,14,520
Scraggy,LV15,5,12,3,520
Scraggy,LV15,5,13,2,520
Scraggy,LV15,5,14,1,520
Scraggy,LV15,5,15,0,520
Scraggy,LV15.5,6,0,4,520
Scraggy,LV15.5,6,1,3,520
Scraggy,LV15,6,1,12,520
Scraggy,LV15.5,6,2,2,520
Scraggy,LV15,6,2,11,520
Scraggy,LV15,6,3,10,520
Scraggy,LV15,6,4,9,520
Scraggy,LV15,6,5,8,520
Scraggy,LV15,6,6,7,520
