Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Seadra,LV10,0,0,10,520
Seadra,LV10,0,1,9,520
Seadra,LV10,0,2,8,520
Seadra,LV10,0,3,7,520
Seadra,LV10,0,4,6,520
Seadra,LV10,0,5,5,520
Seadra,LV10,0,6,4,520
Seadra,LV10,0,7,3,520
Seadra,LV10,0,8,2,520
Seadra,LV10,1,0,8,520
Seadra,LV10,1,1,7,520
Seadra,LV10,1,2,6,520
Seadra,LV10,1,9,0,520
Seadra,LV9.5,1,14,12,520
Seadra,LV9.5,1,15,11,520
Seadra,LV10,2,4,3,520
Seadra,LV10,2,5,2,520
Seadra,LV10,2,6,1,520
Seadra,LV10,2,7,0,520
Seadra,LV9.5,2,9,15,520
Seadra,LV9.5,2,10,14,520
Seadra,LV9.5,2,11,13,520
Seadra,LV9.5,2,12,12,520
Seadra,LV9.5,2,13,11,520
Seadra,LV9.5,2,14,10,520
Seadra,LV9.5,2,15,9,520
Seadra,LV10,3,0,5,520
Seadra,LV10,3,1,4,520
Seadra,LV10,3,2,3,520
Seadra,LV10,3,3,2,520
Seadra,LV10,3,4,1,520
Seadra,LV9.5,3,7,15,520
Seadra,LV9.5,3,8,14,520
Seadra,LV9.5,3,9,13,520
Seadra,LV9.5,3,10,12,520
Seadra,LV9.5,3,11,11,520
Seadra,LV9.5,3,12,10,520
Seadra,LV9.5,4,13,8,520
Seadra,LV9.5,4,14,7,520
Seadra,LV9.5,4,15,6,520
Seadra,LV10,5,0,2,520
Seadra,LV10,5,1,1,520
Seadra,LV10,5,2,0,520
Seadra,LV9.5,5,7,12,520
Seadra,LV9.5,5,8,11,520
Seadra,LV9.5,5,9,10,520
Seadra,LV9.5,5,10,9,520
Seadra,LV9.5,5,11,8,520
Seadra,LV9.5,5,12,7,520
Seadra,LV9.5,5,13,6,520
Seadra,LV9.5,5,14,5,520
Seadra,LV9.5,6,2,15,520
Seadra,LV9.5,6,3,14,520
Seadra,LV9.5,6,4,13,520
Seadra,LV9.5,6,5,12,520
Seadra,LV9.5,6,6,11,520
Seadra,LV9.5,6,7,10,520
Seadra,LV9.5,6,8,9,520
Seadra,LV9.5,6,9,8,520
Seadra,LV9.5,6,10,7,520
Seadra,LV9.5,6,15,3,520
Seadra,LV9.5,7,11,5,520
Seadra,LV9.5,7,12,4,520
Seadra,LV9.5,7,13,3,520
Seadra,LV9.5,7,14,2,520
Seadra,LV9.5,7,15,1,520
Seadra,LV9.5,8,0,14,520
Seadra,LV9.5,8,1,13,520
Seadra,LV9.5,8,2,12,520
Seadra,LV9.5,8,3,11,520
Seadra,LV9.5,8,4,10,520
Seadra,LV9.5,8,5,9,520
Seadra,LV9.5,8,6,8,520
Seadra,LV9.5,8,7,7,520
Seadra,LV9.5,8,8,6,520
Seadra,LV9.5,8,9,5,520
Seadra,LV9.5,8,10,4,520
Seadra,LV9.5,8,11,3,520
Seadra,LV9.5,8,15,0,520
Seadra,LV9.5,9,0,12,520
Seadra,LV9.5,9,1,11,520
Seadra,LV9.5,9,2,10,520
Seadra,LV9.5,9,3,9,520
Seadra,LV9.5,9,4,8,520
Seadra,LV9.5,9,5,7,520
Seadra,LV9.5,9,6,6,520
Seadra,LV9.5,9,12,1,520
Seadra,LV9.5,9,13,0,520
Seadra,LV9.5,10,6,5,520
Seadra,LV9.5,10,7,4,520
Seadra,LV9.5,10,8,3,520
Seadra,LV9.5,10,9,2,520
Seadra,LV9.5,10,10,1,520
Seadra,LV9.5,10,11,0,520
Seadra,LV9,10,14,15,520
Seadra,LV9,10,15,14,520
Seadra,LV9.5,11,0,9,520
Seadra,LV9.5,11,1,8,520
Seadra,LV9.5,11,2,7,520
Seadra,LV9.5,11,3,6,520
Seadra,LV9.5,11,4,5,520
Seadra,LV9.5,11,5,4,520
Seadra,LV9.5,11,6,3,520
Seadra,LV9.5,12,6,2,520
Seadra,LV9.5,12,7,1,520
Seadra,LV9.5,12,8,0,520
Seadra,LV9,12,11,15,520
Seadra,LV9,12,12,14,520
Seadra,LV9,12,13,13,520
Seadra,LV9,12,14,12,520
Seadra,LV9,12,15,11,520
Seadra,LV9.5,13,0,6,520
Seadra,LV9.5,13,1,5,520
Seadra,LV9.5,13,2,4,520
Seadra,LV9.5,13,3,3,520
Seadra,LV9.5,13,4,2,520
Seadra,LV9.5,13,5,1,520
Seadra,LV9.5,13,6,0,520
Seadra,LV9,13,9,15,520
Seadra,LV9,13,10,14,520
Seadra,LV9,13,11,13,520
Seadra,LV9,13,12,12,520
Seadra,LV9,13,13,11,520
Seadra,LV9,14,14,9,520
Seadra,LV9,14,15,8,520
Seadra,LV9.5,15,0,3,520
Seadra,LV9.5,15,1,2,520
Seadra,LV9.5,15,2,1,520
Seadra,LV9.5,15,3,0,520
Seadra,LV9,15,6,15,520
Seadra,LV9,15,7,14,520
Seadra,LV9,15,8,13,520
Seadra,LV9,15,9,12,520
Seadra,LV9,15,10,11,520
Seadra,LV9,15,11,10,520
Seadra,LV9,15,12,9,520
Seadra,LV9,15,13,8,520
Seadra,LV9,15,14,7,520
